State,StateAbbr,Name,Party,Inauguration,Title,office,officialTwitter,campaignTwitter,othertwitter
Alabama,AL,Kay Ivey,Republican,2017-04-10,Governor,Governor,GovernorKayIvey,kayiveyforgov,NA
Alabama,AL,Will Ainsworth,Republican,2019-01-14,Lt. Governor,LtGov,willainsworthAL,NA,NA
Alabama,AL,John Merrill,Republican,2015-01-19,Secretary of State,SecState,alasecofstate,JohnHMerrill,NA
Alabama,AL,Steve Marshall,Republican,2017-02-10,Attorney General,StateAG,AGSteveMarshall,SteveMarshallAL,NA
Alabama,AL,Young Boozer,Republican,2021-10-01,Treasurer,Treasurer,NA,YoungBoozer,NA
Alaska,AK,Mike Dunleavy,Republican,2018-12-03,Governor,Governor,GovDunleavy,MikeDunleavyGov,NA
Alaska,AK,Kevin Meyer,Republican,2018-12-03,Lt. Governor,LtGov,ltgovmeyer,NA,NA
Alaska,AK,Treg Taylor,Republican,2021-01-30,Attorney General,StateAG,NA,NA,NA
Alaska,AK,Lucinda Mahoney,Republican,2020-02-04,Revenue Commissioner,Treasurer,NA,NA,NA
Arizona,AZ,Doug Ducey,Republican,2015-01-05,Governor,Governor,DougDucey,TeamDucey,NA
Arizona,AZ,Katie Hobbs,Democratic,2019-01-07,Secretary of State,SecState,SecretaryHobbs,katiehobbs,NA
Arizona,AZ,Mark Brnovich,Republican,2015-01-05,Attorney General,StateAG,GeneralBrnovich,brnoforaz,NA
Arizona,AZ,Kimberly Yee,Republican,2019-01-07,Treasurer,Treasurer,AZTreasury,KimberlyYeeAZ,NA
Arkansas,AR,Asa Hutchinson,Republican,2015-01-13,Governor,Governor,AsaHutchinson,NA,NA
Arkansas,AR,Tim Griffin,Republican,2015-01-13,Lt. Governor,LtGov,LtGovTimGriffin,NA,NA
Arkansas,AR,John Thurston,Republican,2019-01-15,Secretary of State,SecState,ARSecofState,NA,NA
Arkansas,AR,Leslie Rutledge,Republican,2015-01-13,Attorney General,StateAG,AGRutledge,LeslieRutledge,NA
Arkansas,AR,Dennis Milligan,Republican,2015-01-13,Treasurer,Treasurer,ARTreasurer,DennisMilligan,NA
California,CA,Gavin Newsom,Democratic,2019-01-07,Governor,Governor,CAGovernor,GavinNewsom,NA
California,CA,Eleni Kounalakis,Democratic,2019-01-07,Lt. Governor,LtGov,EleniForCA,NA,NA
California,CA,Shirley Weber,Democratic,2021-02-02,Secretary of State,SecState,DrWeber4CA,NA,NA
California,CA,Rob Bonta,Democratic,2021-04-23,Attorney General,StateAG,AGRobBonta,RobBonta,NA
