id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1211372065678344193,1211372065678344193,2019-12-29 14:43:01 Eastern Standard Time,2019-12-29,14:43:01,-0400,221491612,agjefflandry,AG Jeff Landry,,Enjoy your weekend!  https://t.co/bOCCp7f1SP,en,[],[],['https://pbs.twimg.com/media/EM-oeSKWkAQG9vi.png'],1,0,2,[],[],https://twitter.com/AGJeffLandry/status/1211372065678344193,False,,1,https://pbs.twimg.com/media/EM-oeSKWkAQG9vi.png,,,,,,,[],,,,
1211147905194696704,1211147905194696704,2019-12-28 23:52:17 Eastern Standard Time,2019-12-28,23:52:17,-0400,221491612,agjefflandry,AG Jeff Landry,,"Two of those who have now joined the chorus of angels were dear friends. Gretchen Vincent was a dedicated wife and devoted mother. Walker had his mom’s adventurous, charming, and generous personality. Both of them will be forever missed. (2/2)",en,[],[],[],0,1,14,[],[],https://twitter.com/AGJeffLandry/status/1211147905194696704,False,,0,,,,,,,,[],,,,
1211147802488774657,1211147802488774657,2019-12-28 23:51:52 Eastern Standard Time,2019-12-28,23:51:52,-0400,221491612,agjefflandry,AG Jeff Landry,,Today was a tragic day that saw families from across Louisiana lose loved ones in the plane crash. My thoughts and prayers are with all of them during this most difficult time. (1/2),en,[],[],[],0,0,20,[],[],https://twitter.com/AGJeffLandry/status/1211147802488774657,False,,0,,,,,,,,[],,,,
1211025290123730949,1211025290123730949,2019-12-28 15:45:03 Eastern Standard Time,2019-12-28,15:45:03,-0400,221491612,agjefflandry,AG Jeff Landry,,💛 to say GEAUX TIGERS! @LSUfootball takes on @SoonerFootball today in the @CFAPeachBowl play off game! #OkSooner #WRTS #CFBP #playoffs #lalege #lagov #GeauxTigers  https://t.co/SXB4CkxD1b,en,"[{'screen_name': 'lsufootball', 'name': 'lsu football', 'id': '137396575'}, {'screen_name': 'soonerfootball', 'name': 'sooner football', 'id': '15659591'}, {'screen_name': 'cfapeachbowl', 'name': 'chick-fil-a peach bowl', 'id': '36666490'}]",[],['https://pbs.twimg.com/media/EM5tFP9WoAAPW9w.png'],0,1,3,"['oksooner', 'wrts', 'cfbp', 'playoffs', 'lalege', 'lagov', 'geauxtigers']",[],https://twitter.com/AGJeffLandry/status/1211025290123730949,False,,1,https://pbs.twimg.com/media/EM5tFP9WoAAPW9w.png,,,,,,,[],,,,
1211022009758572544,1211022009758572544,2019-12-28 15:32:01 Eastern Standard Time,2019-12-28,15:32:01,-0400,221491612,agjefflandry,AG Jeff Landry,,Thousands of #Louisiana citizens are affected by the #OpioidCrisis each year. Learn more about what we are doing to combat this issue and how you can help at  https://t.co/99i1eOMUYk  https://t.co/z6qBac02H0,en,[],['http://EndTheEpidemicLA.org'],['https://pbs.twimg.com/media/EM5qGXPXkAEYGNk.jpg'],0,0,2,"['louisiana', 'opioidcrisis']",[],https://twitter.com/AGJeffLandry/status/1211022009758572544,False,,1,https://pbs.twimg.com/media/EM5qGXPXkAEYGNk.jpg,,,,,,,[],,,,
1210985519993233410,1210985519993233410,2019-12-28 13:07:01 Eastern Standard Time,2019-12-28,13:07:01,-0400,221491612,agjefflandry,AG Jeff Landry,,"We have a legal obligation to report potential criminal activity to law enforcement &amp; licensing authorities. Shockingly, the Hope Medical #abortion clinic is refusing to unseal this evidence &amp; permit us to carry out our legal duties.  https://t.co/k7lApNWHfg #WomenDeserveTheTruth  https://t.co/DnHcycIUta",en,[],['https://bit.ly/2OJ3Caq'],['https://pbs.twimg.com/media/EM5I6U7X0AgavPi.png'],0,0,0,"['abortion', 'womendeservethetruth']",[],https://twitter.com/AGJeffLandry/status/1210985519993233410,False,,1,https://pbs.twimg.com/media/EM5I6U7X0AgavPi.png,,,,,,,[],,,,
1210691111108431873,1210691111108431873,2019-12-27 17:37:09 Eastern Standard Time,2019-12-27,17:37:09,-0400,221491612,agjefflandry,AG Jeff Landry,,"PROTECT YOURSELF FROM FRAUD!  Visit  https://t.co/bYlqXrjmNT to learn tips, see consumer alerts about common scams, &amp; download resources designed to help you avoid becoming a victim of fraud!  #lalege #lagov #protect #alert #scam #consumers  https://t.co/8ieOncIqDC",en,[],['http://www.AGJeffLandry.com'],[],0,0,0,"['lalege', 'lagov', 'protect', 'alert', 'scam', 'consumers']",[],https://twitter.com/AGJeffLandry/status/1210691111108431873,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1210691077444911104/pu/img/vU-vgD8B3cJ96Zfi.jpg,,,,,,,[],,,,
1210665964766937089,1210665964766937089,2019-12-27 15:57:13 Eastern Standard Time,2019-12-27,15:57:13,-0400,221491612,agjefflandry,AG Jeff Landry,,#Louisiana Consumers should always do their homework on return policies! #lalege #lagov,en,[],[],[],0,0,2,"['louisiana', 'lalege', 'lagov']",[],https://twitter.com/AGJeffLandry/status/1210665964766937089,False,https://twitter.com/NBCNews/status/1210664925548437506,0,,,,,,,,[],,,,
1210654840679993345,1210654840679993345,2019-12-27 15:13:01 Eastern Standard Time,2019-12-27,15:13:01,-0400,221491612,agjefflandry,AG Jeff Landry,,"My office has a team dedicated to investigating #Medicaid fraud, abuse, and the neglect of nursing home residents. If you are aware of fraud or mistreatment, immediately contact my office. For more information:   https://t.co/MOkE5mHmlQ  https://t.co/79PEASiqVo",en,[],['http://bit.ly/2OOfNR3'],['https://pbs.twimg.com/media/EM0cKUeW4AEGcV4.jpg'],0,0,1,['medicaid'],[],https://twitter.com/AGJeffLandry/status/1210654840679993345,False,,1,https://pbs.twimg.com/media/EM0cKUeW4AEGcV4.jpg,,,,,,,[],,,,
1210613570586710021,1210613570586710021,2019-12-27 12:29:01 Eastern Standard Time,2019-12-27,12:29:01,-0400,221491612,agjefflandry,AG Jeff Landry,,Have you or a loved one been a victim of unfair business practices? Call our office or fill out a consumer complaint form on our website. We will do our best to assist you in attempting to resolve the matter.  https://t.co/hqhd9ndtgh #consumerprotection  https://t.co/BQ7cFv8v4x,en,[],['http://bit.ly/2KA9htU'],['https://pbs.twimg.com/media/EMz2oDpXkAEjZ9k.jpg'],0,0,2,['consumerprotection'],[],https://twitter.com/AGJeffLandry/status/1210613570586710021,False,,1,https://pbs.twimg.com/media/EMz2oDpXkAEjZ9k.jpg,,,,,,,[],,,,
