id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1476284405761122307,1476284405761122307,2021-12-29 15:10:05 Eastern Standard Time,2021-12-29,15:10:05,-0400,1064603540956565504,govtimwalz,Governor Tim Walz,,"Our FINAL $100,000 scholarship winner is William – congratulations🥳   Thanks to all the Minnesotans 12 to 17 who did their part and got vaccinated!   You can still get vaccinated and a booster shot once you’re due. Find a vaccine:  https://t.co/bKpQHLv3Ex  https://t.co/viwj9vKcGJ",en,[],['https://mn.gov/covid19/vaccine/'],['https://pbs.twimg.com/media/FHzQIPFUcAICfLB.jpg'],97,21,272,[],[],https://twitter.com/GovTimWalz/status/1476284405761122307,False,,1,https://pbs.twimg.com/media/FHzQIPFUcAICfLB.jpg,,,,,,,[],,,,
1476207257213972481,1476207257213972481,2021-12-29 10:03:31 Eastern Standard Time,2021-12-29,10:03:31,-0400,1064603540956565504,govtimwalz,Governor Tim Walz,,"Great way to end the season — congrats, @GopherFootball! #SkiUMah",en,"[{'screen_name': 'gopherfootball', 'name': 'minnesota football', 'id': '26813914'}]",[],[],21,13,285,['skiumah'],[],https://twitter.com/GovTimWalz/status/1476207257213972481,False,https://twitter.com/GopherFootball/status/1476080974001631234,0,,,,,,,,[],,,,
1476056815167225859,1476056815167225859,2021-12-29 00:05:43 Eastern Standard Time,2021-12-29,00:05:43,-0400,1064603540956565504,govtimwalz,Governor Tim Walz,,"What a half! Here’s hoping @GopherFootball can Build Back (even) Better for the second half, beat West Virginia, and #RowTheBoat to another Gopher bowl game win! #SkiUMah",en,"[{'screen_name': 'gopherfootball', 'name': 'minnesota football', 'id': '26813914'}]",[],[],93,19,438,"['rowtheboat', 'skiumah']",[],https://twitter.com/GovTimWalz/status/1476056815167225859,False,,0,,,,,,,,[],,,,
1475930348706009091,1475930348706009091,2021-12-28 15:43:11 Eastern Standard Time,2021-12-28,15:43:11,-0400,1064603540956565504,govtimwalz,Governor Tim Walz,,"Minnesota’s fourth $100,000 scholarship winner for being fully vaccinated is Josiah from Apple Valley! Congratulations🎉  Our FINAL winner will be announced tomorrow – stay tuned.  https://t.co/piYe7W64mC",en,[],[],['https://pbs.twimg.com/media/FHuOKtSXIAkpIPD.jpg'],102,26,460,[],[],https://twitter.com/GovTimWalz/status/1475930348706009091,False,,1,https://pbs.twimg.com/media/FHuOKtSXIAkpIPD.jpg,,,,,,,[],,,,
1475893558242652162,1475893558242652162,2021-12-28 13:16:59 Eastern Standard Time,2021-12-28,13:16:59,-0400,1064603540956565504,govtimwalz,Governor Tim Walz,,Our health care workers are heartbroken and fatigued. Having the National Guard provide relief has been essential in our fight against COVID. Thank you to the @MNNationalGuard for all you do for our state.  https://t.co/apoXqP6mMF,en,"[{'screen_name': 'mnnationalguard', 'name': 'mn national guard', 'id': '88989964'}]",['https://www.nytimes.com/2021/12/22/health/covid-national-guard-nursing-homes.html'],[],105,44,400,[],[],https://twitter.com/GovTimWalz/status/1475893558242652162,False,,0,,,,,,,,[],,,,
1475624374707367942,1475624374707367942,2021-12-27 19:27:21 Eastern Standard Time,2021-12-27,19:27:21,-0400,1064603540956565504,govtimwalz,Governor Tim Walz,,"Must have gotten something in my eye watching this. Reminds me of my first car my dad and I got, a 1973 Chevy Camaro.  https://t.co/3GCSqifDan",en,[],['https://youtu.be/c4-oyBnknHk'],[],46,7,103,[],[],https://twitter.com/GovTimWalz/status/1475624374707367942,False,,0,,,,,,,,[],,,,
1475575714401374213,1475575714401374213,2021-12-27 16:13:59 Eastern Standard Time,2021-12-27,16:13:59,-0400,1064603540956565504,govtimwalz,Governor Tim Walz,,Joined an important conversation today with @POTUS and Governors from across the country to discuss how the federal government can support states as we tackle the rise of Omicron. We must continue to work together to take on this pandemic and keep Minnesotans safe and healthy.,en,"[{'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}]",[],[],110,25,179,[],[],https://twitter.com/GovTimWalz/status/1475575714401374213,False,https://twitter.com/POTUS/status/1475505473835175939,0,,,,,,,,[],,,,
1475542204617744385,1475542204617744385,2021-12-27 14:00:50 Eastern Standard Time,2021-12-27,14:00:50,-0400,1064603540956565504,govtimwalz,Governor Tim Walz,,"We have our third $100,000 scholarship winner for being fully vaccinated – congratulations Jude from Stillwater🎉  Come back tomorrow to see who our next winner will be.  https://t.co/KupXT1YYWE",en,[],[],['https://pbs.twimg.com/media/FHoqPE4XIAEUFMs.jpg'],151,25,680,[],[],https://twitter.com/GovTimWalz/status/1475542204617744385,False,,1,https://pbs.twimg.com/media/FHoqPE4XIAEUFMs.jpg,,,,,,,[],,,,
1475475266558468100,1475475266558468100,2021-12-27 09:34:51 Eastern Standard Time,2021-12-27,09:34:51,-0400,1064603540956565504,govtimwalz,Governor Tim Walz,,"Take it from me, Minnesota – use our state’s testing network to get tested before and after gathering with loved ones.   Let’s continue to keep each other safe and healthy this season.   Learn more and find a test near you:  https://t.co/S9ZWsYqXPN",en,[],['https://mn.gov/covid19/get-tested/index.jsp'],[],176,44,389,[],[],https://twitter.com/GovTimWalz/status/1475475266558468100,False,,0,,,,,,,,[],,,,
1475225448783220737,1475225448783220737,2021-12-26 17:02:10 Eastern Standard Time,2021-12-26,17:02:10,-0400,1064603540956565504,govtimwalz,Governor Tim Walz,,"Happy Kwanzaa, Minnesota! Gwen and I wish all those who are celebrating a wonderful week of warmth, health, and togetherness.",en,[],[],[],57,30,501,[],[],https://twitter.com/GovTimWalz/status/1475225448783220737,False,,0,,,,,,,,[],,,,
