id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1342247691464675330,1342247691464675330,2020-12-24 18:16:02 Eastern Standard Time,2020-12-24,18:16:02,-0400,978870600511971328,tobiasread,Tobias Read for Governor,,Even Ebenezer Scrooge got it together in time...  https://t.co/hIWZwEc1z8,en,[],['https://apnews.com/article/donald-trump-politics-legislation-coronavirus-pandemic-bills-3cf97d6b39b80213ecd3d49ed4dcdc1e'],[],0,1,6,[],[],https://twitter.com/TobiasRead/status/1342247691464675330,False,,0,,,,,,,,[],,,,
1341772084653993984,1341772084653993984,2020-12-23 10:46:08 Eastern Standard Time,2020-12-23,10:46:08,-0400,978870600511971328,tobiasread,Tobias Read for Governor,,"More coverage of #ElliotForest from @gtnews:    “I see a real glimmer of hope here,” Read said in introducing his motion. “I find the proposal and the work that it represents to be inspiring. This is a big deal, and I’m proud to be a part of this board.”  https://t.co/NfOe2QudUa",en,"[{'screen_name': 'gtnews', 'name': 'gazettetimes.com', 'id': '15853821'}]",['https://www.gazettetimes.com/news/local/state-oks-osus-plan-for-elliott-forest/article_282453c4-e232-53f1-82be-0925dbbf5b87.html'],[],0,0,0,['elliotforest'],[],https://twitter.com/TobiasRead/status/1341772084653993984,False,,0,,,,,,,,[],,,,
1341410000690950155,1341410000690950155,2020-12-22 10:47:21 Eastern Standard Time,2020-12-22,10:47:21,-0400,978870600511971328,tobiasread,Tobias Read for Governor,,Help bring the Road Cycling World Championships to #Oregon.  Go to  https://t.co/C7C3ElTTFQ to sign the petition and help @PDXworlds make it happen!     https://t.co/t14DGKiCbz   #PDXCYCLINGWORLDS  https://t.co/lEvmqJoD5M,en,"[{'screen_name': 'pdxworlds', 'name': 'pdx cycling worlds', 'id': '1159821656140873728'}]","['http://PDXworlds.com', 'https://www.pdxcyclingworlds.com/']",['https://pbs.twimg.com/media/Ep2lSRDXUAYszwn.jpg'],0,0,3,"['oregon', 'pdxcyclingworlds']",[],https://twitter.com/TobiasRead/status/1341410000690950155,False,,1,https://pbs.twimg.com/media/Ep2lSRDXUAYszwn.jpg,,,,,,,[],,,,
1341221674964946946,1341221674964946946,2020-12-21 22:19:00 Eastern Standard Time,2020-12-21,22:19:00,-0400,978870600511971328,tobiasread,Tobias Read for Governor,,I'm proud to have made the motion to bring this important proposal to a vote.   Just another example of our state maintaining its innovative ethos.  Read more from @OPB:  https://t.co/dGfdD7Fepd,en,"[{'screen_name': 'opb', 'name': 'opb', 'id': '21512383'}]",['https://www.opb.org/article/2020/12/09/elliott-state-forest-oregon-state-university-research/'],[],0,1,8,[],[],https://twitter.com/TobiasRead/status/1341221674964946946,False,,0,,,,,,,,[],,,,
1341178642387365892,1341178642387365892,2020-12-21 19:28:00 Eastern Standard Time,2020-12-21,19:28:00,-0400,978870600511971328,tobiasread,Tobias Read for Governor,,"Just a few more days left before Christmas.   If you're a last-minute shopper and looking for a last minute gift, #ShopLocal.   @wearewildfang  @DavidWalker1201  @heyamine @pistilsnursery  @thatbilloakley  @musicmillennium  @MovieMadnessPDX    https://t.co/EW21S6bq9Y",en,"[{'screen_name': 'wearewildfang', 'name': 'wildfang', 'id': '623087883'}, {'screen_name': 'davidwalker1201', 'name': 'david f walker', 'id': '16882904'}, {'screen_name': 'heyamine', 'name': 'aminé', 'id': '338174945'}, {'screen_name': 'thatbilloakley', 'name': 'bill oakley', 'id': '177681327'}, {'screen_name': 'musicmillennium', 'name': 'music millennium', 'id': '50008697'}, {'screen_name': 'moviemadnesspdx', 'name': 'movie madness', 'id': '41834971'}]",['https://www.youtube.com/watch?v=J2wp2gWRG94&feature=youtu.be'],[],0,0,3,['shoplocal'],[],https://twitter.com/TobiasRead/status/1341178642387365892,False,,0,,,,,,,,[],,,,
1339688576141959176,1339688576141959176,2020-12-17 16:47:01 Eastern Standard Time,2020-12-17,16:47:01,-0400,978870600511971328,tobiasread,Tobias Read for Governor,,"Yesterday was a big day for #Oregon.  We've got a ways to go, but there is light at the end of the tunnel.  Watch story from @KGWNews:   https://t.co/Gx1eR549RW",en,"[{'screen_name': 'kgwnews', 'name': 'kgw news', 'id': '14185814'}]",['https://www.kgw.com/article/news/health/coronavirus/gov-kate-brown-briefing-covid-19-vaccine/283-57d4ae4d-f94b-4c7b-92d9-77f63253c6c7'],[],0,0,3,['oregon'],[],https://twitter.com/TobiasRead/status/1339688576141959176,False,,0,,,,,,,,[],,,,
1339619008966901760,1339619008966901760,2020-12-17 12:10:35 Eastern Standard Time,2020-12-17,12:10:35,-0400,978870600511971328,tobiasread,Tobias Read for Governor,,"I’m really excited about this investment in @blfounders.   Investing in underrepresented entrepreneurs not only makes us more diverse, it’s good business.  There are good ideas and talented people out there. Let’s not leave them on the sidelines.   #BlackFoundersMatter",en,"[{'screen_name': 'blfounders', 'name': 'blackfoundersmatter', 'id': '908116654122459142'}]",[],[],0,0,5,['blackfoundersmatter'],[],https://twitter.com/TobiasRead/status/1339619008966901760,False,https://twitter.com/BusinessOregon/status/1339358422618140672,0,,,,,,,,[],,,,
1339273058121478145,1339273058121478145,2020-12-16 13:15:54 Eastern Standard Time,2020-12-16,13:15:54,-0400,978870600511971328,tobiasread,Tobias Read for Governor,,Congratulations to @PeteButtigieg on his nomination to this important post.   I’m proud to have endorsed him back in 2017 when he was running for DNC Chair.   He’s the thoughtful leader we need as we begin to reimagine our transportation system in the era of climate crises.  https://t.co/zdCCGGx4bD,en,"[{'screen_name': 'petebuttigieg', 'name': 'pete buttigieg', 'id': '226222147'}]",[],['https://pbs.twimg.com/media/EpYNv2RVEAA7mNN.jpg'],1,0,18,[],[],https://twitter.com/TobiasRead/status/1339273058121478145,False,,1,https://pbs.twimg.com/media/EpYNv2RVEAA7mNN.jpg,,,,,,,[],,,,
1338591086751584256,1338590111424921600,2020-12-14 16:05:59 Eastern Standard Time,2020-12-14,16:05:59,-0400,978870600511971328,tobiasread,Tobias Read for Governor,,@MickihallJ A heartbreaking milestone.,en,[],[],[],1,0,0,[],[],https://twitter.com/TobiasRead/status/1338591086751584256,False,,0,,,,,,,,"[{'screen_name': 'MickihallJ', 'name': 'Micki J. Hall, democracy advocate', 'id': '2907408347'}]",,,,
1338590111424921600,1338590111424921600,2020-12-14 16:02:07 Eastern Standard Time,2020-12-14,16:02:07,-0400,978870600511971328,tobiasread,Tobias Read for Governor,,It does seem fitting that the first #COVID19 vaccinations are happening on the same day as the #ElectoralCollegeVote.    There is finally light at the end of the tunnel.,en,[],[],[],2,1,36,"['covid19', 'electoralcollegevote']",[],https://twitter.com/TobiasRead/status/1338590111424921600,False,,0,,,,,,,,[],,,,
