id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509325255294296067,1509325255294296067,2022-03-30 20:22:37 Eastern Daylight Time,2022-03-30,20:22:37,-0400,3622368202,johnfetterman,John Fetterman,,"What I'm about to ask is important. I may have even put on a suit to do so. 🙄👇  Can you make a donation of any amount before 3/31?  I know not everyone will be able to give today. But if you’re in a place to do so, I’d be overwhelmed with gratitude 🥰  https://t.co/fVViY8oBws",en,[],['https://secure.actblue.com/donate/jf-social-20220330?refcode=tw-20220330'],[],17,47,187,[],[],https://twitter.com/JohnFetterman/status/1509325255294296067,False,,0,,,,,,,,[],,,,
1509283072579145729,1509283072579145729,2022-03-30 17:35:00 Eastern Daylight Time,2022-03-30,17:35:00,-0400,3622368202,johnfetterman,John Fetterman,,"I know there are enough thoughtful Pennsylvanians out there who want to vote for *good* policies and getting sh*t done.  In beautiful Berks County ➕ red counties 🔴 across PA, thank YOU for putting in the work  https://t.co/2fuwea2Pnv",en,[],[],[],8,80,582,[],[],https://twitter.com/JohnFetterman/status/1509283072579145729,False,,1,https://pbs.twimg.com/media/FPILFEnXoA4chlF.jpg,,,,,,,[],,,,
1509204187275538441,1509204187275538441,2022-03-30 12:21:32 Eastern Daylight Time,2022-03-30,12:21:32,-0400,3622368202,johnfetterman,John Fetterman,,Who’s a good boy??? 🐶  Get your official Team Fetterman yard sign here 👇   https://t.co/VWMFuMjyQf  https://t.co/s2HyVk0EHy,en,[],['https://fetterman.co/yards'],['https://pbs.twimg.com/media/FPHFNF8XwBMvqXC.jpg'],15,27,458,[],[],https://twitter.com/JohnFetterman/status/1509204187275538441,False,,1,https://pbs.twimg.com/media/FPHFNF8XwBMvqXC.jpg,,,,,,,[],,,,
1509164447830626305,1509164447830626305,2022-03-30 09:43:37 Eastern Daylight Time,2022-03-30,09:43:37,-0400,3622368202,johnfetterman,John Fetterman,,"If you’re OK with billionaire$ not paying income taxes AND fellow Democratic senators who refuse to increase our nation’s stone-cold shitty minimum wage of $7.25/hr to $15/hr…  I am, uh, not your candidate.",en,[],[],[],60,289,3794,[],[],https://twitter.com/JohnFetterman/status/1509164447830626305,False,,0,,,,,,,,[],,,,
1508977664840945664,1508977664840945664,2022-03-29 21:21:25 Eastern Daylight Time,2022-03-29,21:21:25,-0400,3622368202,johnfetterman,John Fetterman,,Took my best girl out for nachos after an awesome day in Lancaster.  Can yinz encourage her to share?  🥺😬  https://t.co/7OW7Wf0kUD,en,[],[],['https://pbs.twimg.com/media/FPD3LzmWQAQDA0X.jpg'],136,64,3249,[],[],https://twitter.com/JohnFetterman/status/1508977664840945664,False,,1,https://pbs.twimg.com/media/FPD3LzmWQAQDA0X.jpg,,,,,,,[],,,,
1508960660671062016,1508960660671062016,2022-03-29 20:13:51 Eastern Daylight Time,2022-03-29,20:13:51,-0400,3622368202,johnfetterman,John Fetterman,,The people of Ukraine have been under assault for over a month now.  We must continue showing the world that we as a country stand with them as they continue to bravely face this brutal attack 💙💛,en,[],[],[],23,81,1199,[],[],https://twitter.com/JohnFetterman/status/1508960660671062016,False,,0,,,,,,,,[],,,,
1508867333699387398,1508867333699387398,2022-03-29 14:03:00 Eastern Daylight Time,2022-03-29,14:03:00,-0400,3622368202,johnfetterman,John Fetterman,,"Our campaign has always been people-powered.  And also dog-powered 🙄😍  If you’re able, can you donate $5 or $10 now to help reach our FINAL end of quarter goal before our primary? Thank you for being a part of our grassroots campaign.  https://t.co/eF3vk38ddU  https://t.co/WtPgDUROLk",en,[],['https://fetterman.co/3NppwM9'],[],37,77,516,[],[],https://twitter.com/JohnFetterman/status/1508867333699387398,False,,1,https://pbs.twimg.com/amplify_video_thumb/1508851482325663746/img/YND9eE483lfmhhzo.jpg,,,,,,,[],,,,
1508797897734766597,1508797897734766597,2022-03-29 09:27:05 Eastern Daylight Time,2022-03-29,09:27:05,-0400,3622368202,johnfetterman,John Fetterman,,"As millions of working families across America file their taxes, we need to make sure billionaires finally pay their fair share of taxes.  I’m with President Biden. We need a Billionaires Tax and we need it now. 💯",en,[],[],[],28,170,1529,[],[],https://twitter.com/JohnFetterman/status/1508797897734766597,False,,0,,,,,,,,[],,,,
1508611648382128129,1508611648382128129,2022-03-28 21:07:00 Eastern Daylight Time,2022-03-28,21:07:00,-0400,3622368202,johnfetterman,John Fetterman,,I’ll keep this short(s)  The FEC fundraising deadline is in 3⃣ days and it’s a BIG one 😬  Wouldn’t ask if it wasn’t SO important - Can you please send $5 our way tonight?  I’m so so grateful for your support + making this a *true* people-powered campaign.  https://t.co/5WzlTAemM1,en,[],['https://secure.actblue.com/donate/jf-social-20220328?refcode=tw-20220328'],[],43,76,341,[],[],https://twitter.com/JohnFetterman/status/1508611648382128129,False,,0,,,,,,,,[],,,,
1508593885886521346,1508593885886521346,2022-03-28 19:56:25 Eastern Daylight Time,2022-03-28,19:56:25,-0400,3622368202,johnfetterman,John Fetterman,,"In large parts of PA, your phone becomes a brick in your pocket. No internet. No reception. People living there lack a fundamental resource.  Guaranteed broadband would open a whole new lane for rural Pennsylvanians  https://t.co/psU5d2ZraW",en,[],[],[],40,176,1317,[],[],https://twitter.com/JohnFetterman/status/1508593885886521346,False,,1,https://pbs.twimg.com/media/FO-ZtRyXMAgg4PK.jpg,,,,,,,[],,,,
