id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1476302760920424460,1476302760920424460,2021-12-29 16:23:01 Eastern Standard Time,2021-12-29,16:23:01,-0400,2237836344,patreasurer,PA Treasurer Stacy Garrity,,Save the date! Join Treasury along with experts at @PennsylvaniaATF and @PABankingDept for a two-part free webinar series on teaching individuals with disabilities about personal finance. Register here:  https://t.co/Ss6BilSz4X  https://t.co/Q3sXWD1gay,en,"[{'screen_name': 'pennsylvaniaatf', 'name': 'pennsylvania assistive technology foundation patf', 'id': '2437274095'}, {'screen_name': 'pabankingdept', 'name': 'pa department of banking and securities', 'id': '325550524'}]",['http://paable.gov/webinar/'],['https://pbs.twimg.com/media/FHzhiIvWQAogs_c.jpg'],0,1,6,[],[],https://twitter.com/PATreasurer/status/1476302760920424460,False,,1,https://pbs.twimg.com/media/FHzhiIvWQAogs_c.jpg,,,,,,,[],,,,
1476299877915275269,1476299877915275269,2021-12-29 16:11:33 Eastern Standard Time,2021-12-29,16:11:33,-0400,2237836344,patreasurer,PA Treasurer Stacy Garrity,,Best wishes to @RepToohil as she takes the oath of office in January for a seat on the Luzerne County Court of Common Pleas. Thank you for 10 years of service as state representative to the residents of Luzerne County!,en,[],[],[],0,2,20,[],[],https://twitter.com/PATreasurer/status/1476299877915275269,False,,0,,,,,,,,[],,,,
1475837159038935041,1475837159038935041,2021-12-28 09:32:53 Eastern Standard Time,2021-12-28,09:32:53,-0400,2237836344,patreasurer,PA Treasurer Stacy Garrity,,"""The U.S. Treasury is sitting on tens of billions of dollars in savings bonds that belong to everyday Americans – and they are doing absolutely nothing to get that money back in the hands of the people it belongs to.""   https://t.co/QEY1ql23JF",en,[],['https://southphillyreview.com/2021/12/27/treasurer-garrity-urging-congress-to-return-nearly-30-billion-in-savings-bonds-to-americans/'],[],0,5,6,[],[],https://twitter.com/PATreasurer/status/1475837159038935041,False,,0,,,,,,,,[],,,,
1475556073750896649,1475556073750896649,2021-12-27 14:55:57 Eastern Standard Time,2021-12-27,14:55:57,-0400,2237836344,patreasurer,PA Treasurer Stacy Garrity,,"Eligible Pennsylvanians have until Friday to apply for the Property Tax/Rent Rebate Program, which benefits eligible Pennsylvanians age 65 and older; widows and widowers age 50 and older; and people with disabilities age 18 and older. To apply, visit  https://t.co/527vamddxW  https://t.co/gq9awaTZN3",en,[],['https://www.revenue.pa.gov/Pages/default.aspx'],['https://pbs.twimg.com/media/FHo6ZBSWQAQe0xr.jpg'],0,1,8,[],[],https://twitter.com/PATreasurer/status/1475556073750896649,False,,1,https://pbs.twimg.com/media/FHo6ZBSWQAQe0xr.jpg,,,,,,,[],,,,
1475517471276871681,1475517263113592836,2021-12-27 12:22:33 Eastern Standard Time,2021-12-27,12:22:33,-0400,2237836344,patreasurer,PA Treasurer Stacy Garrity,,This money does not belong to the government – it belongs to the patriotic individuals who bought the bonds. It’s time for the federal government to let us find the rightful owners.,en,[],[],[],0,0,6,[],[],https://twitter.com/PATreasurer/status/1475517471276871681,False,,0,,,,,,,,[],,,,
1475517428339728400,1475517263113592836,2021-12-27 12:22:23 Eastern Standard Time,2021-12-27,12:22:23,-0400,2237836344,patreasurer,PA Treasurer Stacy Garrity,,"I am urging lawmakers in Washington, D.C., to support the Unclaimed Savings Bond Act of 2021, legislation that would give states the ability to return more than $29.4 billion in U.S. Savings Bond proceeds to rightful owners nationwide.",en,[],[],[],1,2,8,[],[],https://twitter.com/PATreasurer/status/1475517428339728400,False,,0,,,,,,,,[],,,,
1475517263113592836,1475517263113592836,2021-12-27 12:21:43 Eastern Standard Time,2021-12-27,12:21:43,-0400,2237836344,patreasurer,PA Treasurer Stacy Garrity,,The U.S. Treasury is sitting on tens of billions of dollars in savings bonds that belong to everyday Americans – and they are doing absolutely nothing to get that money back in the hands of the people it belongs to.    https://t.co/gcwuQDiSZG  https://t.co/DtOupDovo2,en,[],['https://www.patreasury.gov/newsroom/archive/2021/12-27-Savings-Bonds.html'],['https://pbs.twimg.com/media/FHoXEg4WQAoO43S.jpg'],1,3,9,[],[],https://twitter.com/PATreasurer/status/1475517263113592836,False,,1,https://pbs.twimg.com/media/FHoXEg4WQAoO43S.jpg,,,,,,,[],,,,
1475494600328597514,1475494600328597514,2021-12-27 10:51:40 Eastern Standard Time,2021-12-27,10:51:40,-0400,2237836344,patreasurer,PA Treasurer Stacy Garrity,,"Sending my condolences to the family of Richard ""Dick"" Marcinko, first commanding officer of U.S. Navy SEAL Team 6 and Lansford, PA native, who passed away on Christmas. Thank you for your service.",en,[],[],[],1,6,22,[],[],https://twitter.com/PATreasurer/status/1475494600328597514,False,,0,,,,,,,,[],,,,
1475306032498987009,1475306032498987009,2021-12-26 22:22:22 Eastern Standard Time,2021-12-26,22:22:22,-0400,2237836344,patreasurer,PA Treasurer Stacy Garrity,,I want to wish all those celebrating a Happy Kwanzaa!  https://t.co/GUGJWy91V2,en,[],[],['https://pbs.twimg.com/media/FHlWZ9TXIAIutPr.jpg'],0,2,11,[],[],https://twitter.com/PATreasurer/status/1475306032498987009,False,,1,https://pbs.twimg.com/media/FHlWZ9TXIAIutPr.jpg,,,,,,,[],,,,
1474055078466228227,1474055078466228227,2021-12-23 11:31:31 Eastern Standard Time,2021-12-23,11:31:31,-0400,2237836344,patreasurer,PA Treasurer Stacy Garrity,,I wish all Pennsylvanians and their families a happy and safe holiday season!  https://t.co/RKTcNMr2Sx,en,[],[],['https://pbs.twimg.com/media/FHTlQyGXwAEjqSG.jpg'],1,3,12,[],[],https://twitter.com/PATreasurer/status/1474055078466228227,False,,1,https://pbs.twimg.com/media/FHTlQyGXwAEjqSG.jpg,,,,,,,[],,,,
