id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1343998292414312451,1343998292414312451,2020-12-29 14:12:17 Eastern Standard Time,2020-12-29,14:12:17,-0400,125458893,jasonmiyaresva,Jason Miyares,,I'm pleased to welcome Klarke Kilgore as our team’s campaign manager. He brings a wealth of experience fighting for conservative causes in Virginia and across America.  https://t.co/FHq7vjZRZo,en,[],['https://therepublicanstandard.com/miyares-hires-trump-wh-official-klarke-kilgore-to-head-ag-campaign/'],[],0,9,33,[],[],https://twitter.com/JasonMiyaresVA/status/1343998292414312451,False,,0,,,,,,,,[],,,,
1343732126802468866,1343732126802468866,2020-12-28 20:34:39 Eastern Standard Time,2020-12-28,20:34:39,-0400,125458893,jasonmiyaresva,Jason Miyares,,Today’s @washingtonpost op Ed by a Dem candidate for Lt Gov. is confirmation of how far Left is today’s Democratic Party.  VA’s @RightToWork used to have bipartisan support; no more. I’ll always champion @RightToWork as Attorney General; we need a check and balance in Richmond,en,"[{'screen_name': 'washingtonpost', 'name': 'the washington post', 'id': '2467791'}, {'screen_name': 'righttowork', 'name': 'national right to work foundation', 'id': '16440298'}, {'screen_name': 'righttowork', 'name': 'national right to work foundation', 'id': '16440298'}]",[],[],4,10,39,[],[],https://twitter.com/JasonMiyaresVA/status/1343732126802468866,False,,0,,,,,,,,[],,,,
1342477772564914177,1342477772564914177,2020-12-25 09:30:17 Eastern Standard Time,2020-12-25,09:30:17,-0400,125458893,jasonmiyaresva,Jason Miyares,,"May the Babe in Bethlehem give your entire family Hope through the whole year.   Let us all remember this moment in human history when ""Love came down down, the Earth stood still"" and a Baby's cry sounded like a symphony in Heaven.   Merry Christmas from the Miyares Family.",en,[],[],[],0,2,6,[],[],https://twitter.com/JasonMiyaresVA/status/1342477772564914177,False,,0,,,,,,,,[],,,,
1341437441165684737,1341437441165684737,2020-12-22 12:36:23 Eastern Standard Time,2020-12-22,12:36:23,-0400,125458893,jasonmiyaresva,Jason Miyares,,I’m honored to have @DelRBell and these fellow Republicans standing with our campaign to restore conservative leadership back to Richmond for a safe and secure Commonwealth!  https://t.co/Mdz8unYqcP,en,"[{'screen_name': 'delrbell', 'name': 'rob bell', 'id': '273475760'}]",[],['https://pbs.twimg.com/media/Ep2-JrLXYAAFLLq.jpg'],0,3,8,[],[],https://twitter.com/JasonMiyaresVA/status/1341437441165684737,False,,1,https://pbs.twimg.com/media/Ep2-JrLXYAAFLLq.jpg,,,,,,,[],,,,
1339965340403585026,1339965340403585026,2020-12-18 11:06:47 Eastern Standard Time,2020-12-18,11:06:47,-0400,125458893,jasonmiyaresva,Jason Miyares,,Gov. Northam’s court-packing attempt is nothing but a naked power grab for Democrats! I joined @WMALDC’s @VinceCoglianese to discuss it this morning.  CHECK IT OUT:  https://t.co/7NdYbSMrwQ,en,"[{'screen_name': 'wmaldc', 'name': 'wmal dc', 'id': '16509580'}, {'screen_name': 'vincecoglianese', 'name': 'vince coglianese', 'id': '69022849'}]",['https://omny.fm/shows/mornings-on-the-mall/wmal-interview-virginia-del-jason-miyares-12-18-20'],[],3,11,12,[],[],https://twitter.com/JasonMiyaresVA/status/1339965340403585026,False,,0,,,,,,,,[],,,,
1339590893381144582,1339590893381144582,2020-12-17 10:18:52 Eastern Standard Time,2020-12-17,10:18:52,-0400,125458893,jasonmiyaresva,Jason Miyares,,Governor Northam’s attempt to pack our Courts before his term expires is a brazen liberal power grab that threatens to fundamentally change Virginia's judicial system.       My full statement:  https://t.co/4jaPXdPg8p,en,[],[],['https://pbs.twimg.com/media/EpcuTKaUwAMXzr1.jpg'],14,29,83,[],[],https://twitter.com/JasonMiyaresVA/status/1339590893381144582,False,,1,https://pbs.twimg.com/media/EpcuTKaUwAMXzr1.jpg,,,,,,,[],,,,
1338517185426231298,1338517185426231298,2020-12-14 11:12:20 Eastern Standard Time,2020-12-14,11:12:20,-0400,125458893,jasonmiyaresva,Jason Miyares,,So the Seattle Mayor announces she isn’t running for re-election after seeing murder rates skyrocket while pushing an 18 percent cut in police budget.   Good news for the people of Seattle and shows once again the failure of the Far Left in public safety.  https://t.co/sVKdEkXFVm,en,[],[],['https://pbs.twimg.com/media/EpNeSEgXcAMyDfM.jpg'],0,6,13,[],[],https://twitter.com/JasonMiyaresVA/status/1338517185426231298,False,,1,https://pbs.twimg.com/media/EpNeSEgXcAMyDfM.jpg,,,,,,,[],,,,
1337151682367680519,1337151682367680519,2020-12-10 16:46:18 Eastern Standard Time,2020-12-10,16:46:18,-0400,125458893,jasonmiyaresva,Jason Miyares,,"Because the one word always forgotten when discussing ""criminal justice reform"" is VICTIMS.   Convicted killer’s parole “like being punched in the stomach” for victim’s family  https://t.co/YhSNDcpnZd",en,[],['https://www.wfxrtv.com/news/local-news/lynchburg-central-virginia-news/convicted-killers-parole-like-being-punched-in-the-stomach-for-victims-family/'],[],0,1,1,[],[],https://twitter.com/JasonMiyaresVA/status/1337151682367680519,False,,0,,,,,,,,[],,,,
1337006645717692416,1337006645717692416,2020-12-10 07:09:59 Eastern Standard Time,2020-12-10,07:09:59,-0400,125458893,jasonmiyaresva,Jason Miyares,,The progressive record on public safety summed up in one headline: “Minneapolis City Council votes to cut millions from police budget amid record crime rates” - The Washington Post  https://t.co/H6yASh36BZ,en,[],['https://www.washingtonpost.com/national/minneapolis-city-council-votes-to-cut-millions-from-police-budget-amid-record-crime-rates/2020/12/10/af3f14ee-3a8c-11eb-bc68-96af0daae728_story.html'],[],0,1,3,[],[],https://twitter.com/JasonMiyaresVA/status/1337006645717692416,False,,0,,,,,,,,[],,,,
1336396129769025538,1336396129769025538,2020-12-08 14:44:01 Eastern Standard Time,2020-12-08,14:44:01,-0400,125458893,jasonmiyaresva,Jason Miyares,,"So the VA Parole Board just let out Gregory Joyner who brutally raped, strangled &amp; murdered 15-year-old Sarah Jamison.  Despite the Parole Board noting his ""history of violence"" he is out free in his 40s.  Sarah however will never return.  We need a new Attorney General.",en,[],[],[],61,277,973,[],[],https://twitter.com/JasonMiyaresVA/status/1336396129769025538,False,,0,,,,,,,,[],,,,
