id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1072496836039053313,1072148788054253570,2018-12-11 09:22:26 Eastern Standard Time,2018-12-11,09:22:26,-0400,532702053,douglafollette,Doug La Follette,,@Evan_Hafenbread @jessieopie Very kind of you; Evan   ---double Hoot,en,[],[],[],0,0,10,[],[],https://twitter.com/DougLaFollette/status/1072496836039053313,False,,0,,,,,,,,"[{'screen_name': 'Evan_Hafenbread', 'name': 'Evan G. Hafenbreadl', 'id': '1075626570'}, {'screen_name': 'jessieopie', 'name': 'Jessie Opoien', 'id': '19925191'}]",,,,
1071057417985802242,1070717521173602305,2018-12-07 10:02:42 Eastern Standard Time,2018-12-07,10:02:42,-0400,532702053,douglafollette,Doug La Follette,,@RNeupert @sbauerAP where are your offices; thanks.,en,[],[],[],1,0,7,[],[],https://twitter.com/DougLaFollette/status/1071057417985802242,False,,0,,,,,,,,"[{'screen_name': 'RNeupert', 'name': 'Ray Neupert', 'id': '564759314'}, {'screen_name': 'sbauerAP', 'name': 'Scott Bauer', 'id': '28635386'}]",,,,
1070735734393454592,1070717521173602305,2018-12-06 12:44:27 Eastern Standard Time,2018-12-06,12:44:27,-0400,532702053,douglafollette,Doug La Follette,,@LeonardGo @sbauerAP I am definitely a cool kid.  Hoot,en,[],[],[],2,5,34,[],[],https://twitter.com/DougLaFollette/status/1070735734393454592,False,,0,,,,,,,,"[{'screen_name': 'LeonardGo', 'name': 'Leonard Go', 'id': '35866725'}, {'screen_name': 'sbauerAP', 'name': 'Scott Bauer', 'id': '28635386'}]",,,,
1070735536699133953,1070717521173602305,2018-12-06 12:43:39 Eastern Standard Time,2018-12-06,12:43:39,-0400,532702053,douglafollette,Doug La Follette,,@sbauerAP It is the modern way; ask Trump---HOOT,en,[],[],[],0,4,26,[],[],https://twitter.com/DougLaFollette/status/1070735536699133953,False,,0,,,,,,,,"[{'screen_name': 'sbauerAP', 'name': 'Scott Bauer', 'id': '28635386'}]",,,,
1070686201319972864,1070446794650214400,2018-12-06 09:27:37 Eastern Standard Time,2018-12-06,09:27:37,-0400,532702053,douglafollette,Doug La Follette,,@badachie @mat02180 @IAmKrishanPatel That is totally false; I did then and have every since razed heck about the removal of duties.  You are must of had you head in the sand.,en,[],[],[],0,0,4,[],[],https://twitter.com/DougLaFollette/status/1070686201319972864,False,,0,,,,,,,,"[{'screen_name': 'badachie', 'name': 'That Clerk Rachel 🌻🇺🇦', 'id': '48732783'}, {'screen_name': 'IAmKrishanPatel', 'name': 'Krishan Patel', 'id': '899404385700073473'}]",,,,
1070449365494493184,1070449365494493184,2018-12-05 17:46:31 Eastern Standard Time,2018-12-05,17:46:31,-0400,532702053,douglafollette,Doug La Follette,,"@JoshKaulWI please call me, Doug La Follette",en,[],[],[],3,10,47,[],[],https://twitter.com/DougLaFollette/status/1070449365494493184,False,,0,,,,,,,,[],,,,
1064502764045246466,1021813987820941312,2018-11-19 07:56:51 Eastern Standard Time,2018-11-19,07:56:51,-0400,532702053,douglafollette,Doug La Follette,,"@Arvina4WI I appreciate the thought and I am open to any suggestion you have for actions I might take.  Thanks, Doug",en,[],[],[],1,0,0,[],[],https://twitter.com/DougLaFollette/status/1064502764045246466,False,,0,,,,,,,,"[{'screen_name': 'Arvina4WI', 'name': 'Arvina Martin', 'id': '32652058'}]",,,,
1063440659309309953,1062478714959736832,2018-11-16 09:36:25 Eastern Standard Time,2018-11-16,09:36:25,-0400,532702053,douglafollette,Doug La Follette,,@gquella I love having good buddies such as yourself.   Hoot,en,[],[],[],0,0,6,[],[],https://twitter.com/DougLaFollette/status/1063440659309309953,False,,0,,,,,,,,"[{'screen_name': 'gquella', 'name': 'GQ', 'id': '257775913'}]",,,,
1058081888898871297,1057011424474660864,2018-11-01 15:42:35 Eastern Daylight Time,2018-11-01,15:42:35,-0400,532702053,douglafollette,Doug La Follette,,@mjbellecourt HI; not preform some science BUT give a talk to a non-scientific audience about  science.,en,[],[],[],1,0,0,[],[],https://twitter.com/DougLaFollette/status/1058081888898871297,False,,0,,,,,,,,"[{'screen_name': 'mjbellecourt', 'name': 'Michael 🏳️\u200d🌈', 'id': '21629628'}]",,,,
1056645536412065792,1056028114902491137,2018-10-28 16:35:02 Eastern Daylight Time,2018-10-28,16:35:02,-0400,532702053,douglafollette,Doug La Follette,,"@frankensteinguy @SarahforWI @WisDems @MandelaForWI @Tony4WI @tammybaldwin @IronStache @JoshKaulWI @Gwen4Congress Like I said, been sick in bed.  Glad it was a good event.   NOW, we much get a very big turnout to win.",en,[],[],[],0,0,1,[],[],https://twitter.com/DougLaFollette/status/1056645536412065792,False,,0,,,,,,,,"[{'screen_name': 'frankensteinguy', 'name': 'JMRoy', 'id': '274142965'}, {'screen_name': 'SarahforWI', 'name': 'Sarah Godlewski', 'id': '4018919237'}, {'screen_name': 'WisDems', 'name': 'Wisconsin Democrats', 'id': '27078238'}, {'screen_name': 'MandelaForWI', 'name': 'Mandela for Wisconsin', 'id': '980165152560615424'}, {'screen_name': 'Tony4WI', 'name': 'Tony Evers', 'id': '816819836105949184'}, {'screen_name': 'tammybaldwin', 'name': 'Tammy Baldwin', 'id': '87510313'}, {'screen_name': 'IronStache', 'name': 'Randy Bryce', 'id': '292083207'}, {'screen_name': 'JoshKaulWI', 'name': 'Josh Kaul', 'id': '849992745942908928'}, {'screen_name': 'Gwen4Congress', 'name': 'Gwen S. Moore', 'id': '784965392'}]",,,,
1056192822217502721,1056192822217502721,2018-10-27 10:36:06 Eastern Daylight Time,2018-10-27,10:36:06,-0400,532702053,douglafollette,Doug La Follette,,"Great Rally; sadly, I was/am in bed with a bad cold.",en,[],[],[],1,0,4,[],[],https://twitter.com/DougLaFollette/status/1056192822217502721,False,,0,,,,,,,,[],,,,
1050025431959818242,1049372583265800193,2018-10-10 10:09:06 Eastern Daylight Time,2018-10-10,10:09:06,-0400,532702053,douglafollette,Doug La Follette,,@RadioMilwaukee @Schroederforwi I think I  did; of not; please send me the email again. Doug,en,[],[],[],1,0,1,[],[],https://twitter.com/DougLaFollette/status/1050025431959818242,False,,0,,,,,,,,"[{'screen_name': 'RadioMilwaukee', 'name': '88NineRadioMilwaukee', 'id': '4267931'}]",,,,
1048941144888029184,1048705276688445441,2018-10-07 10:20:31 Eastern Daylight Time,2018-10-07,10:20:31,-0400,532702053,douglafollette,Doug La Follette,,@jill_cuzzo But Manchin is better the the R--sad situation.,en,[],[],[],0,0,5,[],[],https://twitter.com/DougLaFollette/status/1048941144888029184,False,,0,,,,,,,,"[{'screen_name': 'jill_cuzzo', 'name': '梅薇', 'id': '4626499582'}]",,,,
1048940900574015488,1048705276688445441,2018-10-07 10:19:33 Eastern Daylight Time,2018-10-07,10:19:33,-0400,532702053,douglafollette,Doug La Follette,,@jill_cuzzo Yes Yes,en,[],[],[],0,0,0,[],[],https://twitter.com/DougLaFollette/status/1048940900574015488,False,,0,,,,,,,,"[{'screen_name': 'jill_cuzzo', 'name': '梅薇', 'id': '4626499582'}]",,,,
1048612622336253953,1048612622336253953,2018-10-06 12:35:06 Eastern Daylight Time,2018-10-06,12:35:06,-0400,532702053,douglafollette,Doug La Follette,,One month to go--please check out  https://t.co/AOYkUg6lpk,en,[],['http://douglafollette.com'],[],2,8,16,[],[],https://twitter.com/DougLaFollette/status/1048612622336253953,False,,0,,,,,,,,[],,,,
1043535278600855552,1043513670146433024,2018-09-22 12:19:33 Eastern Daylight Time,2018-09-22,12:19:33,-0400,532702053,douglafollette,Doug La Follette,,"@MadisonVoters @tammybaldwin @Tony4WI @TheOtherMandela @JoshKaulWI @SarahforWI @SheliaStubbs4WI @WisDems @danedems Yes, I         voted  already     Thanks,  Doug",en,[],[],[],0,0,1,[],[],https://twitter.com/DougLaFollette/status/1043535278600855552,False,,0,,,,,,,,"[{'screen_name': 'MadisonVoters', 'name': 'South Madison Voters', 'id': '897293054163529728'}, {'screen_name': 'tammybaldwin', 'name': 'Tammy Baldwin', 'id': '87510313'}, {'screen_name': 'Tony4WI', 'name': 'Tony Evers', 'id': '816819836105949184'}, {'screen_name': 'TheOtherMandela', 'name': 'Mandela Barnes', 'id': '540973577'}, {'screen_name': 'JoshKaulWI', 'name': 'Josh Kaul', 'id': '849992745942908928'}, {'screen_name': 'SarahforWI', 'name': 'Sarah Godlewski', 'id': '4018919237'}, {'screen_name': 'SheliaStubbs4WI', 'name': 'Shelia Stubbs', 'id': '1009449730873556992'}, {'screen_name': 'WisDems', 'name': 'Wisconsin Democrats', 'id': '27078238'}, {'screen_name': 'danedems', 'name': 'Dane Dems', 'id': '129210727'}]",,,,
1040646274024972290,1040646274024972290,2018-09-14 12:59:40 Eastern Daylight Time,2018-09-14,12:59:40,-0400,532702053,douglafollette,Doug La Follette,,we are fixing the site check ii out Thanks for pointing this out to me Doug,en,[],[],[],0,1,4,[],[],https://twitter.com/DougLaFollette/status/1040646274024972290,False,,0,,,,,,,,[],,,,
1039963498648928257,1037840187466768384,2018-09-12 15:46:34 Eastern Daylight Time,2018-09-12,15:46:34,-0400,532702053,douglafollette,Doug La Follette,,@_coolpup_ Thanks; I have people looking into this.  Doug,en,[],[],[],0,0,1,[],[],https://twitter.com/DougLaFollette/status/1039963498648928257,False,,0,,,,,,,,"[{'screen_name': '_coolpup_', 'name': 'coolpup 💾', 'id': '1360006818'}]",,,,
1039561999418568710,1037840187466768384,2018-09-11 13:11:09 Eastern Daylight Time,2018-09-11,13:11:09,-0400,532702053,douglafollette,Doug La Follette,,@_coolpup_ not sure I understand; please explain; thanks,en,[],[],[],1,0,1,[],[],https://twitter.com/DougLaFollette/status/1039561999418568710,False,,0,,,,,,,,"[{'screen_name': '_coolpup_', 'name': 'coolpup 💾', 'id': '1360006818'}]",,,,
1034498149530914816,1034498149530914816,2018-08-28 13:49:13 Eastern Daylight Time,2018-08-28,13:49:13,-0400,532702053,douglafollette,Doug La Follette,,"Well, I am on to the general election; Thanks to everyone who helped me get this far.  Now I need to raise a little  money; please go to  https://t.co/AOYkUg6lpk",en,[],['http://douglafollette.com'],[],2,16,22,[],[],https://twitter.com/DougLaFollette/status/1034498149530914816,False,,0,,,,,,,,[],,,,
