id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1060745769324630016,1060745769324630016,2018-11-08 23:07:53 Eastern Standard Time,2018-11-08,23:07:53,-0400,99425931,electcraigblair,Craig Blair,, https://t.co/klWS566qpA,und,[],[],['https://pbs.twimg.com/media/DriGpsuWwAA3pYx.jpg'],0,0,4,[],[],https://twitter.com/ElectCraigBlair/status/1060745769324630016,False,,1,https://pbs.twimg.com/media/DriGpsuWwAA3pYx.jpg,,,,,,,[],,,,
1059936025940779008,1059936025940779008,2018-11-06 17:30:15 Eastern Standard Time,2018-11-06,17:30:15,-0400,99425931,electcraigblair,Craig Blair,,"POLLS CLOSE AT 7:30 PM!  If you haven’t already done so, be sure to get to your polling location to cast your ballot for your #Republican candidates to continue the #WVcomeback! You can find the location of your polling place, here:  https://t.co/6jqTFwC9fW",en,[],['https://buff.ly/2RBfJp9'],[],0,0,2,"['republican', 'wvcomeback']",[],https://twitter.com/ElectCraigBlair/status/1059936025940779008,False,,0,,,,,,,,[],,,,
1059920943995408390,1059920943995408390,2018-11-06 16:30:20 Eastern Standard Time,2018-11-06,16:30:20,-0400,99425931,electcraigblair,Craig Blair,,"Return to decades of failed Democrat policies or continue the #WVcomeback under #Republican leadership?   Today, your choice couldn’t be clearer.  #Vote for Republican candidates to keep moving our state forward!  https://t.co/JIOvNdPV3n",en,[],[],['https://pbs.twimg.com/media/DrWYeqTWwAAejGe.jpg'],0,0,2,"['wvcomeback', 'republican', 'vote']",[],https://twitter.com/ElectCraigBlair/status/1059920943995408390,False,,1,https://pbs.twimg.com/media/DrWYeqTWwAAejGe.jpg,,,,,,,[],,,,
1059902500898258944,1059902500898258944,2018-11-06 15:17:02 Eastern Standard Time,2018-11-06,15:17:02,-0400,99425931,electcraigblair,Craig Blair,,"#ElectionDay2018 is finally here!  As an American, it’s your civic duty to vote, so be sure to let your voice be heard at the polls today!  Vote for #Republican candidates to Make West Virginia Great Again! #MAGA  https://t.co/tSusxUGh8u",en,[],[],['https://pbs.twimg.com/media/DrWHtCBWwAAz5EF.jpg'],0,0,1,"['electionday2018', 'republican', 'maga']",[],https://twitter.com/ElectCraigBlair/status/1059902500898258944,False,,1,https://pbs.twimg.com/media/DrWHtCBWwAAz5EF.jpg,,,,,,,[],,,,
1059868183518154752,1059868183518154752,2018-11-06 13:00:41 Eastern Standard Time,2018-11-06,13:00:41,-0400,99425931,electcraigblair,Craig Blair,,"After 83 years of Democrat policies that devastated our economy, the Republican-led legislature is leading the #WVcomeback.  Like and retweet if you voted for @WVGOP candidates today to continue our state’s tremendous progress!  https://t.co/SZvWqeyfax",en,"[{'screen_name': 'wvgop', 'name': 'wvgop', 'id': '44170811'}]",[],['https://pbs.twimg.com/media/DrVofvDWwAET2TZ.jpg'],0,0,1,['wvcomeback'],[],https://twitter.com/ElectCraigBlair/status/1059868183518154752,False,,1,https://pbs.twimg.com/media/DrVofvDWwAET2TZ.jpg,,,,,,,[],,,,
1059848392883519488,1059848392883519488,2018-11-06 11:42:02 Eastern Standard Time,2018-11-06,11:42:02,-0400,99425931,electcraigblair,Craig Blair,,"FACT: Under @WVGOP leadership, #WestVirginia’s had the nation’s highest...   - GDP growth  - Per capita personal income growth  - Positive change in unemployment   #Vote #Republican today to maintain this momentum!  https://t.co/0VH4apP82G",en,"[{'screen_name': 'wvgop', 'name': 'wvgop', 'id': '44170811'}]",[],['https://pbs.twimg.com/media/DrVWfwaWsAEViqB.jpg'],0,0,2,"['westvirginia', 'vote', 'republican']",[],https://twitter.com/ElectCraigBlair/status/1059848392883519488,False,,1,https://pbs.twimg.com/media/DrVWfwaWsAEViqB.jpg,,,,,,,[],,,,
1059821720473927689,1059821720473927689,2018-11-06 09:56:03 Eastern Standard Time,2018-11-06,09:56:03,-0400,99425931,electcraigblair,Craig Blair,,"“Socialism is the opposite of what we fought for,"" says one Air Force vet. ""It punishes success, stifles innovation and creativity, and creates a society of dependency where tyranny can take root.""   Don't let #WV fall into the socialist trap.   Read more:  https://t.co/oiEMjyMbW8  https://t.co/2KCrtGs5t3",en,[],['https://buff.ly/2qvKS1a'],"['https://pbs.twimg.com/media/DrU-PN_WwAE7fnC.jpg', 'https://pbs.twimg.com/media/DrU-PL2X0AA9GtF.jpg']",0,0,3,['wv'],[],https://twitter.com/ElectCraigBlair/status/1059821720473927689,False,,1,https://pbs.twimg.com/media/DrU-PN_WwAE7fnC.jpg,,,,,,,[],,,,
1059811657004867585,1059811657004867585,2018-11-06 09:16:04 Eastern Standard Time,2018-11-06,09:16:04,-0400,99425931,electcraigblair,Craig Blair,,West Virginia cannot afford to reverse course from @WVGOP policies that are putting West Virginians back to work and attracting businesses and high paying jobs to our state.  Get out and #vote for your #Republican candidates today to continue the #WVcomeback!  https://t.co/9aoIUkKPsW,en,"[{'screen_name': 'wvgop', 'name': 'wvgop', 'id': '44170811'}]",[],['https://pbs.twimg.com/media/DrU1FdKW4AMWCmW.jpg'],0,0,3,"['vote', 'republican', 'wvcomeback']",[],https://twitter.com/ElectCraigBlair/status/1059811657004867585,False,,1,https://pbs.twimg.com/media/DrU1FdKW4AMWCmW.jpg,,,,,,,[],,,,
1059768865968799745,1059768865968799745,2018-11-06 06:26:01 Eastern Standard Time,2018-11-06,06:26:01,-0400,99425931,electcraigblair,Craig Blair,,"TODAY is #ELECTIONDAY!  GO #VOTE for @WVGOP candidates!  Polls will be open from 6:30 AM to 7:30 PM in #WestVirginia. If you aren’t sure of the exact location of your polling place, take a moment today to look it up, here:  https://t.co/6jqTFwC9fW  https://t.co/REskOf2sHc",en,"[{'screen_name': 'wvgop', 'name': 'wvgop', 'id': '44170811'}]",['https://buff.ly/2RBfJp9'],['https://pbs.twimg.com/media/DrUOKsaWwAAohT3.jpg'],0,0,3,"['electionday', 'vote', 'westvirginia']",[],https://twitter.com/ElectCraigBlair/status/1059768865968799745,False,,1,https://pbs.twimg.com/media/DrUOKsaWwAAohT3.jpg,,,,,,,[],,,,
1059614097514356737,1059614097514356737,2018-11-05 20:11:02 Eastern Standard Time,2018-11-05,20:11:02,-0400,99425931,electcraigblair,Craig Blair,,"Socialism “deserves no place in America or in West Virginia” says Air Force veteran John C. Casey.   Hear why he’s urging everyone, especially, veterans, to remember the crippling realities of socialism before heading to the polls:  https://t.co/oiEMjyMbW8  https://t.co/SiLA8so6UG",en,[],['https://buff.ly/2qvKS1a'],"['https://pbs.twimg.com/media/DrSBZ6uWsAAgTGy.jpg', 'https://pbs.twimg.com/media/DrSBZ_OWwAI08zu.jpg']",0,0,2,[],[],https://twitter.com/ElectCraigBlair/status/1059614097514356737,False,,1,https://pbs.twimg.com/media/DrSBZ6uWsAAgTGy.jpg,,,,,,,[],,,,
