id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1506118461725949957,1506115620361834499,2022-03-21 23:59:58 Eastern Daylight Time,2022-03-21,23:59:58,-0400,69663100,spencerjcox,Spencer Cox,,"@davidjsmith1232 I agree. I really like him, but it’s impossible to overstate how much his lack of shooting makes things difficult for everyone else.",en,[],[],[],3,0,24,[],[],https://twitter.com/SpencerJCox/status/1506118461725949957,False,,0,,,,,,,,"[{'screen_name': 'davidjsmith1232', 'name': 'David J. Smith', 'id': '25782605'}]",,,,
1505251147023409154,1505251147023409154,2022-03-19 14:33:34 Eastern Daylight Time,2022-03-19,14:33:34,-0400,69663100,spencerjcox,Spencer Cox,,This game…,en,[],[],[],5,1,59,[],[],https://twitter.com/SpencerJCox/status/1505251147023409154,False,,0,,,,,,,,[],,,,
1505212740582842374,1505210805133864963,2022-03-19 12:00:57 Eastern Daylight Time,2022-03-19,12:00:57,-0400,69663100,spencerjcox,Spencer Cox,,@itschappy  https://t.co/PyNUQmB3J5,und,[],['https://www.deseret.com/utah/2022/2/8/22923842/misinformation-conspiracy-theories-utah-legislature-united-nations-salt-lake-city-digital-ids'],[],4,0,8,[],[],https://twitter.com/SpencerJCox/status/1505212740582842374,False,,0,,,,,,,,"[{'screen_name': 'itschappy', 'name': 'Chappy 🇧🇷', 'id': '79198147'}]",,,,
1504966779998670850,1504966779998670850,2022-03-18 19:43:35 Eastern Daylight Time,2022-03-18,19:43:35,-0400,69663100,spencerjcox,Spencer Cox,,This team has been so much fun to watch this year. We’ve become big fans. #GoUtes,en,[],[],[],5,7,152,['goutes'],[],https://twitter.com/SpencerJCox/status/1504966779998670850,False,https://twitter.com/UTAHWBB/status/1504961661567909889,0,,,,,,,,[],,,,
1504542636283084812,1504542636283084812,2022-03-17 15:38:12 Eastern Daylight Time,2022-03-17,15:38:12,-0400,69663100,spencerjcox,Spencer Cox,,🇺🇦💙💛,und,[],[],[],0,4,97,[],[],https://twitter.com/SpencerJCox/status/1504542636283084812,False,https://twitter.com/theLHMcompany/status/1504508268458164225,0,,,,,,,,[],,,,
1504517156389613584,1504516484432752645,2022-03-17 13:56:57 Eastern Daylight Time,2022-03-17,13:56:57,-0400,69663100,spencerjcox,Spencer Cox,,@jandmplus6 @AbbyPalmerCox So cool! And sorry. At the Capitol working…but thank you (and please thank your wife and her school).,en,[],[],[],1,0,6,[],[],https://twitter.com/SpencerJCox/status/1504517156389613584,False,,0,,,,,,,,"[{'screen_name': 'jandmplus6', 'name': 'Jeff Biesinger 🌹', 'id': '2579306473'}, {'screen_name': 'AbbyPalmerCox', 'name': 'Abby Cox', 'id': '2911921148'}]",,,,
1504321905347624969,1504320002593239043,2022-03-17 01:01:05 Eastern Daylight Time,2022-03-17,01:01:05,-0400,69663100,spencerjcox,Spencer Cox,,@slcjuanb Abby went to college with him. There’s nothing quite like attending games with them. Just pure joy all the time.😅,en,[],[],[],1,0,3,[],[],https://twitter.com/SpencerJCox/status/1504321905347624969,False,,0,,,,,,,,"[{'screen_name': 'slcjuanb', 'name': 'Jonny Benson', 'id': '1431351454795591680'}]",,,,
1504314095050256385,1504267324219559938,2022-03-17 00:30:03 Eastern Daylight Time,2022-03-17,00:30:03,-0400,69663100,spencerjcox,Spencer Cox,,@TravLCox My daughter uses this one every time. 😂  https://t.co/IehcVwKT7L,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/FOBlsP9VkAI3Nv5.jpg'],1,0,9,[],[],https://twitter.com/SpencerJCox/status/1504314095050256385,False,,1,https://pbs.twimg.com/tweet_video_thumb/FOBlsP9VkAI3Nv5.jpg,,,,,,,"[{'screen_name': 'TravLCox', 'name': 'Travis Lincoln Cox', 'id': '32546728'}]",,,,
1504312259484413954,1504312259484413954,2022-03-17 00:22:46 Eastern Daylight Time,2022-03-17,00:22:46,-0400,69663100,spencerjcox,Spencer Cox,,Looking forward to this one.,en,[],[],[],3,5,94,[],[],https://twitter.com/SpencerJCox/status/1504312259484413954,False,https://twitter.com/DerwinLGray/status/1504201587249537040,0,,,,,,,,[],,,,
1504079434143322112,1504079434143322112,2022-03-16 08:57:36 Eastern Daylight Time,2022-03-16,08:57:36,-0400,69663100,spencerjcox,Spencer Cox,,Feels like one we should all watch (starting shortly):  https://t.co/tlhYgBC5GT,en,[],['https://youtu.be/-q8O0pvvGKU'],[],16,3,73,[],[],https://twitter.com/SpencerJCox/status/1504079434143322112,False,,0,,,,,,,,[],,,,
1503923598280470530,1503923598280470530,2022-03-15 22:38:22 Eastern Daylight Time,2022-03-15,22:38:22,-0400,69663100,spencerjcox,Spencer Cox,,I can’t recommend this video enough…,en,[],[],[],148,34,220,[],[],https://twitter.com/SpencerJCox/status/1503923598280470530,False,https://twitter.com/kiteandkeymedia/status/1503916711933714432,0,,,,,,,,[],,,,
1503557179114094594,1503553211457699842,2022-03-14 22:22:20 Eastern Daylight Time,2022-03-14,22:22:20,-0400,69663100,spencerjcox,Spencer Cox,,"@MorganSaxtonTV Morgan, I’m so sad for your pain and loss. I hope  you can find comfort and healing. You will be in our prayers.",en,[],[],[],1,0,12,[],[],https://twitter.com/SpencerJCox/status/1503557179114094594,False,,0,,,,,,,,"[{'screen_name': 'MorganSaxtonTV', 'name': 'Morgan Saxton', 'id': '2372118270'}]",,,,
1501797391858503685,1501797391858503685,2022-03-10 00:49:34 Eastern Standard Time,2022-03-10,00:49:34,-0400,69663100,spencerjcox,Spencer Cox,,😢  https://t.co/vY2SDk3rAD,und,[],[],['https://pbs.twimg.com/media/FNd0xHbVIAEHzvJ.jpg'],3,2,119,[],[],https://twitter.com/SpencerJCox/status/1501797391858503685,False,https://twitter.com/tribjazz/status/1501770275725078533,1,https://pbs.twimg.com/media/FNd0xHbVIAEHzvJ.jpg,,,,,,,[],,,,
1501286110453895172,1501280994673967110,2022-03-08 14:57:55 Eastern Standard Time,2022-03-08,14:57:55,-0400,69663100,spencerjcox,Spencer Cox,,@BYUapologist Really excited for the “planes to be named later” portion of the trade.,en,[],[],[],1,0,16,[],[],https://twitter.com/SpencerJCox/status/1501286110453895172,False,,0,,,,,,,,"[{'screen_name': 'BYUapologist', 'name': 'Thom Hone', 'id': '236617309'}]",,,,
1501038858154110977,1501038858154110977,2022-03-07 22:35:26 Eastern Standard Time,2022-03-07,22:35:26,-0400,69663100,spencerjcox,Spencer Cox,,"The administration’s war on American energy and minerals is bad for Americans, bad for Europe and Ukraine and bad for the environment. My letter to President Biden:  https://t.co/ENhjZHuhhA",en,[],[],"['https://pbs.twimg.com/media/FNTCz-fUYAk59nd.jpg', 'https://pbs.twimg.com/media/FNTCz-gUUAIoG4L.jpg', 'https://pbs.twimg.com/media/FNTCz-fVIAENR1H.jpg']",353,73,630,[],[],https://twitter.com/SpencerJCox/status/1501038858154110977,False,,1,https://pbs.twimg.com/media/FNTCz-fUYAk59nd.jpg,,,,,,,[],,,,
