id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1504918788050935813,1504918788050935813,2022-03-18 16:32:53 Eastern Daylight Time,2022-03-18,16:32:53,-0400,533302249,tjforvermont,AG TJ Donovan,,"Today I announced a lawsuit against TCA VOIP over bringing thousands of robocalls into #VT.   I want to be clear, companies bringing illegal robocalls into Vermont must be stopped. #vtpoli",en,[],[],[],0,1,7,"['vt', 'vtpoli']",[],https://twitter.com/TJforVermont/status/1504918788050935813,False,https://twitter.com/jshermnews/status/1504863174272634881,0,,,,,,,,[],,,,
1504508347608928260,1504508347608928260,2022-03-17 13:21:57 Eastern Daylight Time,2022-03-17,13:21:57,-0400,533302249,tjforvermont,AG TJ Donovan,,"Judge Ketanji Brown Jackson has extraordinary qualifications, character, experience, and integrity.   I am proud to stand with my colleagues in urging the senate to quickly confrim Judge Jackson.  https://t.co/ekBiVVVqVx",en,[],[],[],1,8,17,[],[],https://twitter.com/TJforVermont/status/1504508347608928260,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1504466500199014400/pu/img/JuuZ5YmjAbRU5z2d.jpg,,,,,,,[],,,,
1499461348580741125,1499461348580741125,2022-03-03 14:06:58 Eastern Standard Time,2022-03-03,14:06:58,-0400,533302249,tjforvermont,AG TJ Donovan,,"Breaking: I, along with several of my colleagues, have reached a $5.5 billion dollar settlement with Purdue Pharma and the Sackler family.    https://t.co/RssuRoJIiM",en,[],['https://www.nytimes.com/2022/03/03/health/sacklers-purdue-oxycontin-settlement.html'],[],4,1,11,[],[],https://twitter.com/TJforVermont/status/1499461348580741125,False,,0,,,,,,,,[],,,,
1499424363380031490,1499424363380031490,2022-03-03 11:40:00 Eastern Standard Time,2022-03-03,11:40:00,-0400,533302249,tjforvermont,AG TJ Donovan,,This investigation is about protecting kids and supporting parents.   I will continue to do all that I can to protect young Vermonters from online harms. @CNN    https://t.co/QD933giwNy,en,"[{'screen_name': 'cnn', 'name': 'cnn', 'id': '759251'}]",['https://www.cnn.com/2022/03/02/tech/tiktok-young-attorney-general-investigation/index.html'],[],2,0,4,[],[],https://twitter.com/TJforVermont/status/1499424363380031490,False,,0,,,,,,,,[],,,,
1498862357258272768,1498862357258272768,2022-03-01 22:26:48 Eastern Standard Time,2022-03-01,22:26:48,-0400,533302249,tjforvermont,AG TJ Donovan,,"Tonight we heard from President Joe Biden a vision for America that helps everyone and leaves no one behind.   As he said it is a unity agenda that we must get it done. We can tackle the opioid crisis, prescription drug prices, address mental health, and support our veterans.",en,[],[],[],2,8,20,[],[],https://twitter.com/TJforVermont/status/1498862357258272768,False,https://twitter.com/POTUS/status/1498855431292309506,0,,,,,,,,[],,,,
1497215588321705985,1497215588321705985,2022-02-25 09:23:07 Eastern Standard Time,2022-02-25,09:23:07,-0400,533302249,tjforvermont,AG TJ Donovan,,I am deeply concerned about the actions being taken in Texas against LGBTQ+ youth.   I have stood firmly in support of LGBTQ+ rights and will continue to do all that I can to ensure those rights are protected.,en,[],[],[],1,0,4,[],[],https://twitter.com/TJforVermont/status/1497215588321705985,False,https://twitter.com/TIME/status/1497074627549532160,0,,,,,,,,[],,,,
1493665536319922177,1493665536319922177,2022-02-15 14:16:29 Eastern Standard Time,2022-02-15,14:16:29,-0400,533302249,tjforvermont,AG TJ Donovan,,"Since his first day in office in 2011, @VermontSOS Jim Condos has been a fighter for voting rights &amp; accessibility.   Thank you, Sec. Condos, for your decades of service to this state and country. #vtpoli   https://t.co/UkMLv15LnI",en,"[{'screen_name': 'vermontsos', 'name': 'vermont secretary of state’s office', 'id': '3946773623'}]",['https://vtdigger.org/2022/02/15/secretary-of-state-jim-condos-announces-retirement-after-11-years-in-post/'],[],1,2,15,['vtpoli'],[],https://twitter.com/TJforVermont/status/1493665536319922177,False,,0,,,,,,,,[],,,,
1491110953039335424,1491110953039335424,2022-02-08 13:05:29 Eastern Standard Time,2022-02-08,13:05:29,-0400,533302249,tjforvermont,AG TJ Donovan,,Excellent news. I look forward to supporting Prop. 5 on the ballot and ensure that Vermonters have a right to access safe reproductive healthcare.,en,[],[],[],0,0,7,[],[],https://twitter.com/TJforVermont/status/1491110953039335424,False,https://twitter.com/MikaelaLefrak/status/1491099162993053698,0,,,,,,,,[],,,,
1487185710436212741,1487185710436212741,2022-01-28 17:07:58 Eastern Standard Time,2022-01-28,17:07:58,-0400,533302249,tjforvermont,AG TJ Donovan,,I am pleased to see this ruling from the 9th Circuit and proud to have joined many of my colleagues in the effort to protect #NetNeutrality .,en,[],[],[],1,10,24,['netneutrality'],[],https://twitter.com/TJforVermont/status/1487185710436212741,False,https://twitter.com/JRosenworcel/status/1487112919003406337,0,,,,,,,,[],,,,
1487178965911580676,1487176155580887040,2022-01-28 16:41:10 Eastern Standard Time,2022-01-28,16:41:10,-0400,533302249,tjforvermont,AG TJ Donovan,,You can read the brief signed by 19 Attorneys General here:  https://t.co/ExOXi1B3tu,en,[],['https://ago.vermont.gov/wp-content/uploads/2022/01/Kelley-v-Becerra-Amici-States-Brief.pdf'],[],1,0,2,[],[],https://twitter.com/TJforVermont/status/1487178965911580676,False,,0,,,,,,,,[],,,,
1487176155580887040,1487176155580887040,2022-01-28 16:30:00 Eastern Standard Time,2022-01-28,16:30:00,-0400,533302249,tjforvermont,AG TJ Donovan,,I am proud to join 18 of my fellow AGs in protecting the #ACA.   When healthcare access is on the line we won't back down.  https://t.co/k95sTEvbPP,en,[],[],['https://pbs.twimg.com/media/FKM_HmnWYAcI-cq.jpg'],2,2,24,['aca'],[],https://twitter.com/TJforVermont/status/1487176155580887040,False,,1,https://pbs.twimg.com/media/FKM_HmnWYAcI-cq.jpg,,,,,,,[],,,,
