id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509269980876980225,1509269980876980225,2022-03-30 16:42:58 Eastern Daylight Time,2022-03-30,16:42:58,-0400,54425068,ncago,NC Attorney General,,"Today, Attorney General @JoshStein_ filed a brief supporting the continuation of an antitrust case against HCA.  ""The competition and affordability concerns at the heart of this case could have a significant impact on customers in western North Carolina.""  https://t.co/SQLr7IzYs7  https://t.co/qkdIGwLVeV",en,"[{'screen_name': 'joshstein_', 'name': 'josh stein', 'id': '426353995'}]",['https://ncdoj.gov/attorney-general-josh-stein-supports-continuation-of-antitrust-case-against-hca/'],['https://pbs.twimg.com/media/FPIA413VsAIC-8E.jpg'],0,4,12,[],[],https://twitter.com/NCAGO/status/1509269980876980225,False,,1,https://pbs.twimg.com/media/FPIA413VsAIC-8E.jpg,,,,,,,[],,,,
1509175258921635847,1509175258921635847,2022-03-30 10:26:35 Eastern Daylight Time,2022-03-30,10:26:35,-0400,54425068,ncago,NC Attorney General,,The Cannabis Policy Webinar series will cover a diverse set of policy issues that are related to cannabis. Register today.  https://t.co/n2xDMoMV4v  https://t.co/24iYl6MS8d,en,[],['https://ncdoj.gov/cannabispolicy/'],['https://pbs.twimg.com/media/FPGqT7pVsAUK4x5.jpg'],1,4,7,[],[],https://twitter.com/NCAGO/status/1509175258921635847,False,,1,https://pbs.twimg.com/media/FPGqT7pVsAUK4x5.jpg,,,,,,,[],,,,
1508914953842880512,1508914948277035011,2022-03-29 17:12:13 Eastern Daylight Time,2022-03-29,17:12:13,-0400,54425068,ncago,NC Attorney General,,"Attorney General @JoshStein_ is also investigating TikTok and Meta (formerly Facebook) to determine how social media platforms are attracting children and young adults, the potential harm on young users, and what it is doing to protect kids.  https://t.co/iGvu4XHQiH",en,"[{'screen_name': 'joshstein_', 'name': 'josh stein', 'id': '426353995'}]",['https://www.cbs17.com/news/north-carolina-news/nc-attorney-general-investigating-tiktok-for-promoting-app-to-kids/'],[],0,2,9,[],[],https://twitter.com/NCAGO/status/1508914953842880512,False,,0,,,,,,,,[],,,,
1508914952001576961,1508914948277035011,2022-03-29 17:12:13 Eastern Daylight Time,2022-03-29,17:12:13,-0400,54425068,ncago,NC Attorney General,,"More than half of young people between 12 and 17 use Snapchat on a weekly basis, and nearly two-thirds use TikTok on a weekly basis. Parental control apps empower parents by allowing them to monitor content that the platform itself does not monitor to protect their children.",en,[],[],[],1,0,8,[],[],https://twitter.com/NCAGO/status/1508914952001576961,False,,0,,,,,,,,[],,,,
1508914948277035011,1508914948277035011,2022-03-29 17:12:12 Eastern Daylight Time,2022-03-29,17:12:12,-0400,54425068,ncago,NC Attorney General,,BREAKING: AG @JoshStein_ &amp; Mississippi AG @LynnFitchAG led a bipartisan group of 44 attorneys general asking TikTok &amp; Snapchat to give parents more ability to protect their children online by allowing 3rd party apps that empower parents to monitor content.  https://t.co/S9us4uCsjr  https://t.co/kaAnqXtlFr,en,"[{'screen_name': 'joshstein_', 'name': 'josh stein', 'id': '426353995'}, {'screen_name': 'lynnfitchag', 'name': 'lynn fitch', 'id': '236576910'}]",['https://ncdoj.gov/attorney-general-josh-stein-leads-44-bipartisan-attorneys-general-pressing-tiktok-and-snapchat-over-parental-controls/'],['https://pbs.twimg.com/media/FPC2PpAVQAAj5o4.jpg'],5,9,20,[],[],https://twitter.com/NCAGO/status/1508914948277035011,False,,1,https://pbs.twimg.com/media/FPC2PpAVQAAj5o4.jpg,,,,,,,[],,,,
1508895139531436033,1508895139531436033,2022-03-29 15:53:29 Eastern Daylight Time,2022-03-29,15:53:29,-0400,54425068,ncago,NC Attorney General,,"Attorney General @JoshStein_  joined @cps_nc's Queen City Harm Reduction &amp; other @MeckCounty elected officials to discuss the $750 million from the opioid settlement agreement &amp; how it will be used for local treatment, recovery, prevention, and harm reduction services.  https://t.co/k3mPB9Edfw",en,"[{'screen_name': 'joshstein_', 'name': 'josh stein', 'id': '426353995'}, {'screen_name': 'cps_nc', 'name': 'cps_nc', 'id': '365194261'}, {'screen_name': 'meckcounty', 'name': 'mecklenburg county', 'id': '20164131'}]",[],['https://pbs.twimg.com/media/FPCpf0FVUAIBPiZ.jpg'],2,11,34,[],[],https://twitter.com/NCAGO/status/1508895139531436033,False,,1,https://pbs.twimg.com/media/FPCpf0FVUAIBPiZ.jpg,,,,,,,[],,,,
1508816571917033476,1508816571917033476,2022-03-29 10:41:17 Eastern Daylight Time,2022-03-29,10:41:17,-0400,54425068,ncago,NC Attorney General,,"This morning, Attorney General @JoshStein_ spoke about the $750 million in opioid settlement funds coming to NC communities at the @NCACC Funding Strategy Summit. This money will start flowing to state and local governments in the second quarter of this year.  https://t.co/Y7GwZoE6pm",en,"[{'screen_name': 'joshstein_', 'name': 'josh stein', 'id': '426353995'}, {'screen_name': 'ncacc', 'name': 'north carolina association of county commissioners', 'id': '43156171'}]",[],['https://pbs.twimg.com/media/FPBkTniWUAgmfX1.jpg'],2,7,16,[],[],https://twitter.com/NCAGO/status/1508816571917033476,False,,1,https://pbs.twimg.com/media/FPBkTniWUAgmfX1.jpg,,,,,,,[],,,,
1508539615703052289,1508539615703052289,2022-03-28 16:20:46 Eastern Daylight Time,2022-03-28,16:20:46,-0400,54425068,ncago,NC Attorney General,,Lenders can sometimes use buy-now-pay-later loans to take advantage of consumers. That's why AG @JoshStein_  urged the Consumer Financial Protection Bureau to ensure that lenders are not engaging in practices that trap consumers in a cycle of debt.  https://t.co/rGJU6q7af0  https://t.co/ltiWKIuY1z,en,"[{'screen_name': 'joshstein_', 'name': 'josh stein', 'id': '426353995'}]",['https://ncdoj.gov/attorney-general-josh-stein-consumer-financial-protection-bureau-should-prioritize-consumer-protections-during-inquiry-into-buy-now-pay-later-lending-industry/'],['https://pbs.twimg.com/media/FO9hXWJVIAIIkLV.jpg'],1,6,17,[],[],https://twitter.com/NCAGO/status/1508539615703052289,False,,1,https://pbs.twimg.com/media/FO9hXWJVIAIIkLV.jpg,,,,,,,[],,,,
1508456752362127363,1508456752362127363,2022-03-28 10:51:30 Eastern Daylight Time,2022-03-28,10:51:30,-0400,54425068,ncago,NC Attorney General,,"Money from the historic $26 billion opioid settlement agreement will start flowing into North Carolina soon. The treatment, recovery, prevention, and harm reduction services that will be available across the state will help to fight the opioid crisis.  https://t.co/VewgYMiQlV",en,[],['https://borderbelt.org/how-nc-counties-could-spend-opioid-settlement-money/'],[],0,6,22,[],[],https://twitter.com/NCAGO/status/1508456752362127363,False,,0,,,,,,,,[],,,,
1507434417228292102,1507434417228292102,2022-03-25 15:09:06 Eastern Daylight Time,2022-03-25,15:09:06,-0400,54425068,ncago,NC Attorney General,,"Today, Attorney General @JoshStein_ spoke at the Hispanic Education Summit presented by @TheNCSHP. Hispanic professionals make important contributions to NC's economy and education is a key investment in every young person's future.  https://t.co/I26X8mJBxF",en,"[{'screen_name': 'joshstein_', 'name': 'josh stein', 'id': '426353995'}, {'screen_name': 'thencshp', 'name': 'nc society of hispanic professionals (ncshp)', 'id': '498242814'}]",[],"['https://pbs.twimg.com/media/FOt7nGsXMAMwrSJ.jpg', 'https://pbs.twimg.com/media/FOt7nGtX0AEASga.jpg']",0,5,7,[],[],https://twitter.com/NCAGO/status/1507434417228292102,False,,1,https://pbs.twimg.com/media/FOt7nGsXMAMwrSJ.jpg,,,,,,,[],,,,
