id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509282989011730437,1509282970409979909,2022-03-30 17:34:40 Eastern Daylight Time,2022-03-30,17:34:40,-0400,20217019,dougducey,Doug Ducey,,None of this trade and investment would have been possible without the leadership and hard work of all our partners here in Arizona and abroad. Thank you 4/4,en,[],[],[],6,2,1,[],[],https://twitter.com/DougDucey/status/1509282989011730437,False,,0,,,,,,,,[],,,,
1509282983542333446,1509282970409979909,2022-03-30 17:34:39 Eastern Daylight Time,2022-03-30,17:34:39,-0400,20217019,dougducey,Doug Ducey,,"Discussed this growth with @uarizona President Robert Robbins as well, and how Arizona’s innovative ecosystem has catalyzed international investment and exposure. @uarizonapres 3/  https://t.co/9myHjAEnAV",en,"[{'screen_name': 'uarizona', 'name': 'university of arizona', 'id': '14862639'}, {'screen_name': 'uarizonapres', 'name': 'robert c. robbins', 'id': '875473696412061696'}]",[],"['https://pbs.twimg.com/media/FPIMNsVVUAABDCN.jpg', 'https://pbs.twimg.com/media/FPIMRA3VsAIDzY5.jpg']",2,2,3,[],[],https://twitter.com/DougDucey/status/1509282983542333446,False,,1,https://pbs.twimg.com/media/FPIMNsVVUAABDCN.jpg,,,,,,,[],,,,
1509282975820570627,1509282970409979909,2022-03-30 17:34:37 Eastern Daylight Time,2022-03-30,17:34:37,-0400,20217019,dougducey,Doug Ducey,,"Arizona exports grew from $19.7 billion in 2020 to $24 billion in 2021, nearly matching record levels in 2019. 2/",en,[],[],[],1,3,6,[],[],https://twitter.com/DougDucey/status/1509282975820570627,False,,0,,,,,,,,[],,,,
1509282970409979909,1509282970409979909,2022-03-30 17:34:35 Eastern Daylight Time,2022-03-30,17:34:35,-0400,20217019,dougducey,Doug Ducey,,Arizona’s manufacturing industry is booming and our international trade is accelerating. Shared that Arizona exports have almost fully rebounded from the declines of the pandemic in today’s International State of the State. @pcfrarizona #pcfraz #isos17 1/  https://t.co/5Wayef73g7,en,"[{'screen_name': 'pcfrarizona', 'name': 'phoenix committee on foreign relations', 'id': '1592420234'}]",[],"['https://pbs.twimg.com/media/FPILgNrVsAQaC1w.jpg', 'https://pbs.twimg.com/media/FPIMDWoVkAI96Gp.jpg', 'https://pbs.twimg.com/media/FPIMFRzVkAADD6t.jpg', 'https://pbs.twimg.com/media/FPIMxMhUcAMA_Hw.jpg']",6,6,19,"['pcfraz', 'isos17']",[],https://twitter.com/DougDucey/status/1509282970409979909,False,,1,https://pbs.twimg.com/media/FPILgNrVsAQaC1w.jpg,,,,,,,[],,,,
1509274493696430083,1509274048684912642,2022-03-30 17:00:54 Eastern Daylight Time,2022-03-30,17:00:54,-0400,20217019,dougducey,Doug Ducey,,"COVID-19 challenged us in ways we never could’ve imagined. No corner of our state — no corner of our country or the world — was spared. But we met that challenge head on by prioritizing lives, livelihoods and individual liberties. The time is right to move forward. 3/3",en,[],[],[],41,6,64,[],[],https://twitter.com/DougDucey/status/1509274493696430083,False,,0,,,,,,,,[],,,,
1509274211218440192,1509274048684912642,2022-03-30 16:59:47 Eastern Daylight Time,2022-03-30,16:59:47,-0400,20217019,dougducey,Doug Ducey,,"This virus isn’t completely gone, but because of the vaccine and other life-saving measures, today we are better positioned to manage and mitigate it. 2/",en,[],[],[],10,9,66,[],[],https://twitter.com/DougDucey/status/1509274211218440192,False,,0,,,,,,,,[],,,,
1509274048684912642,1509274048684912642,2022-03-30 16:59:08 Eastern Daylight Time,2022-03-30,16:59:08,-0400,20217019,dougducey,Doug Ducey,,"Today I am terminating the state’s COVID-19 State of Emergency. Thanks to the hard work of many — health care workers, businesses, public and private sector employees — COVID-19 is no longer an emergency in Arizona. 1/  https://t.co/yMyDO5X2hL",en,[],['https://azgovernor.gov/governor/news/2022/03/governor-ducey-ends-covid-19-emergency-declaration-arizona-prepared-future'],[],123,118,557,[],[],https://twitter.com/DougDucey/status/1509274048684912642,False,,0,,,,,,,,[],,,,
1509258780386553857,1509258780386553857,2022-03-30 15:58:28 Eastern Daylight Time,2022-03-30,15:58:28,-0400,20217019,dougducey,Doug Ducey,,"Met with Director General Louis Huang of the Taipei Economic and Cultural Office. With strong ties already in areas like semiconductors, tech &amp; advanced manufacturing, we discussed continuing to forge a strong trade relationship. @tecoinla  https://t.co/wDkfoEqsAS",en,"[{'screen_name': 'tecoinla', 'name': 'taiwan in los angeles', 'id': '1069743145540182017'}]",[],['https://pbs.twimg.com/media/FPH2yOtVcAEDXGF.jpg'],8,2,10,[],[],https://twitter.com/DougDucey/status/1509258780386553857,False,,1,https://pbs.twimg.com/media/FPH2yOtVcAEDXGF.jpg,,,,,,,[],,,,
1509241341577891846,1509241336527917056,2022-03-30 14:49:10 Eastern Daylight Time,2022-03-30,14:49:10,-0400,20217019,dougducey,Doug Ducey,,Many states are taking similar action to protect life. We hope that the U.S. Supreme Court will uphold a similar Mississippi law in the coming weeks. 4/4,en,[],[],[],64,8,68,[],[],https://twitter.com/DougDucey/status/1509241341577891846,False,,0,,,,,,,,[],,,,
1509241339954704391,1509241336527917056,2022-03-30 14:49:10 Eastern Daylight Time,2022-03-30,14:49:10,-0400,20217019,dougducey,Doug Ducey,,"We also affirmed Arizona’s commitment to protecting the lives of preborn children with the signing of S.B. 1164. The bill prohibits a physician from performing an abortion past 15 weeks gestation, except in a medical emergency. 3/",en,[],[],[],83,16,101,[],[],https://twitter.com/DougDucey/status/1509241339954704391,False,,0,,,,,,,,[],,,,
1509241338633486337,1509241336527917056,2022-03-30 14:49:10 Eastern Daylight Time,2022-03-30,14:49:10,-0400,20217019,dougducey,Doug Ducey,,"This legislation is common-sense and narrowly-targeted to address these two specific issues ⁠— while ensuring that transgender individuals continue to receive the same dignity, respect and kindness as every individual in our society. 2/",en,[],[],[],31,6,51,[],[],https://twitter.com/DougDucey/status/1509241338633486337,False,,0,,,,,,,,[],,,,
1509241336527917056,1509241336527917056,2022-03-30 14:49:09 Eastern Daylight Time,2022-03-30,14:49:09,-0400,20217019,dougducey,Doug Ducey,,"Today, I signed S.B. 1138 and S.B. 1165, legislation to protect participation and fairness for female athletes, and to ensure that individuals undergoing irreversible gender reassignment surgery are of adult age. 1/  https://t.co/BgB0lEU9Um",en,[],['https://azgovernor.gov/governor/news/2022/03/governor-ducey-signs-common-sense-legislation-maintain-fairness-school'],[],224,67,322,[],[],https://twitter.com/DougDucey/status/1509241336527917056,False,,0,,,,,,,,[],,,,
1509237934737674242,1509237934737674242,2022-03-30 14:35:38 Eastern Daylight Time,2022-03-30,14:35:38,-0400,20217019,dougducey,Doug Ducey,,"Arizona is a leader in election integrity — and election integrity means counting every lawful vote and prohibiting any attempt to illegally cast a vote. #HB2492 does that, while honoring Arizona’s history of making voting accessible.  https://t.co/pLSbHER8WK",en,[],['https://azgovernor.gov/governor/news/2022/03/governor-ducey-signs-legislation-furthering-arizonas-position-leader-election'],[],140,74,238,['hb2492'],[],https://twitter.com/DougDucey/status/1509237934737674242,False,,0,,,,,,,,[],,,,
1509197871895130114,1509197871895130114,2022-03-30 11:56:26 Eastern Daylight Time,2022-03-30,11:56:26,-0400,20217019,dougducey,Doug Ducey,,Thank you to all our doctors and health practitioners for all that you have done to care for patients and Arizonans. We are grateful for your dedication and compassion. #NationalDoctorsDay  https://t.co/ohBQpnoil9,en,[],[],['https://pbs.twimg.com/media/FPG_blpVcAQ4MhP.jpg'],26,4,28,['nationaldoctorsday'],[],https://twitter.com/DougDucey/status/1509197871895130114,False,,1,https://pbs.twimg.com/media/FPG_blpVcAQ4MhP.jpg,,,,,,,[],,,,
1508956470934528003,1508956470934528003,2022-03-29 19:57:12 Eastern Daylight Time,2022-03-29,19:57:12,-0400,20217019,dougducey,Doug Ducey,,"#WildfireAwarenessWeek: To help prevent wildfires, ensure camp fires are out cold before leaving your campsite unattended. Remember: drown, stir and repeat. @azstateforestry  More tips:  https://t.co/xMdcv3KwnL  https://t.co/5QoFWjzxDo",en,"[{'screen_name': 'azstateforestry', 'name': 'az state forestry', 'id': '65683938'}]",['https://dffm.az.gov/southwest-wildfire-awareness-week-dont-wait-wildfires-start-prepare-and-be-aware'],['https://pbs.twimg.com/media/FPDjw7pVEAE61P6.jpg'],2,3,12,['wildfireawarenessweek'],[],https://twitter.com/DougDucey/status/1508956470934528003,False,,1,https://pbs.twimg.com/media/FPDjw7pVEAE61P6.jpg,,,,,,,[],,,,
1508916419307597827,1508916419307597827,2022-03-29 17:18:03 Eastern Daylight Time,2022-03-29,17:18:03,-0400,20217019,dougducey,Doug Ducey,,"Arizona’s high-tech economy is soaring! “Looking to capitalize on a business-friendly environment, expansive talent pool, and quality of life, companies such as Nikola Motor Co., Microsoft, Uber, DoubleDutch, and Gainsight have increased the size of their local footprint.""",en,[],[],[],24,7,28,[],[],https://twitter.com/DougDucey/status/1508916419307597827,False,https://twitter.com/azcommerce/status/1508522913028222978,0,,,,,,,,[],,,,
1508869162143141889,1508869162143141889,2022-03-29 14:10:16 Eastern Daylight Time,2022-03-29,14:10:16,-0400,20217019,dougducey,Doug Ducey,,"It’s an all hands-on-deck approach to close the learning gap caused by the pandemic. Now is not the time to have more time away from school, peers and teachers.  More on AZ OnTrack Summer Camp at  https://t.co/YrKRZeFJU5.   https://t.co/MN5wE9SPy5",en,[],"['http://ontrack.az.gov', 'https://azcapitoltimes.com/news/2022/03/28/schools-push-to-restore-learning-loss-in-pandemic/']",[],20,6,17,[],[],https://twitter.com/DougDucey/status/1508869162143141889,False,,0,,,,,,,,[],,,,
1508835785574785027,1508835785574785027,2022-03-29 11:57:38 Eastern Daylight Time,2022-03-29,11:57:38,-0400,20217019,dougducey,Doug Ducey,,"Today, we honor our service members who fought for our nation during the Vietnam War. Arizona is grateful for their service, sacrifice and courage. #VietnamWarVeteransDay  https://t.co/TUIVhXdSxr",en,[],[],['https://pbs.twimg.com/media/FPB2GogVsAM_y-l.jpg'],12,9,41,['vietnamwarveteransday'],[],https://twitter.com/DougDucey/status/1508835785574785027,False,,1,https://pbs.twimg.com/media/FPB2GogVsAM_y-l.jpg,,,,,,,[],,,,
1508823491126042625,1508823489083445250,2022-03-29 11:08:47 Eastern Daylight Time,2022-03-29,11:08:47,-0400,20217019,dougducey,Doug Ducey,,"Camps are available throughout the state, and more options will continue to be added to  https://t.co/YrKRZeFJU5. Continue to check the website for camp options that are best for your student!",en,[],['http://ontrack.az.gov'],[],2,1,1,[],[],https://twitter.com/DougDucey/status/1508823491126042625,False,,0,,,,,,,,[],,,,
