id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1504245436533592066,1504245436533592066,2022-03-16 19:57:14 Eastern Daylight Time,2022-03-16,19:57:14,-0400,128631032,tomdinapoli,Tom DiNapoli,,Incredible energy in Queens tonight on a beautiful night to celebrate @CatalinaCruzNY 💙🧡  https://t.co/l44VgalJBk,en,"[{'screen_name': 'catalinacruzny', 'name': 'catalina cruz, esq.', 'id': '2792794113'}]",[],['https://pbs.twimg.com/media/FOAnP-1XIAI9fAD.jpg'],2,7,85,[],[],https://twitter.com/TomDiNapoli/status/1504245436533592066,False,,1,https://pbs.twimg.com/media/FOAnP-1XIAI9fAD.jpg,,,,,,,[],,,,
1501967594152243203,1501967594152243203,2022-03-10 12:05:54 Eastern Standard Time,2022-03-10,12:05:54,-0400,128631032,tomdinapoli,Tom DiNapoli,,"Tom said it best: unions secure our economic security and they create DIGNITY.   Dignity in the job, dignity in retirement. That’s what unions are all about. That’s what @NYHTC is all about! 💪✊  https://t.co/oVdr9UHntX",en,"[{'screen_name': 'nyhtc', 'name': 'hotel trades council', 'id': '84386902'}]",[],[],2,6,15,[],[],https://twitter.com/TomDiNapoli/status/1501967594152243203,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1501967532193984516/pu/img/Y7kY-rbnJKHysrfE.jpg,,,,,,,[],,,,
1501957745251082240,1501957745251082240,2022-03-10 11:26:46 Eastern Standard Time,2022-03-10,11:26:46,-0400,128631032,tomdinapoli,Tom DiNapoli,,We’re all in for labor power ✊  @NYHTC  https://t.co/54TgZxXQbX,en,"[{'screen_name': 'nyhtc', 'name': 'hotel trades council', 'id': '84386902'}]",[],[],1,3,9,[],[],https://twitter.com/TomDiNapoli/status/1501957745251082240,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1501957698744635394/pu/img/3kgnFGvXvxEAJfd_.jpg,,,,,,,[],,,,
1501943353474097155,1501943353474097155,2022-03-10 10:29:34 Eastern Standard Time,2022-03-10,10:29:34,-0400,128631032,tomdinapoli,Tom DiNapoli,,Exciting things happening this morning @NYHTC #LaborForTom✊  https://t.co/6fCQK2C4ng,en,"[{'screen_name': 'nyhtc', 'name': 'hotel and gaming trades council', 'id': '84386902'}]",[],['https://pbs.twimg.com/media/FNf5g1jVkAgAUw1.jpg'],1,2,9,['laborfortom'],[],https://twitter.com/TomDiNapoli/status/1501943353474097155,False,,1,https://pbs.twimg.com/media/FNf5g1jVkAgAUw1.jpg,,,,,,,[],,,,
1495892595653980160,1495892495179386887,2022-02-21 17:46:01 Eastern Standard Time,2022-02-21,17:46:01,-0400,128631032,tomdinapoli,Tom DiNapoli,,It was incredible to see old friends and meet new ones! Now we want to see your pictures…share your #NYDems2022 #TeamTom photos below!👇  https://t.co/9mVdZIigSv,en,[],[],"['https://pbs.twimg.com/media/FMJ6YU4XMAMvfpt.jpg', 'https://pbs.twimg.com/media/FMJ6Yf3WYAAMgdW.jpg', 'https://pbs.twimg.com/media/FMJ6YfuXEAQUfXN.jpg', 'https://pbs.twimg.com/media/FMJ6YtrXMAM-Ihx.jpg']",0,1,9,"['nydems2022', 'teamtom']",[],https://twitter.com/TomDiNapoli/status/1495892595653980160,False,,1,https://pbs.twimg.com/media/FMJ6YU4XMAMvfpt.jpg,,,,,,,[],,,,
1495892579023564801,1495892495179386887,2022-02-21 17:45:57 Eastern Standard Time,2022-02-21,17:45:57,-0400,128631032,tomdinapoli,Tom DiNapoli,,Running on the @NYDems ticket is an honor we don’t take lightly.   Our campaign will spend every day until Election Day making you proud!  🎊  https://t.co/LQp6BhIKRD,en,"[{'screen_name': 'nydems', 'name': 'new york state democratic party', 'id': '25017309'}]",[],['https://pbs.twimg.com/media/FMJ6XbvXEAcu0XR.jpg'],1,3,10,[],[],https://twitter.com/TomDiNapoli/status/1495892579023564801,False,,1,https://pbs.twimg.com/media/FMJ6XbvXEAcu0XR.jpg,,,,,,,[],,,,
1495892556613304324,1495892495179386887,2022-02-21 17:45:52 Eastern Standard Time,2022-02-21,17:45:52,-0400,128631032,tomdinapoli,Tom DiNapoli,,Spending time with Hazel Dukes and @AndreaSCousins backstage on the day Tom received the official support of @NYDems was incredibly meaningful. They are legends for a reason and we’re so grateful 🙏  https://t.co/H7q6gfuKsV,en,"[{'screen_name': 'andreascousins', 'name': 'sen. stewart-cousins', 'id': '36745613'}, {'screen_name': 'nydems', 'name': 'new york state democratic party', 'id': '25017309'}]",[],"['https://pbs.twimg.com/media/FMJ6WH9XIAEqxCi.jpg', 'https://pbs.twimg.com/media/FMJ6WdIXMAIyfWH.jpg']",1,0,5,[],[],https://twitter.com/TomDiNapoli/status/1495892556613304324,False,,1,https://pbs.twimg.com/media/FMJ6WH9XIAEqxCi.jpg,,,,,,,[],,,,
1495892535998398464,1495892495179386887,2022-02-21 17:45:47 Eastern Standard Time,2022-02-21,17:45:47,-0400,128631032,tomdinapoli,Tom DiNapoli,,"New York is a union town, that’s why we’re proud that labor is the backbone of the #TeamTom coalition 💪💪💪  https://t.co/0Zw8at4f5S",en,[],[],"['https://pbs.twimg.com/media/FMJ6U1fXwAMtbXS.jpg', 'https://pbs.twimg.com/media/FMJ6VBXXMAEVEJc.jpg', 'https://pbs.twimg.com/media/FMJ6VL5XEAcWufB.jpg']",1,0,5,['teamtom'],[],https://twitter.com/TomDiNapoli/status/1495892535998398464,False,,1,https://pbs.twimg.com/media/FMJ6U1fXwAMtbXS.jpg,,,,,,,[],,,,
1495892519569305602,1495892495179386887,2022-02-21 17:45:43 Eastern Standard Time,2022-02-21,17:45:43,-0400,128631032,tomdinapoli,Tom DiNapoli,,A moment to remember! @HillaryClinton makes us especially proud to be a New York State Democrat 🔥💯  #NYDems2022  https://t.co/ndZHLIoVD5,en,"[{'screen_name': 'hillaryclinton', 'name': 'hillary clinton', 'id': '1339835893'}]",[],['https://pbs.twimg.com/media/FMJ6T9iXoAEnffU.jpg'],1,0,6,['nydems2022'],[],https://twitter.com/TomDiNapoli/status/1495892519569305602,False,,1,https://pbs.twimg.com/media/FMJ6T9iXoAEnffU.jpg,,,,,,,[],,,,
1495892495179386887,1495892495179386887,2022-02-21 17:45:37 Eastern Standard Time,2022-02-21,17:45:37,-0400,128631032,tomdinapoli,Tom DiNapoli,,"Last week was huge for our campaign! We were so busy meeting with unions, advocates, and Democratic clubs -- not to mention attending the #NYDems2022 Nominating Convention -- that we barely had time to tweet.   So it’s only right that we share a #TeamTom photo thread 📸🧵  https://t.co/M96y69Wmxd",en,[],[],"['https://pbs.twimg.com/media/FMJ6SBEXIAAwyMu.jpg', 'https://pbs.twimg.com/media/FMJ6SBIXIAEmvEa.jpg', 'https://pbs.twimg.com/media/FMJ6SBEXEBMFSqa.jpg', 'https://pbs.twimg.com/media/FMJ6SBxXEAAebM6.jpg']",3,3,24,"['nydems2022', 'teamtom']",[],https://twitter.com/TomDiNapoli/status/1495892495179386887,False,,1,https://pbs.twimg.com/media/FMJ6SBEXIAAwyMu.jpg,,,,,,,[],,,,
1494852203990953988,1494852203990953988,2022-02-18 20:51:53 Eastern Standard Time,2022-02-18,20:51:53,-0400,128631032,tomdinapoli,Tom DiNapoli,,"ICYMI This week, we were honored to add @CWADistrict1 to our list of union supporters! 💪💪💪#DiNapoliLaborFridays   https://t.co/U5eIzWxle8",en,"[{'screen_name': 'cwadistrict1', 'name': 'cwa district 1', 'id': '3321135820'}]",['https://www.nydailynews.com/news/politics/new-york-elections-government/ny-dinapoli-endorsed-communications-workers-of-america-20220214-mbtpfb3tofbstbu53g7gjnj7me-story.html'],[],2,1,6,['dinapolilaborfridays'],[],https://twitter.com/TomDiNapoli/status/1494852203990953988,False,,0,,,,,,,,[],,,,
