id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1353780907895902210,1353780907895902210,2021-01-25 14:04:55 Eastern Standard Time,2021-01-25,14:04:55,-0400,1009408189530591232,lgrhoden,Lt. Governor Larry Rhoden,,Fond memories of the time @SenJohnThune and I released a box full of butterflies and one landed on my shoulder...  https://t.co/yeerJiDlte,en,"[{'screen_name': 'senjohnthune', 'name': 'senator john thune', 'id': '296361085'}]",[],['https://pbs.twimg.com/media/EsmYbvUXMAEEZYO.jpg'],1,2,18,[],[],https://twitter.com/lgrhoden/status/1353780907895902210,False,,1,https://pbs.twimg.com/media/EsmYbvUXMAEEZYO.jpg,,,,,,,[],,,,
1326577770919587841,1326577770919587841,2020-11-11 12:29:21 Eastern Standard Time,2020-11-11,12:29:21,-0400,1009408189530591232,lgrhoden,Lt. Governor Larry Rhoden,,"I spent this Veterans’ Day morning speaking to the US Wheat Associates. They moved their conference to Sioux Falls because of Phoenix's COVID restrictions.  America feeds the world, and we do it better than anyone else. We even have great South Dakota Wheat ties to prove it!  https://t.co/GU96atLTlY",en,[],[],"['https://pbs.twimg.com/media/EmjzJ_kW8AY-1gi.jpg', 'https://pbs.twimg.com/media/EmjzLBWWMAECHoe.jpg']",3,0,4,[],[],https://twitter.com/lgrhoden/status/1326577770919587841,False,,1,https://pbs.twimg.com/media/EmjzJ_kW8AY-1gi.jpg,,,,,,,[],,,,
1324401871277199360,1324401871277199360,2020-11-05 12:23:06 Eastern Standard Time,2020-11-05,12:23:06,-0400,1009408189530591232,lgrhoden,Lt. Governor Larry Rhoden,,Belle Fourche is a great city. It was a lot of fun visiting it with @govkristinoem yesterday!,en,"[{'screen_name': 'govkristinoem', 'name': 'governor kristi noem', 'id': '235251868'}]",[],[],17,14,217,[],[],https://twitter.com/lgrhoden/status/1324401871277199360,False,https://twitter.com/govkristinoem/status/1324061495299346432,0,,,,,,,,[],,,,
1232750142207528961,1232750142207528961,2020-02-26 14:31:51 Eastern Standard Time,2020-02-26,14:31:51,-0400,1009408189530591232,lgrhoden,Lt. Governor Larry Rhoden,,Meet the AP Government classes from Rapid City Central and Stevens. Such bright students with bright futures. Great to visit with them today.  https://t.co/lShfiV06bA,en,[],[],"['https://pbs.twimg.com/media/ERubtl-W4AAERNL.jpg', 'https://pbs.twimg.com/media/ERubtl-XkAMhhaq.jpg', 'https://pbs.twimg.com/media/ERubtl8XYAcIOXG.jpg']",5,3,20,[],[],https://twitter.com/lgrhoden/status/1232750142207528961,False,,1,https://pbs.twimg.com/media/ERubtl-W4AAERNL.jpg,,,,,,,[],,,,
1232403269760245760,1232403269760245760,2020-02-25 15:33:31 Eastern Standard Time,2020-02-25,15:33:31,-0400,1009408189530591232,lgrhoden,Lt. Governor Larry Rhoden,,"Yesterday, I was honored to testify in support of General Marlette’s cabinet appointment. General Marlette is a leader. He ensures our troops are ready for all missions that come their way. Thank you for your service! @SD_Guard  https://t.co/yW0BXbVgAh",en,"[{'screen_name': 'sd_guard', 'name': 's.d. national guard', 'id': '632373412'}]",[],['https://pbs.twimg.com/media/ERpgPP2XUAUNjDr.jpg'],0,1,5,[],[],https://twitter.com/lgrhoden/status/1232403269760245760,False,,1,https://pbs.twimg.com/media/ERpgPP2XUAUNjDr.jpg,,,,,,,[],,,,
1232402714182791168,1232402714182791168,2020-02-25 15:31:18 Eastern Standard Time,2020-02-25,15:31:18,-0400,1009408189530591232,lgrhoden,Lt. Governor Larry Rhoden,,"Today is #E30Day. South Dakota is a leader in ethanol production, so go fuel up your rig with E30 to support our state’s economy.  https://t.co/Z1YvS9YlPd",en,[],[],[],4,8,16,['e30day'],[],https://twitter.com/lgrhoden/status/1232402714182791168,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1232402659254194176/pu/img/0AOssSEABBIFjXfq.jpg,,,,,,,[],,,,
1228329024356786178,1228329024356786178,2020-02-14 09:43:55 Eastern Standard Time,2020-02-14,09:43:55,-0400,1009408189530591232,lgrhoden,Lt. Governor Larry Rhoden,,"Thanks for stopping by the Capitol, Katelynn. You’re doing a great job representing the SD 4-H Rodeo.  https://t.co/w1OYEqIpGi",en,[],[],['https://pbs.twimg.com/media/EQvmu5PXkAIqSzy.jpg'],0,3,9,[],[],https://twitter.com/lgrhoden/status/1228329024356786178,False,,1,https://pbs.twimg.com/media/EQvmu5PXkAIqSzy.jpg,,,,,,,[],,,,
1223676313892016129,1223676313892016129,2020-02-01 13:35:42 Eastern Standard Time,2020-02-01,13:35:42,-0400,1009408189530591232,lgrhoden,Lt. Governor Larry Rhoden,,Great to spend time with folks at the @bhstockshow. Thanks to everyone who worked hard to put on the event.   @govkristinoem @RepDustyJohnson  https://t.co/aSY2Irj0dw,en,"[{'screen_name': 'bhstockshow', 'name': 'black hills stock show & central states fair', 'id': '600374825'}, {'screen_name': 'govkristinoem', 'name': 'governor kristi noem', 'id': '235251868'}, {'screen_name': 'repdustyjohnson', 'name': 'rep. dusty johnson', 'id': '1074782372594413569'}]",[],"['https://pbs.twimg.com/media/EPtfGgrX4AAAOxy.jpg', 'https://pbs.twimg.com/media/EPtfGhaXkAAVqmm.jpg', 'https://pbs.twimg.com/media/EPtfGjCWAAAreYP.jpg', 'https://pbs.twimg.com/media/EPtfGmDXUAsU9NE.jpg']",2,3,15,[],[],https://twitter.com/lgrhoden/status/1223676313892016129,False,,1,https://pbs.twimg.com/media/EPtfGgrX4AAAOxy.jpg,,,,,,,[],,,,
1222632620858560513,1222632620858560513,2020-01-29 16:28:26 Eastern Standard Time,2020-01-29,16:28:26,-0400,1009408189530591232,lgrhoden,Lt. Governor Larry Rhoden,,"As a rancher, I’ve seen firsthand the way trade deals impact the agriculture industry. I’m pleased to see @realDonaldTrump sign the #USMCA into law – an agreement that will grow our economy and expand opportunities for SD producers.",en,"[{'screen_name': 'realdonaldtrump', 'name': 'donald j. trump', 'id': '25073877'}]",[],[],2,10,30,['usmca'],[],https://twitter.com/lgrhoden/status/1222632620858560513,False,https://twitter.com/WhiteHouse45/status/1222552502081470465,0,,,,,,,,[],,,,
1222571078209482755,1222571078209482755,2020-01-29 12:23:53 Eastern Standard Time,2020-01-29,12:23:53,-0400,1009408189530591232,lgrhoden,Lt. Governor Larry Rhoden,,#USMCA is a BIG win for SD!   @WhiteHouse,en,"[{'screen_name': 'whitehouse', 'name': 'the white house', 'id': '1323730225067339784'}]",[],[],0,2,14,['usmca'],[],https://twitter.com/lgrhoden/status/1222571078209482755,False,https://twitter.com/govkristinoem/status/1222570638004621312,0,,,,,,,,[],,,,
