id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1209839831616016384,1209839831616016384,2019-12-25 09:14:28 Eastern Standard Time,2019-12-25,09:14:28,-0400,19668491,governorkayivey,Governor Kay Ivey,,"On this joyous day, we celebrate the gift of our Savior! I pray that during this beautiful season, we are reminded of the love we receive from Jesus &amp; extend that to our neighbors, family &amp; friends. I pray you have a very, Merry Christmas!  https://t.co/U1pYZKSFlC",en,[],['https://www.youtube.com/watch?v=tvbckOHk_VE&feature=youtu.be'],[],21,19,209,[],[],https://twitter.com/GovernorKayIvey/status/1209839831616016384,False,,0,,,,,,,,[],,,,
1209135108307005440,1209135108307005440,2019-12-23 10:34:09 Eastern Standard Time,2019-12-23,10:34:09,-0400,19668491,governorkayivey,Governor Kay Ivey,,Thankful for the service of so many Alabamians. Merry Christmas!,en,[],[],[],7,15,113,[],[],https://twitter.com/GovernorKayIvey/status/1209135108307005440,False,https://twitter.com/AlabamaNG/status/1209126169716707328,0,,,,,,,,[],,,,
1208764545705107462,1208764545705107462,2019-12-22 10:01:40 Eastern Standard Time,2019-12-22,10:01:40,-0400,19668491,governorkayivey,Governor Kay Ivey,,"Flags across AL are being flown at half-staff today to honor @USNavy Ensign Joshua Kaleb Watson, who died as a hero trying to protect his fellow service members on Dec. 6. His act of bravery will always be remembered. May God comfort his family &amp; friends, as he is laid to rest.  https://t.co/wXkgWFxTC3",en,"[{'screen_name': 'usnavy', 'name': 'u.s. navy', 'id': '54885400'}]",[],['https://pbs.twimg.com/media/EMZk8nMWoAAh3dB.jpg'],8,57,241,[],[],https://twitter.com/GovernorKayIvey/status/1208764545705107462,False,,1,https://pbs.twimg.com/media/EMZk8nMWoAAh3dB.jpg,,,,,,,[],,,,
1208090263710846977,1208090263710846977,2019-12-20 13:22:18 Eastern Standard Time,2019-12-20,13:22:18,-0400,19668491,governorkayivey,Governor Kay Ivey,,"Congratulations to #MissAmerica2020 Camille Schrier of Virginia! On top of winning, she’s a biochemist focused on showing kids that science is fun.👏  @MissAmericaVA, you are welcome to visit Alabama anytime! #STEM #GirlsInSTEM #GovIveyforCS @MissAmerica    https://t.co/B603fikoeO",en,"[{'screen_name': 'missamericava', 'name': 'miss virginia', 'id': '3065639095'}, {'screen_name': 'missamerica', 'name': 'the miss america org', 'id': '35940348'}]",['https://time.com/5750825/miss-america-winner/'],[],5,8,51,"['missamerica2020', 'stem', 'girlsinstem', 'goviveyforcs']",[],https://twitter.com/GovernorKayIvey/status/1208090263710846977,False,,0,,,,,,,,[],,,,
1208032404771950592,1208032404771950592,2019-12-20 09:32:24 Eastern Standard Time,2019-12-20,09:32:24,-0400,19668491,governorkayivey,Governor Kay Ivey,,"Just in time for Christmas — Alabama has set a NEW, historic low unemployment rate of 2.7%! For 7 consecutive months, we’ve continued to break records &amp; beat expectations. All this data combines to paint a picture of economic health in Alabama. @al_labor #WeHaveJobs #alpolitics",en,"[{'screen_name': 'al_labor', 'name': 'adol', 'id': '500126565'}]",[],[],14,29,101,"['wehavejobs', 'alpolitics']",[],https://twitter.com/GovernorKayIvey/status/1208032404771950592,False,https://twitter.com/al_labor/status/1208029363142381568,0,,,,,,,,[],,,,
1207814833338552327,1207814833338552327,2019-12-19 19:07:51 Eastern Standard Time,2019-12-19,19:07:51,-0400,19668491,governorkayivey,Governor Kay Ivey,,Thank you @BetsyDeVosED &amp; @usedgov for awarding the Alabama College of Osteopathic Medicine an Emergency Assistance to Institutions of Higher Education grant to help assist our teachers and students in Dothan.  https://t.co/TGP1iVR1nH @ACOMEDU #alpolitics,en,"[{'screen_name': 'betsydevosed', 'name': 'secretary betsy devos', 'id': '828997388920619008'}, {'screen_name': 'usedgov', 'name': 'u.s. department of education', 'id': '20437286'}, {'screen_name': 'acomedu', 'name': 'acom', 'id': '794314278'}]",['https://www.ed.gov/news/press-releases/department-education-announces-recovery-assistance-students-schools-impacted-natural-disasters'],[],4,4,11,['alpolitics'],[],https://twitter.com/GovernorKayIvey/status/1207814833338552327,False,,0,,,,,,,,[],,,,
1207807272379985926,1207807272379985926,2019-12-19 18:37:48 Eastern Standard Time,2019-12-19,18:37:48,-0400,19668491,governorkayivey,Governor Kay Ivey,,Construction of the Birmingham Northern Beltline will resume soon thanks to legislation passed in Congress today! This is great news for the Birmingham region &amp; our entire state. We thank @SenShelby for his leadership in securing this funding. #alpolitics  https://t.co/AzA8u9KTgS,en,"[{'screen_name': 'senshelby', 'name': 'richard shelby', 'id': '21111098'}]",['https://governor.alabama.gov/press-releases/governor-ivey-says-birmingham-northern-beltline-construction-to-continue/'],[],0,8,36,['alpolitics'],[],https://twitter.com/GovernorKayIvey/status/1207807272379985926,False,,0,,,,,,,,[],,,,
1207792992645517312,1207792992645517312,2019-12-19 17:41:03 Eastern Standard Time,2019-12-19,17:41:03,-0400,19668491,governorkayivey,Governor Kay Ivey,,"Be sure to tune in to @wsfa12news at 6 tonight to watch my exclusive, end-of-the-year interview with @LydiaNusbaum! We had a great time reviewing the legislative progress we’ve made in 2019 &amp; discussing what’s ahead for our state in 2020. #alpolitics  https://t.co/Z8ZWZuqpSS",en,"[{'screen_name': 'wsfa12news', 'name': 'wsfa 12 news', 'id': '21845346'}, {'screen_name': 'lydianusbaum', 'name': 'lydia nusbaum', 'id': '2218745581'}]",[],['https://pbs.twimg.com/media/EMLxUdbUEAIUYse.jpg'],2,7,21,['alpolitics'],[],https://twitter.com/GovernorKayIvey/status/1207792992645517312,False,,1,https://pbs.twimg.com/media/EMLxUdbUEAIUYse.jpg,,,,,,,[],,,,
1207791032206802945,1207791032206802945,2019-12-19 17:33:16 Eastern Standard Time,2019-12-19,17:33:16,-0400,19668491,governorkayivey,Governor Kay Ivey,,I’m excited to announce the Dept. of Early Childhood Education was awarded $33 million by @HHSGov &amp; @usedgov for a renewal of AL’s Preschool Development Grant Birth Through Five initiative over the next three years!  https://t.co/TRTnGoZe3N #StrongStartStrongFinish #alpolitics  https://t.co/bBEYUS6lzG,en,"[{'screen_name': 'hhsgov', 'name': 'hhs.gov', 'id': '44783853'}, {'screen_name': 'usedgov', 'name': 'u.s. department of education', 'id': '20437286'}]",['https://governor.alabama.gov/press-releases/governor-ivey-announces-33-million-renewal-grant-awarded-to-early-childhood-education/'],['https://pbs.twimg.com/media/EMLvim_U8AAJpBh.jpg'],2,19,72,"['strongstartstrongfinish', 'alpolitics']",[],https://twitter.com/GovernorKayIvey/status/1207791032206802945,False,,1,https://pbs.twimg.com/media/EMLvim_U8AAJpBh.jpg,,,,,,,[],,,,
1207387403742253061,1207387250675404803,2019-12-18 14:49:23 Eastern Standard Time,2019-12-18,14:49:23,-0400,19668491,governorkayivey,Governor Kay Ivey,,"I’m excited to attend the ACCCP’s inaugural meeting &amp; look forward to this team helping AL to reach our state’s post-secondary attainment goal of adding 500,000 highly-skilled Alabamians to the workforce by 2025. #alpolitics #AlabamaWorks @ACCS_Education @ALSDEdotEDU  https://t.co/ediQyIh72D",en,"[{'screen_name': 'accs_education', 'name': 'alabama community college system (accs)', 'id': '1737838892'}]",[],"['https://pbs.twimg.com/media/EMGAcExXYAAgOmh.jpg', 'https://pbs.twimg.com/media/EMGAcEtWwAEol6q.jpg']",5,3,9,"['alpolitics', 'alabamaworks']",[],https://twitter.com/GovernorKayIvey/status/1207387403742253061,False,,1,https://pbs.twimg.com/media/EMGAcExXYAAgOmh.jpg,,,,,,,[],,,,
