id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1342460135403384833,1342460135403384833,2020-12-25 08:20:12 Eastern Standard Time,2020-12-25,08:20:12,-0400,20776505,leslierutledge,Leslie Rutledge,,I hope you have a safe and Merry Christmas from my family to yours!  https://t.co/WLIOGwqORg,en,[],[],[],7,0,43,[],[],https://twitter.com/LeslieRutledge/status/1342460135403384833,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1342458872682967040/pu/img/bNSHLp3IqgLkQl-j.jpg,,,,,,,[],,,,
1341812727317184512,1341812727317184512,2020-12-23 13:27:38 Eastern Standard Time,2020-12-23,13:27:38,-0400,20776505,leslierutledge,Leslie Rutledge,,New York is trying to dissolve the @NRA &amp; weaken our #2A rights. I am fighting NY to protect our Constitutional Rights &amp; I will always #StandAndFight for you! Read more here:  https://t.co/NWdNUvUfQz  https://t.co/HcwNL56LIU,en,"[{'screen_name': 'nra', 'name': 'nra', 'id': '21829541'}]",['https://www.arkansasonline.com/news/2020/dec/23/rutledge-backs-nra-in-suit/'],['https://pbs.twimg.com/media/Ep8TkJIXEAMrMY9.jpg'],52,77,382,"['2a', 'standandfight']",[],https://twitter.com/LeslieRutledge/status/1341812727317184512,False,,1,https://pbs.twimg.com/media/Ep8TkJIXEAMrMY9.jpg,,,,,,,[],,,,
1341568362569224196,1341568362569224196,2020-12-22 21:16:37 Eastern Standard Time,2020-12-22,21:16:37,-0400,20776505,leslierutledge,Leslie Rutledge,,Enjoyed the Christmas lights and festivities in my hometown of Batesville with my family - nothing better!  https://t.co/owK2qU58Qi,en,[],[],[],10,2,40,[],[],https://twitter.com/LeslieRutledge/status/1341568362569224196,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1341568250220605442/pu/img/tzCXGZadoZ5rAOQR.jpg,,,,,,,[],,,,
1341493086548013059,1341493086548013059,2020-12-22 16:17:30 Eastern Standard Time,2020-12-22,16:17:30,-0400,20776505,leslierutledge,Leslie Rutledge,,"I’ll never let the liberal left steal our Constitutional rights, especially Arkansans’ #2A right to bear arms! As AG, I’m leading a group of 16 states supporting the @NRA against a politically motivated attack lead by NY liberal politicians trying to dissolve the #NRA!  https://t.co/6NOatfSKkp",en,"[{'screen_name': 'nra', 'name': 'nra', 'id': '21829541'}]",[],[],175,150,850,"['2a', 'nra']",[],https://twitter.com/LeslieRutledge/status/1341493086548013059,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1341492994474717186/pu/img/XKrXv0zN0qF12ZzZ.jpg,,,,,,,[],,,,
1341079486457114630,1341079486457114630,2020-12-21 12:54:00 Eastern Standard Time,2020-12-21,12:54:00,-0400,20776505,leslierutledge,Leslie Rutledge,,It’s no secret Big Tech is censoring conservatives. Be sure to join me on Parler to stay up to date with the campaign and ensure our voice is being heard.   https://t.co/lmXYRhMbn6,en,[],['https://parler.com/post/622c7ce2781f488e9f23a09a70f94a97'],[],11,1,11,[],[],https://twitter.com/LeslieRutledge/status/1341079486457114630,False,,0,,,,,,,,[],,,,
1339275858805133312,1339275858805133312,2020-12-16 13:27:01 Eastern Standard Time,2020-12-16,13:27:01,-0400,20776505,leslierutledge,Leslie Rutledge,,"Arkansas is now FIRST in PROTECTING THE LIFE OF THE UNBORN! As Governor, I will always fight to protect life!  https://t.co/oOJdwlXzt8",en,[],[],[],31,22,195,[],[],https://twitter.com/LeslieRutledge/status/1339275858805133312,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1339275806565085187/pu/img/-q4oRTbN5vSYBxHr.jpg,,,,,,,[],,,,
1338579313218740226,1338579313218740226,2020-12-14 15:19:12 Eastern Standard Time,2020-12-14,15:19:12,-0400,20776505,leslierutledge,Leslie Rutledge,,"Early voting starts today in Georgia. This Christian, pro-life, gun-carrying momma knows the importance of re-electing @KLoeffler &amp; @Perduesenate. We must stop @SenSchumer from becoming majority leader.  https://t.co/tEZJhI6oXt",en,"[{'screen_name': 'kloeffler', 'name': 'kelly loeffler', 'id': '29495695'}, {'screen_name': 'senschumer', 'name': 'chuck schumer', 'id': '17494010'}]",['http://ow.ly/AQXv30roytK'],[],29,6,31,[],[],https://twitter.com/LeslieRutledge/status/1338579313218740226,False,,0,,,,,,,,[],,,,
1338291604705013761,1338291604705013761,2020-12-13 20:15:57 Eastern Standard Time,2020-12-13,20:15:57,-0400,20776505,leslierutledge,Leslie Rutledge,,"Successful, early morning duck hunt in Arkansas. Blessed to live in The Natural State!  https://t.co/Irp4XFOaxe",en,[],[],"['https://pbs.twimg.com/media/EpKRHl4W4AA51_C.jpg', 'https://pbs.twimg.com/media/EpKRHl_XEAAphQM.jpg', 'https://pbs.twimg.com/media/EpKRHmbXcAYmDuP.jpg', 'https://pbs.twimg.com/media/EpKRHmNXIAAosSz.jpg']",20,6,114,[],[],https://twitter.com/LeslieRutledge/status/1338291604705013761,False,,1,https://pbs.twimg.com/media/EpKRHl4W4AA51_C.jpg,,,,,,,[],,,,
1338200760933347330,1338200760933347330,2020-12-13 14:14:58 Eastern Standard Time,2020-12-13,14:14:58,-0400,20776505,leslierutledge,Leslie Rutledge,,Social distancing Arkansas style!  https://t.co/MLYbKBUMut,en,[],[],['https://pbs.twimg.com/media/EpI-fnYXEAI8rUC.jpg'],21,2,207,[],[],https://twitter.com/LeslieRutledge/status/1338200760933347330,False,,1,https://pbs.twimg.com/media/EpI-fnYXEAI8rUC.jpg,,,,,,,[],,,,
1337723316375838720,1337723316375838720,2020-12-12 06:37:46 Eastern Standard Time,2020-12-12,06:37:46,-0400,20776505,leslierutledge,Leslie Rutledge,,"Thank you, President @realdonaldtrump for your tremendous leadership on Operation Warp Speed to bring a vaccine to the United States, saving millions of lives in record time!",en,"[{'screen_name': 'realdonaldtrump', 'name': 'donald j. trump', 'id': '25073877'}]",[],[],40,3,32,[],[],https://twitter.com/LeslieRutledge/status/1337723316375838720,False,,0,,,,,,,,[],,,,
