id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1203036247523901440,1203036247523901440,2019-12-06 14:39:27 Eastern Standard Time,2019-12-06,14:39:27,-0400,1088116348603924483,colotreasurer,Colorado Treasurer Dave Young,,I’m so impressed by the innovation and leadership I saw from these Loveland High School students today. Here we are in the podcast studio they built! Students can use this to complete projects for any class.  #copolitics #innovation #education  https://t.co/q9hYnVFjEs,en,[],[],['https://pbs.twimg.com/media/ELILFZsU4AAZoUu.jpg'],0,8,28,"['copolitics', 'innovation', 'education']",[],https://twitter.com/ColoTreasurer/status/1203036247523901440,False,,1,https://pbs.twimg.com/media/ELILFZsU4AAZoUu.jpg,,,,,,,[],,,,
1195059958951211009,1195059958951211009,2019-11-14 14:24:32 Eastern Standard Time,2019-11-14,14:24:32,-0400,1088116348603924483,colotreasurer,Colorado Treasurer Dave Young,,Learning a lot from cities across the country with financial empowerment offices. And it’s great to see this #allfemalepanel !,en,[],[],[],0,2,4,['allfemalepanel'],[],https://twitter.com/ColoTreasurer/status/1195059958951211009,False,https://twitter.com/CFEfund/status/1195050892786987008,0,,,,,,,,[],,,,
1190016687401254912,1190016687401254912,2019-10-31 17:24:22 Eastern Daylight Time,2019-10-31,17:24:22,-0400,1088116348603924483,colotreasurer,Colorado Treasurer Dave Young,,Who wore it best? “Treasurer” or Treasurer? #copolitics  https://t.co/AP8iTXy9R6,en,[],[],['https://pbs.twimg.com/media/EIPJ3ejX0AEtUPm.jpg'],0,0,5,['copolitics'],[],https://twitter.com/ColoTreasurer/status/1190016687401254912,False,,1,https://pbs.twimg.com/media/EIPJ3ejX0AEtUPm.jpg,,,,,,,[],,,,
1184189655324880896,1184189655324880896,2019-10-15 15:29:49 Eastern Daylight Time,2019-10-15,15:29:49,-0400,1088116348603924483,colotreasurer,Colorado Treasurer Dave Young,,"It's $0.00 to apply to public Colorado universities today, October 15th. The price is right!",en,[],[],[],0,7,27,[],[],https://twitter.com/ColoTreasurer/status/1184189655324880896,False,https://twitter.com/CoHigherEd/status/1175079705512300545,0,,,,,,,,[],,,,
1177310710314876928,1177310710314876928,2019-09-26 15:55:21 Eastern Daylight Time,2019-09-26,15:55:21,-0400,1088116348603924483,colotreasurer,Colorado Treasurer Dave Young,,Great news!,en,[],[],[],0,0,2,[],[],https://twitter.com/ColoTreasurer/status/1177310710314876928,False,https://twitter.com/Ed4Colorado/status/1177045824796155905,0,,,,,,,,[],,,,
1177310072348635136,1177310072348635136,2019-09-26 15:52:49 Eastern Daylight Time,2019-09-26,15:52:49,-0400,1088116348603924483,colotreasurer,Colorado Treasurer Dave Young,,"Great retirement party for Ted today, one of our hard working investment officers. Thanks for everything! #copolitics  https://t.co/UyzlcBIqAt",en,[],[],['https://pbs.twimg.com/media/EFalRLyUYAAeHFR.jpg'],0,0,4,['copolitics'],[],https://twitter.com/ColoTreasurer/status/1177310072348635136,False,,1,https://pbs.twimg.com/media/EFalRLyUYAAeHFR.jpg,,,,,,,[],,,,
1176946350862172160,1176946350862172160,2019-09-25 15:47:31 Eastern Daylight Time,2019-09-25,15:47:31,-0400,1088116348603924483,colotreasurer,Colorado Treasurer Dave Young,,Q: Why did the auditor cross the road?  A: To count the chickens on the other side!   John is an auditor in our unclaimed property division. He is educating businesses about the new law and how we can work together to return property to its rightful owners.   #copolitics  https://t.co/HeOGSu8OTm,en,[],[],['https://pbs.twimg.com/media/EFVad5hVUAASie7.jpg'],1,2,8,['copolitics'],[],https://twitter.com/ColoTreasurer/status/1176946350862172160,False,,1,https://pbs.twimg.com/media/EFVad5hVUAASie7.jpg,,,,,,,[],,,,
1176538975386779648,1176538975386779648,2019-09-24 12:48:45 Eastern Daylight Time,2019-09-24,12:48:45,-0400,1088116348603924483,colotreasurer,Colorado Treasurer Dave Young,,VOTING is important! Make sure you're registered at your current address by visiting  https://t.co/CmyHgv2WD6. #NVRD #copolitics,en,[],['http://govotecolorado.com'],[],0,0,6,"['nvrd', 'copolitics']",[],https://twitter.com/ColoTreasurer/status/1176538975386779648,False,https://twitter.com/COSecofState/status/1176456119360917504,0,,,,,,,,[],,,,
1171493477143597056,1171493477143597056,2019-09-10 14:39:44 Eastern Daylight Time,2019-09-10,14:39:44,-0400,1088116348603924483,colotreasurer,Colorado Treasurer Dave Young,,oh deer! #copolitics  https://t.co/FgD2VBZ7bD,en,[],[],['https://pbs.twimg.com/media/EEH7GvGUEAYXi8Z.jpg'],0,3,26,['copolitics'],[],https://twitter.com/ColoTreasurer/status/1171493477143597056,False,,1,https://pbs.twimg.com/media/EEH7GvGUEAYXi8Z.jpg,,,,,,,[],,,,
1164950105125867520,1164950105125867520,2019-08-23 13:18:43 Eastern Daylight Time,2019-08-23,13:18:43,-0400,1088116348603924483,colotreasurer,Colorado Treasurer Dave Young,,Pitkin County Treasurer/Finance Director/Public Trustee @anndriggers is doing it all! Thanks for having me today! #copolitics  https://t.co/lb3lDVUCGK,en,[],[],['https://pbs.twimg.com/media/ECq78XEVAAASaqQ.jpg'],0,0,5,['copolitics'],[],https://twitter.com/ColoTreasurer/status/1164950105125867520,False,,1,https://pbs.twimg.com/media/ECq78XEVAAASaqQ.jpg,,,,,,,[],,,,
