id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1509229703982469127,1509229703982469127,2022-03-30 14:02:56 Eastern Daylight Time,2022-03-30,14:02:56,-0400,237770636,johncarneyde,Governor John Carney,,Thank you to all Delaware physicians for your work to keep Delawareans healthy every day — especially over the last two years.   We thank you for your life-saving work.   #DoctorsDay  https://t.co/waTa2aK67r,en,[],[],['https://pbs.twimg.com/media/FPHb7YCX0AQLCyG.jpg'],3,1,16,['doctorsday'],[],https://twitter.com/JohnCarneyDE/status/1509229703982469127,False,,1,https://pbs.twimg.com/media/FPHb7YCX0AQLCyG.jpg,,,,,,,[],,,,
1508952078596677632,1508952078596677632,2022-03-29 19:39:45 Eastern Daylight Time,2022-03-29,19:39:45,-0400,237770636,johncarneyde,Governor John Carney,,It was an honor to welcome Commander Horton and USS Delaware to the First State.  https://t.co/xzToFZKcBy,en,[],[],"['https://pbs.twimg.com/media/FPDf6ZqXoAEga3m.jpg', 'https://pbs.twimg.com/media/FPDf6ZrWUAkZVvZ.jpg', 'https://pbs.twimg.com/media/FPDf6ZnXIAslvHE.jpg', 'https://pbs.twimg.com/media/FPDf6ZpXEAA_PxC.jpg']",1,6,39,[],[],https://twitter.com/JohnCarneyDE/status/1508952078596677632,False,,1,https://pbs.twimg.com/media/FPDf6ZqXoAEga3m.jpg,,,,,,,[],,,,
1507728039710498816,1507728039710498816,2022-03-26 10:35:51 Eastern Daylight Time,2022-03-26,10:35:51,-0400,237770636,johncarneyde,Governor John Carney,,DE Students K-12:   Submit your entries for @DelawareDNREC’s Earth Day video contest by 4pm on 3/31.,en,"[{'screen_name': 'delawarednrec', 'name': 'delaware dnrec', 'id': '151670497'}]",[],[],5,1,4,[],[],https://twitter.com/JohnCarneyDE/status/1507728039710498816,False,https://twitter.com/delawarednrec/status/1494327258399461383,0,,,,,,,,[],,,,
1507120372696637443,1507120372696637443,2022-03-24 18:21:12 Eastern Daylight Time,2022-03-24,18:21:12,-0400,237770636,johncarneyde,Governor John Carney,,The CROWN Act ensures that future generations of Delawareans will not experience discrimination on the basis of traits historically associated with race—like hair texture and protective hairstyles.  https://t.co/CQF98BJYX1,en,[],[],['https://pbs.twimg.com/media/FOpd9QJWQAgtNPB.jpg'],8,7,50,[],[],https://twitter.com/JohnCarneyDE/status/1507120372696637443,False,,1,https://pbs.twimg.com/media/FOpd9QJWQAgtNPB.jpg,,,,,,,[],,,,
1507046880546627586,1507046880546627586,2022-03-24 13:29:10 Eastern Daylight Time,2022-03-24,13:29:10,-0400,237770636,johncarneyde,Governor John Carney,,"Madeleine Albright, the first female U.S. Secretary of State, was a trailblazer. Her legacy will carry on for generations. In concurrence with the President’s order, flags at state facilities are to be flown at half-staff until sunset on March 27.   https://t.co/91YVmqGap5  https://t.co/AW7Pm1J02b",en,[],['https://news.delaware.gov/2022/03/24/in-memoriam-madeline-korbel-albright/'],['https://pbs.twimg.com/media/FOobJoFXwAI265w.jpg'],3,2,12,[],[],https://twitter.com/JohnCarneyDE/status/1507046880546627586,False,,1,https://pbs.twimg.com/media/FOobJoFXwAI265w.jpg,,,,,,,[],,,,
1506770947642122247,1506770938200834052,2022-03-23 19:12:43 Eastern Daylight Time,2022-03-23,19:12:43,-0400,237770636,johncarneyde,Governor John Carney,,"Cities, towns, counties, water companies and communities looking to apply for clean water and drinking water funds can join a workshop on the 2022 application process on Thursday, March 24 at 10 a.m.   More info &amp; registration:  https://t.co/OljZ86WPNl",en,[],['https://news.delaware.gov/2022/03/16/delaware-to-solicit-water-quality-improvement-projects-with-bipartisan-infrastructure-law-funding/'],[],1,0,3,[],[],https://twitter.com/JohnCarneyDE/status/1506770947642122247,False,,0,,,,,,,,[],,,,
1506770945570185236,1506770938200834052,2022-03-23 19:12:42 Eastern Daylight Time,2022-03-23,19:12:42,-0400,237770636,johncarneyde,Governor John Carney,,"Thanks to the Bipartisan Infrastructure Law —led by @SenatorCarper, Sen. @ChrisCoons and @RepLBR— more money will be available over the next five years for projects like this.  https://t.co/VmC2DvPpgV",en,"[{'screen_name': 'senatorcarper', 'name': 'senator tom carper', 'id': '249787913'}, {'screen_name': 'chriscoons', 'name': 'senator chris coons', 'id': '15324851'}, {'screen_name': 'replbr', 'name': 'rep. lisa blunt rochester', 'id': '817050219007328258'}]",[],"['https://pbs.twimg.com/media/FOkgL_eXwAgtoYN.jpg', 'https://pbs.twimg.com/media/FOkgMAVXwAMyES0.jpg']",2,1,7,[],[],https://twitter.com/JohnCarneyDE/status/1506770945570185236,False,,1,https://pbs.twimg.com/media/FOkgL_eXwAgtoYN.jpg,,,,,,,[],,,,
1506770938200834052,1506770938200834052,2022-03-23 19:12:40 Eastern Daylight Time,2022-03-23,19:12:40,-0400,237770636,johncarneyde,Governor John Carney,,"Today I toured a @CityofNewarkDE water facility that used state funding to: 💧construct a 250,000-gallon storage tank 💧install a contaminant removal system 💧complete plant building upgrades that will allow for additional treatment if needed in the future.  https://t.co/SHx0B5zkap",en,"[{'screen_name': 'cityofnewarkde', 'name': 'newark delaware', 'id': '38448605'}]",[],"['https://pbs.twimg.com/media/FOkgKy-XMA81IIj.jpg', 'https://pbs.twimg.com/media/FOkgKzAX0Aw8KCt.jpg', 'https://pbs.twimg.com/media/FOkgKzCWQAATlqC.jpg', 'https://pbs.twimg.com/media/FOkgKzAXwAAUQYm.jpg']",2,2,6,[],[],https://twitter.com/JohnCarneyDE/status/1506770938200834052,False,,1,https://pbs.twimg.com/media/FOkgKy-XMA81IIj.jpg,,,,,,,[],,,,
1506417595741835273,1506417592738668548,2022-03-22 19:48:37 Eastern Daylight Time,2022-03-22,19:48:37,-0400,237770636,johncarneyde,Governor John Carney,,And we’ll continue to prioritize farmland preservation.   25% of Delaware’s family farms are now preserved forever so that agriculture remains strong in the First State.,en,[],[],[],1,0,7,[],[],https://twitter.com/JohnCarneyDE/status/1506417595741835273,False,,0,,,,,,,,[],,,,
1506417594819133440,1506417592738668548,2022-03-22 19:48:37 Eastern Daylight Time,2022-03-22,19:48:37,-0400,237770636,johncarneyde,Governor John Carney,,The COVID-19 pandemic showed us just how critical the food and ag industries are in our state. That’s why we’re making investments in our technology infrastructure that will bring high-speed internet to drive farming operations.,en,[],[],[],1,0,4,[],[],https://twitter.com/JohnCarneyDE/status/1506417594819133440,False,,0,,,,,,,,[],,,,
1506417592738668548,1506417592738668548,2022-03-22 19:48:36 Eastern Daylight Time,2022-03-22,19:48:36,-0400,237770636,johncarneyde,Governor John Carney,,"Farmers are the backbone of our economy, and we are pleased to celebrate their contributions to our state on #AgDay.  Check out the highlights of the food and agriculture sectors’ economic impact in DE.   @AgricultureDE   Learn more:  https://t.co/2jDZSDtRqa  https://t.co/PyGmWT6NSb",en,"[{'screen_name': 'agriculturede', 'name': 'de dept. of ag', 'id': '148761090'}]",['https://news.delaware.gov/2022/03/22/gov-carney-de-department-of-agriculture-underscore-vital-role-of-des-agriculture-economy-on-national-agriculture-day/'],['https://pbs.twimg.com/media/FOfe0QgXMAgiZLT.jpg'],3,3,8,['agday'],[],https://twitter.com/JohnCarneyDE/status/1506417592738668548,False,,1,https://pbs.twimg.com/media/FOfe0QgXMAgiZLT.jpg,,,,,,,[],,,,
1505993480866308100,1505993480866308100,2022-03-21 15:43:20 Eastern Daylight Time,2022-03-21,15:43:20,-0400,237770636,johncarneyde,Governor John Carney,,March 21 is Rock Your Socks for #WorldDownSyndromeDay. Here are some pictures from our proclamation signing last week.   #Rockyoursocks to raise awareness and celebrate Delawareans with Down syndrome!  @dsadelaware  https://t.co/8lfAnES0lq,en,"[{'screen_name': 'dsadelaware', 'name': 'downsyndromeassoc.de', 'id': '3666727336'}]",[],"['https://pbs.twimg.com/media/FOZcfWRWUAAP3Aw.jpg', 'https://pbs.twimg.com/media/FOZcjheWUAgwTGD.jpg', 'https://pbs.twimg.com/media/FOZcm5HXwAg6VWI.jpg', 'https://pbs.twimg.com/media/FOZcpQ_XEAgQ6FN.jpg']",1,2,9,"['worlddownsyndromeday', 'rockyoursocks']",[],https://twitter.com/JohnCarneyDE/status/1505993480866308100,False,,1,https://pbs.twimg.com/media/FOZcfWRWUAAP3Aw.jpg,,,,,,,[],,,,
1505921364661833730,1505921363067949064,2022-03-21 10:56:46 Eastern Daylight Time,2022-03-21,10:56:46,-0400,237770636,johncarneyde,Governor John Carney,,"We have two additional WLC Engagement Fairs later this week and encourage you to participate:  —Tuesday, March 22 from 6:30–8pm at the Wilmington Public Library   —Thursday, March 24 from 5-6:30pm at the Latin American Community Center   RSVP:  https://t.co/elXpcoJ6Ue",en,[],['http://de.gov/wlcevent'],[],0,1,1,[],[],https://twitter.com/JohnCarneyDE/status/1505921364661833730,False,,0,,,,,,,,[],,,,
1505921363067949064,1505921363067949064,2022-03-21 10:56:46 Eastern Daylight Time,2022-03-21,10:56:46,-0400,237770636,johncarneyde,Governor John Carney,,"The Wilmington Learning Collaborative Engagement Fair on Monday, March 21 at Warner Elementary School has been postponed. We will be in touch in the future with a new date.  Dr. Newton, his family, and the entire Warner community are in our thoughts during this difficult time.  https://t.co/ciN1C8zljd",en,[],[],['https://pbs.twimg.com/media/FOYaeHwXwAo_DP6.jpg'],2,1,3,[],[],https://twitter.com/JohnCarneyDE/status/1505921363067949064,False,,1,https://pbs.twimg.com/media/FOYaeHwXwAo_DP6.jpg,,,,,,,[],,,,
1504966471717376002,1504966471717376002,2022-03-18 19:42:22 Eastern Daylight Time,2022-03-18,19:42:22,-0400,237770636,johncarneyde,Governor John Carney,,What an incredible season and a great game. Delaware is so proud of @DelawareWBB!,en,"[{'screen_name': 'delawarewbb', 'name': 'delaware women’s basketball', 'id': '3299382868'}]",[],[],2,3,41,[],[],https://twitter.com/JohnCarneyDE/status/1504966471717376002,False,https://twitter.com/DelawareWBB/status/1504953637675614218,0,,,,,,,,[],,,,
1504941565009145866,1504941565009145866,2022-03-18 18:03:24 Eastern Daylight Time,2022-03-18,18:03:24,-0400,237770636,johncarneyde,Governor John Carney,,"Not the outcome we hoped for, but the Blue Hens fought hard until the end. Great job representing our state @DelawareMBB!",en,"[{'screen_name': 'delawarembb', 'name': 'delaware men’s basketball', 'id': '3299387830'}]",[],[],1,3,38,[],[],https://twitter.com/JohnCarneyDE/status/1504941565009145866,False,https://twitter.com/DelawareMBB/status/1504925742378930191,0,,,,,,,,[],,,,
1504884684089700357,1504884684089700357,2022-03-18 14:17:22 Eastern Daylight Time,2022-03-18,14:17:22,-0400,237770636,johncarneyde,Governor John Carney,,👀  Let’s go @DelawareMBB and @DelawareWBB!   #MarchMadness #BlueHens  https://t.co/IPcFSmi02v,en,"[{'screen_name': 'delawarembb', 'name': 'delaware men’s basketball', 'id': '3299387830'}, {'screen_name': 'delawarewbb', 'name': 'delaware women’s basketball', 'id': '3299382868'}]",[],['https://pbs.twimg.com/tweet_video_thumb/FOJsoLOXIAIkRs-.jpg'],4,21,123,"['marchmadness', 'bluehens']",[],https://twitter.com/JohnCarneyDE/status/1504884684089700357,False,,1,https://pbs.twimg.com/tweet_video_thumb/FOJsoLOXIAIkRs-.jpg,,,,,,,[],,,,
