id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1078770079121227777,1078770079121227777,2018-12-28 16:50:04 Eastern Standard Time,2018-12-28,16:50:04,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | In August, Governor Baker signed legislation to enhance efforts to train front line caregivers on recognizing and treating dementia more effectively, and work with families of loved ones to prepare and manage the effects of Alzheimer’s.  https://t.co/op0jFsgaxY  https://t.co/Ve0H3SmjdW",en,[],['http://ow.ly/jW1O30n7uEO'],['https://pbs.twimg.com/tweet_video_thumb/DviPqyfXQAIGKCv.jpg'],8,4,28,['movingmaforward'],[],https://twitter.com/MassGovernor/status/1078770079121227777,False,,1,https://pbs.twimg.com/tweet_video_thumb/DviPqyfXQAIGKCv.jpg,,,,,,,[],,,,
1078758763778191360,1078758763778191360,2018-12-28 16:05:06 Eastern Standard Time,2018-12-28,16:05:06,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | Earlier this month, Governor Baker marked the on-time completion of the first pair of new #OrangeLine vehicles assembled in Springfield, a significant milestone in the delivery of new subway cars to the #MBTA.  https://t.co/UXtwK1oJg5  https://t.co/9wheJKKC2y",en,[],['http://ow.ly/JFJ230n7uBJ'],['https://pbs.twimg.com/tweet_video_thumb/DviFYHzX4AcmQ9v.jpg'],5,3,32,"['movingmaforward', 'orangeline', 'mbta']",[],https://twitter.com/MassGovernor/status/1078758763778191360,False,,1,https://pbs.twimg.com/tweet_video_thumb/DviFYHzX4AcmQ9v.jpg,,,,,,,[],,,,
1078748695368290308,1078748695368290308,2018-12-28 15:25:05 Eastern Standard Time,2018-12-28,15:25:05,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | In June, Gov. Baker announced several Western MA rail initiatives, including the launch of a pilot for passenger rail service between Greenfield and Springfield and one-seat service through Springfield to Hartford and New Haven. #WMass  https://t.co/fv0e1uOjK2  https://t.co/gqCGYMsOWK",en,[],['http://ow.ly/KG6430n7uxQ'],['https://pbs.twimg.com/tweet_video_thumb/Dvh8OEyWwAAkuOj.jpg'],2,0,0,"['movingmaforward', 'wmass']",[],https://twitter.com/MassGovernor/status/1078748695368290308,False,,1,https://pbs.twimg.com/tweet_video_thumb/Dvh8OEyWwAAkuOj.jpg,,,,,,,[],,,,
1078728557063491584,1078728557063491584,2018-12-28 14:05:04 Eastern Standard Time,2018-12-28,14:05:04,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | In May, the Baker-Polito Administration launched an innovative ride data website, becoming the first state in the nation to create a clearinghouse of comprehensive, transparent ridesharing data.  https://t.co/NaPu6N4Pbe  https://t.co/MNEHr8EVyx",en,[],['http://ow.ly/JDTz30n7uvN'],['https://pbs.twimg.com/tweet_video_thumb/Dvhp57jXgAEOhbm.jpg'],4,2,6,['movingmaforward'],[],https://twitter.com/MassGovernor/status/1078728557063491584,False,,1,https://pbs.twimg.com/tweet_video_thumb/Dvhp57jXgAEOhbm.jpg,,,,,,,[],,,,
1078717247231877121,1078717247231877121,2018-12-28 13:20:07 Eastern Standard Time,2018-12-28,13:20:07,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | @MassEEA has awarded a total of $7.2 million in MVP grants to provide communities with funding, technical support, #climatechange data and planning tools to identify hazards, develop strategies to improve resilience, and implement priority actions to adapt.  https://t.co/nIrIdALVgD",en,"[{'screen_name': 'masseea', 'name': 'maenergy environment', 'id': '258906555'}]",[],['https://pbs.twimg.com/tweet_video_thumb/Dvhfnb8X4AE6doq.jpg'],3,7,25,"['movingmaforward', 'climatechange']",[],https://twitter.com/MassGovernor/status/1078717247231877121,False,,1,https://pbs.twimg.com/tweet_video_thumb/Dvhfnb8X4AE6doq.jpg,,,,,,,[],,,,
1078699632551780352,1078699632551780352,2018-12-28 12:10:08 Eastern Standard Time,2018-12-28,12:10:08,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | In August, Governor Baker signed the BRAVE Act 🇺🇸 which provides additional support for members of the veterans’ community and their families, including tax credits and enhanced educational opportunities.  https://t.co/WOLhicPVTU  https://t.co/FUgED6kOiq",en,[],['http://ow.ly/ap2T30n7uj5'],['https://pbs.twimg.com/tweet_video_thumb/DvhPmROWoAAIUFt.jpg'],3,5,25,['movingmaforward'],[],https://twitter.com/MassGovernor/status/1078699632551780352,False,,1,https://pbs.twimg.com/tweet_video_thumb/DvhPmROWoAAIUFt.jpg,,,,,,,[],,,,
1078684525570523136,1078684525570523136,2018-12-28 11:10:06 Eastern Standard Time,2018-12-28,11:10:06,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | A year after launching the Governor's Council to Address Aging, Gov. Baker and the Council released their initial recommendations and priorities, and formally marked the Commonwealth’s membership in AARP’s Network of Age-Friendly States.  https://t.co/HgyGoxmalo  https://t.co/hsvYWIvzw6",en,[],['http://ow.ly/V80P30n7uhf'],['https://pbs.twimg.com/tweet_video_thumb/DvhB255X4AEUoFa.jpg'],4,7,9,['movingmaforward'],[],https://twitter.com/MassGovernor/status/1078684525570523136,False,,1,https://pbs.twimg.com/tweet_video_thumb/DvhB255X4AEUoFa.jpg,,,,,,,[],,,,
1078669428676546561,1078669428676546561,2018-12-28 10:10:07 Eastern Standard Time,2018-12-28,10:10:07,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | In October, the Administration announced nearly $5 million in awards to 31 communities through 2 new grant programs under the #HousingChoice Initiative. The communities are pursuing high-impact housing and economic development projects.  https://t.co/RrHyohWwVu  https://t.co/RCk3ayj1jg",en,[],['http://ow.ly/NRue30n7udC'],['https://pbs.twimg.com/tweet_video_thumb/Dvg0IIZX0AAzkiJ.jpg'],2,3,8,"['movingmaforward', 'housingchoice']",[],https://twitter.com/MassGovernor/status/1078669428676546561,False,,1,https://pbs.twimg.com/tweet_video_thumb/Dvg0IIZX0AAzkiJ.jpg,,,,,,,[],,,,
1078654325914771456,1078654325914771456,2018-12-28 09:10:06 Eastern Standard Time,2018-12-28,09:10:06,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | In October, Gov. Baker joined Robert Kraft and others to sign an Executive Order forming a large venue task force to inform future decisions to enhance security while maintaining everyone’s ability to enjoy a game, concert or conference.  https://t.co/Kvv1VvIkNy  https://t.co/ASeRRdVaOL",en,[],['http://ow.ly/Jtc230n7u9d'],['https://pbs.twimg.com/tweet_video_thumb/DvgmZCnXQAI4BlE.jpg'],4,1,10,['movingmaforward'],[],https://twitter.com/MassGovernor/status/1078654325914771456,False,,1,https://pbs.twimg.com/tweet_video_thumb/DvgmZCnXQAI4BlE.jpg,,,,,,,[],,,,
1078406441336295424,1078406441336295424,2018-12-27 16:45:06 Eastern Standard Time,2018-12-27,16:45:06,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | Gov. Baker signed legislation authorizing more than $2.4 billion in capital allocations for investments in safeguarding residents, municipalities and businesses from the impacts of #climatechange and protecting environmental resources.  https://t.co/Zsvd0xDiaK  https://t.co/oWt8twzZAp",en,[],['http://ow.ly/8qGA30n7jwf'],['https://pbs.twimg.com/tweet_video_thumb/DvdE8PaXgAE3KsB.jpg'],10,4,19,"['movingmaforward', 'climatechange']",[],https://twitter.com/MassGovernor/status/1078406441336295424,False,,1,https://pbs.twimg.com/tweet_video_thumb/DvdE8PaXgAE3KsB.jpg,,,,,,,[],,,,
1078396371986800642,1078396371986800642,2018-12-27 16:05:05 Eastern Standard Time,2018-12-27,16:05:05,-0400,18023868,massgovernor,Charlie Baker,,"#MovingMAForward | In July, Gov. Baker joined members of the Legislature to sign a bi-partisan law repealing some archaic state laws to make clear that Massachusetts will not compromise on women’s health care and access to family planning services.  https://t.co/phjbLq3I1T  https://t.co/9oB4I649h5",en,[],['http://ow.ly/bsIN30n7jlO'],['https://pbs.twimg.com/tweet_video_thumb/Dvc7yI2WoAAQHY4.jpg'],2,2,8,['movingmaforward'],[],https://twitter.com/MassGovernor/status/1078396371986800642,False,,1,https://pbs.twimg.com/tweet_video_thumb/Dvc7yI2WoAAQHY4.jpg,,,,,,,[],,,,
