id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1079044376301465601,1079044376301465601,2018-12-29 11:00:01 Eastern Standard Time,2018-12-29,11:00:01,-0400,280121510,larryhogan,Larry Hogan,,Join us for the Inaugural Gala in honor of @GovLarryHogan and @BoydKRutherford! Tickets are on sale now:  https://t.co/xj2HVyg26B,en,"[{'screen_name': 'govlarryhogan', 'name': 'governor larry hogan', 'id': '2987671552'}, {'screen_name': 'boydkrutherford', 'name': 'boyd rutherford', 'id': '2951351524'}]",['https://www.eventbrite.com/e/the-inaugural-gala-in-honor-of-gov-larry-hogan-and-lt-gov-boyd-rutherford-tickets-53444192017'],[],2,0,8,[],[],https://twitter.com/LarryHogan/status/1079044376301465601,False,,0,,,,,,,,[],,,,
1078697085849882624,1078697085849882624,2018-12-28 12:00:01 Eastern Standard Time,2018-12-28,12:00:01,-0400,280121510,larryhogan,Larry Hogan,,Join us for the Inaugural Gala in honor of @GovLarryHogan and @BoydKRutherford! Tickets are on sale now:  https://t.co/xj2HVyg26B,en,"[{'screen_name': 'govlarryhogan', 'name': 'governor larry hogan', 'id': '2987671552'}, {'screen_name': 'boydkrutherford', 'name': 'boyd rutherford', 'id': '2951351524'}]",['https://www.eventbrite.com/e/the-inaugural-gala-in-honor-of-gov-larry-hogan-and-lt-gov-boyd-rutherford-tickets-53444192017'],[],0,0,4,[],[],https://twitter.com/LarryHogan/status/1078697085849882624,False,,0,,,,,,,,[],,,,
1078289402059616256,1078289402059616256,2018-12-27 09:00:01 Eastern Standard Time,2018-12-27,09:00:01,-0400,280121510,larryhogan,Larry Hogan,,Join us for the Inaugural Gala in honor of @GovLarryHogan and @BoydKRutherford! Tickets are on sale now:  https://t.co/xj2HVyg26B,en,"[{'screen_name': 'govlarryhogan', 'name': 'governor larry hogan', 'id': '2987671552'}, {'screen_name': 'boydkrutherford', 'name': 'boyd rutherford', 'id': '2951351524'}]",['https://www.eventbrite.com/e/the-inaugural-gala-in-honor-of-gov-larry-hogan-and-lt-gov-boyd-rutherford-tickets-53444192017'],[],2,1,7,[],[],https://twitter.com/LarryHogan/status/1078289402059616256,False,,0,,,,,,,,[],,,,
1077949657517563906,1077949657517563906,2018-12-26 10:30:00 Eastern Standard Time,2018-12-26,10:30:00,-0400,280121510,larryhogan,Larry Hogan,,Join us for the Inaugural Gala in honor of @GovLarryHogan and @BoydKRutherford! Tickets are on sale now:  https://t.co/xj2HVxYrf3,en,"[{'screen_name': 'govlarryhogan', 'name': 'governor larry hogan', 'id': '2987671552'}, {'screen_name': 'boydkrutherford', 'name': 'boyd rutherford', 'id': '2951351524'}]",['https://www.eventbrite.com/e/the-inaugural-gala-in-honor-of-gov-larry-hogan-and-lt-gov-boyd-rutherford-tickets-53444192017'],[],2,1,8,[],[],https://twitter.com/LarryHogan/status/1077949657517563906,False,,0,,,,,,,,[],,,,
1076832294902484994,1076832294902484994,2018-12-23 08:30:00 Eastern Standard Time,2018-12-23,08:30:00,-0400,280121510,larryhogan,Larry Hogan,,Join us for the Inaugural Gala in honor of @GovLarryHogan and @BoydKRutherford! Tickets are on sale now:  https://t.co/xj2HVyg26B,en,"[{'screen_name': 'govlarryhogan', 'name': 'governor larry hogan', 'id': '2987671552'}, {'screen_name': 'boydkrutherford', 'name': 'boyd rutherford', 'id': '2951351524'}]",['https://www.eventbrite.com/e/the-inaugural-gala-in-honor-of-gov-larry-hogan-and-lt-gov-boyd-rutherford-tickets-53444192017'],[],1,1,22,[],[],https://twitter.com/LarryHogan/status/1076832294902484994,False,,0,,,,,,,,[],,,,
1076628453380755456,1076628453380755456,2018-12-22 19:00:00 Eastern Standard Time,2018-12-22,19:00:00,-0400,280121510,larryhogan,Larry Hogan,,Governor announces commission for 6th District redistricting #MDGov #MDPolitics  https://t.co/VE8fsogSq2 via @frednewspost,en,"[{'screen_name': 'frednewspost', 'name': 'frederick news-post', 'id': '26000876'}]",['https://www.fredericknewspost.com/news/politics_and_government/governor-announces-commission-for-th-district-redistricting/article_18fe4b8f-e11d-5d19-95e8-4976088de333.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share'],[],2,7,13,"['mdgov', 'mdpolitics']",[],https://twitter.com/LarryHogan/status/1076628453380755456,False,,0,,,,,,,,[],,,,
1076598254194868226,1076598254194868226,2018-12-22 17:00:00 Eastern Standard Time,2018-12-22,17:00:00,-0400,280121510,larryhogan,Larry Hogan,,Join us for the Historic Inauguration of @GovLarryHogan and @BoydKRutherford #MDGov  https://t.co/D0Fp3vQTt6,en,"[{'screen_name': 'govlarryhogan', 'name': 'governor larry hogan', 'id': '2987671552'}, {'screen_name': 'boydkrutherford', 'name': 'boyd rutherford', 'id': '2951351524'}]",[],['https://pbs.twimg.com/media/DvCPFoAWsAE7OGG.jpg'],1,8,46,['mdgov'],[],https://twitter.com/LarryHogan/status/1076598254194868226,False,,1,https://pbs.twimg.com/media/DvCPFoAWsAE7OGG.jpg,,,,,,,[],,,,
1076575604554686464,1076575604554686464,2018-12-22 15:30:00 Eastern Standard Time,2018-12-22,15:30:00,-0400,280121510,larryhogan,Larry Hogan,,Unemployment rate in Maryland continues to drop in November #MDGov #MDPolitics  https://t.co/ctG023Gdym,en,[],['https://www.baltimoresun.com/business/jobs/bs-bz-unemployment-november-20181221-story.html'],[],1,5,11,"['mdgov', 'mdpolitics']",[],https://twitter.com/LarryHogan/status/1076575604554686464,False,,0,,,,,,,,[],,,,
1076568054631464960,1076568054631464960,2018-12-22 15:00:00 Eastern Standard Time,2018-12-22,15:00:00,-0400,280121510,larryhogan,Larry Hogan,,.@GovLarryHogan announces over $3.5 Billion “Building Opportunity Fund” school construction initiative #MDPolitics #MDGA19  https://t.co/ff5GEUzPat via @TheDundalkEagle,en,"[{'screen_name': 'govlarryhogan', 'name': 'governor larry hogan', 'id': '2987671552'}, {'screen_name': 'thedundalkeagle', 'name': 'the dundalk eagle', 'id': '94164805'}]",['https://www.dundalkeagle.com/gov-larry-hogan-announces-over-billion-building-opportunity-fund-school/article_3e9b8b73-145e-50e8-a7ac-be40d3bf608d.html?utm_medium=social&utm_source=twitter&utm_campaign=user-share'],[],1,0,4,"['mdpolitics', 'mdga19']",[],https://twitter.com/LarryHogan/status/1076568054631464960,False,,0,,,,,,,,[],,,,
1076545405582757890,1076545405582757890,2018-12-22 13:30:00 Eastern Standard Time,2018-12-22,13:30:00,-0400,280121510,larryhogan,Larry Hogan,,.@GovLarryHogan proposes P-TECH expansion in Maryland  #MDGA19 #MDPolitics  https://t.co/OxxhiVY3lU via @TechnicallyBMR,en,"[{'screen_name': 'govlarryhogan', 'name': 'governor larry hogan', 'id': '2987671552'}, {'screen_name': 'technicallybmr', 'name': 'technical.ly baltimore', 'id': '169225297'}]",['https://technical.ly/baltimore/2018/12/20/gov-hogan-proposes-p-tech-expansion-in-maryland/'],[],0,1,1,"['mdga19', 'mdpolitics']",[],https://twitter.com/LarryHogan/status/1076545405582757890,False,,0,,,,,,,,[],,,,
