id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1473852333176074240,1473852333176074240,2021-12-22 22:05:53 Eastern Standard Time,2021-12-22,22:05:53,-0400,528816173,fitzpatrickmo,Scott Fitzpatrick,,This will surely change his mind.,en,[],[],[],1,0,10,[],[],https://twitter.com/FitzpatrickMO/status/1473852333176074240,False,https://twitter.com/BetteMidler/status/1472955243935711236,0,,,,,,,,[],,,,
1473366602372591626,1473366602372591626,2021-12-21 13:55:46 Eastern Standard Time,2021-12-21,13:55:46,-0400,528816173,fitzpatrickmo,Scott Fitzpatrick,,Imagine waking from a two year long coma and seeing this tweet thread.,en,[],[],[],2,1,12,[],[],https://twitter.com/FitzpatrickMO/status/1473366602372591626,False,https://twitter.com/anulman/status/1472095268489236482,0,,,,,,,,[],,,,
1471878705941299206,1471878705941299206,2021-12-17 11:23:24 Eastern Standard Time,2021-12-17,11:23:24,-0400,528816173,fitzpatrickmo,Scott Fitzpatrick,,Grateful for the opportunity to work with @LtGovMikeKehoe and other commissioners to make this program more transparent and more efficient.,en,"[{'screen_name': 'ltgovmikekehoe', 'name': 'mike kehoe', 'id': '1010258457021337602'}]",[],[],5,2,12,[],[],https://twitter.com/FitzpatrickMO/status/1471878705941299206,False,https://twitter.com/MOTreasurer/status/1471870240103436293,0,,,,,,,,[],,,,
1469042079405903873,1469042079405903873,2021-12-09 15:31:39 Eastern Standard Time,2021-12-09,15:31:39,-0400,528816173,fitzpatrickmo,Scott Fitzpatrick,,Great to have another young conservative fighting for fiscal sanity in the states. Iowa would be well served by @robysmithIA’s leadership!,en,"[{'screen_name': 'robysmithia', 'name': 'roby smith', 'id': '237129009'}]",[],[],2,0,7,[],[],https://twitter.com/FitzpatrickMO/status/1469042079405903873,False,https://twitter.com/RobySmithIA/status/1468997060514955264,0,,,,,,,,[],,,,
1468061433657188352,1468061433657188352,2021-12-06 22:34:55 Eastern Standard Time,2021-12-06,22:34:55,-0400,528816173,fitzpatrickmo,Scott Fitzpatrick,,Glad to be in Noel in support of my friend @DirkEDeaton tonight. He’s a great leader in #moleg and we are lucky to have him there.,en,"[{'screen_name': 'dirkedeaton', 'name': 'dirk deaton', 'id': '23817491'}]",[],[],2,0,13,['moleg'],[],https://twitter.com/FitzpatrickMO/status/1468061433657188352,False,https://twitter.com/DirkEDeaton/status/1468061033260531716,0,,,,,,,,[],,,,
1467934206894522372,1467934206894522372,2021-12-06 14:09:22 Eastern Standard Time,2021-12-06,14:09:22,-0400,528816173,fitzpatrickmo,Scott Fitzpatrick,,People looking to escape the insanity of Bill are welcome in Missouri. This is nuts!,en,[],[],[],6,0,1,[],[],https://twitter.com/FitzpatrickMO/status/1467934206894522372,False,https://twitter.com/FreeBeacon/status/1467932552187072515,0,,,,,,,,[],,,,
1466394760516624388,1466215106551947270,2021-12-02 08:12:09 Eastern Standard Time,2021-12-02,08:12:09,-0400,528816173,fitzpatrickmo,Scott Fitzpatrick,,"@jrosenbaum My freshman year at Mizzou. I had a big truck so I got out and drove around. Ended up pulling a tow truck out that got stuck trying to get a girl’s sedan out so she could go to work. Once I got him out, the tow truck bailed on her.",en,[],[],[],0,0,3,[],[],https://twitter.com/FitzpatrickMO/status/1466394760516624388,False,,0,,,,,,,,"[{'screen_name': 'jrosenbaum', 'name': 'Jason Rosenbaum', 'id': '14364006'}]",,,,
1464696707992760321,1464696707992760321,2021-11-27 15:44:42 Eastern Standard Time,2021-11-27,15:44:42,-0400,528816173,fitzpatrickmo,Scott Fitzpatrick,,The correct take.,en,[],[],[],0,2,3,[],[],https://twitter.com/FitzpatrickMO/status/1464696707992760321,False,https://twitter.com/nxthompson/status/1464381906347343876,0,,,,,,,,[],,,,
1462593374494642179,1462561708556308482,2021-11-21 20:26:48 Eastern Standard Time,2021-11-21,20:26:48,-0400,528816173,fitzpatrickmo,Scott Fitzpatrick,,@JimHendren1 Beautiful.,en,[],[],[],0,0,1,[],[],https://twitter.com/FitzpatrickMO/status/1462593374494642179,False,,0,,,,,,,,"[{'screen_name': 'JimHendren1', 'name': 'Jim Hendren', 'id': '365573230'}]",,,,
1461894486158725129,1461894486158725129,2021-11-19 22:09:40 Eastern Standard Time,2021-11-19,22:09:40,-0400,528816173,fitzpatrickmo,Scott Fitzpatrick,,The ACLU is just a joke these days.,en,[],[],[],0,1,6,[],[],https://twitter.com/FitzpatrickMO/status/1461894486158725129,False,https://twitter.com/ACLU/status/1461762952567136259,0,,,,,,,,[],,,,
