id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1208044191797956610,1208044191797956610,2019-12-20 10:19:14 Eastern Standard Time,2019-12-20,10:19:14,-0400,40080029,txsecofstate,Texas Secretary of State,,"Secretary Hughs yesterday delivered remarks at naturalization ceremonies for new American citizens, where she spoke of the crucial role that immigrants play in helping to enrich the fabric of Texas and the United States. Learn more:  https://t.co/SfEkasSdsU #txsos  https://t.co/lwyUP3iHM7",en,[],['https://www.sos.state.tx.us/about/newsreleases/2019/122019.shtml'],"['https://pbs.twimg.com/media/EMPVyOEXUAAX6kG.jpg', 'https://pbs.twimg.com/media/EMPVyOEW4AE1NVp.jpg', 'https://pbs.twimg.com/media/EMPVyONWsAEvoki.jpg']",2,3,5,['txsos'],[],https://twitter.com/TXsecofstate/status/1208044191797956610,False,,1,https://pbs.twimg.com/media/EMPVyOEXUAAX6kG.jpg,,,,,,,[],,,,
1207684706902446081,1207684706902446081,2019-12-19 10:30:46 Eastern Standard Time,2019-12-19,10:30:46,-0400,40080029,txsecofstate,Texas Secretary of State,,"Mayor Joe McComb last night presented Secretary Hughs, who was raised in @cityofcc, a key to the city. #txsos  https://t.co/ff7AMkHEMX",en,"[{'screen_name': 'cityofcc', 'name': 'city of corpus christi', 'id': '32135940'}]",[],['https://pbs.twimg.com/media/EMKO1RnXsAUYSIt.jpg'],1,2,0,['txsos'],[],https://twitter.com/TXsecofstate/status/1207684706902446081,False,,1,https://pbs.twimg.com/media/EMKO1RnXsAUYSIt.jpg,,,,,,,[],,,,
1207407649161195521,1207407649161195521,2019-12-18 16:09:50 Eastern Standard Time,2019-12-18,16:09:50,-0400,40080029,txsecofstate,Texas Secretary of State,,“Our Coastal Bend and South Texas elections officials work tirelessly to ensure that the Lone Star State’s elections are run smoothly and securely! Thank you for your hard work!” - RRH #txsos  https://t.co/BndSQJDhIK,en,[],[],['https://pbs.twimg.com/media/EMGS2lXWoAAa00n.jpg'],0,9,12,['txsos'],[],https://twitter.com/TXsecofstate/status/1207407649161195521,False,,1,https://pbs.twimg.com/media/EMGS2lXWoAAa00n.jpg,,,,,,,[],,,,
1207390561491177474,1207390561491177474,2019-12-18 15:01:56 Eastern Standard Time,2019-12-18,15:01:56,-0400,40080029,txsecofstate,Texas Secretary of State,,This afternoon Secretary Hughs held a roundtable at @DelMarCollege to hear feedback from Coastal Bend and South Texas county/municipal elections officials on ways to improve the state’s electoral processes and maintain election security. #txsos  https://t.co/V2YbWkMPLQ,en,"[{'screen_name': 'delmarcollege', 'name': 'del mar college', 'id': '33538041'}]",[],"['https://pbs.twimg.com/media/EMGDT8FWoAI9in7.jpg', 'https://pbs.twimg.com/media/EMGDT8FW4AYX4Lq.jpg']",0,9,7,['txsos'],[],https://twitter.com/TXsecofstate/status/1207390561491177474,False,,1,https://pbs.twimg.com/media/EMGDT8FWoAI9in7.jpg,,,,,,,[],,,,
1207356355213955074,1207356355213955074,2019-12-18 12:46:01 Eastern Standard Time,2019-12-18,12:46:01,-0400,40080029,txsecofstate,Texas Secretary of State,,"Secretary Hughs this morning joined representatives of @GovAbbott @TexasFLCA @a21 as well as the Nueces County DA and sheriff’s offices to unveil a billboard raising awareness of the #CanYouSeeMe campaign. Together, we will end human trafficking in Texas. #TexasSeesYou #txsos  https://t.co/fsIYWsDmTL",en,"[{'screen_name': 'govabbott', 'name': 'gov. greg abbott', 'id': '19291441'}, {'screen_name': 'texasflca', 'name': 'cecilia abbott', 'id': '3760494733'}, {'screen_name': 'a21', 'name': 'a21', 'id': '23847000'}]",[],"['https://pbs.twimg.com/media/EMFkJfXXkAA-_Zd.jpg', 'https://pbs.twimg.com/media/EMFkJfXXYAAAqsV.jpg', 'https://pbs.twimg.com/media/EMFkJfWXsAALmJe.jpg']",5,25,53,"['canyouseeme', 'texasseesyou', 'txsos']",[],https://twitter.com/TXsecofstate/status/1207356355213955074,False,,1,https://pbs.twimg.com/media/EMFkJfXXkAA-_Zd.jpg,,,,,,,[],,,,
1206979746392883200,1206979746392883200,2019-12-17 11:49:30 Eastern Standard Time,2019-12-17,11:49:30,-0400,40080029,txsecofstate,Texas Secretary of State,,"“As the year comes to a close and the holidays approach, it’s important to me that we remember the hard work and contributions of SOS staff in serving Texans! We couldn’t do it without them! Thank you all, and I hope you have safe, and happy holiday season!” - RRH #txsos  https://t.co/r13ctAlkOM",en,[],[],['https://pbs.twimg.com/media/EMANrWUWsAEmseu.jpg'],1,4,12,['txsos'],[],https://twitter.com/TXsecofstate/status/1206979746392883200,False,,1,https://pbs.twimg.com/media/EMANrWUWsAEmseu.jpg,,,,,,,[],,,,
1206710893322657792,1206710893322657792,2019-12-16 18:01:11 Eastern Standard Time,2019-12-16,18:01:11,-0400,40080029,txsecofstate,Texas Secretary of State,,“Enjoyed meeting with representatives from @PCCTechnology this afternoon as part of our office’s commitment to maintaining and continuously strengthening our state’s election security.” - RRH #txsos  https://t.co/1KygfVbEyp,en,"[{'screen_name': 'pcctechnology', 'name': 'pcc technology inc.', 'id': '1648068672'}]",[],['https://pbs.twimg.com/media/EL8ZKPpXYAAyElD.jpg'],0,3,3,['txsos'],[],https://twitter.com/TXsecofstate/status/1206710893322657792,False,,1,https://pbs.twimg.com/media/EL8ZKPpXYAAyElD.jpg,,,,,,,[],,,,
1206650049742151682,1206650049742151682,2019-12-16 13:59:24 Eastern Standard Time,2019-12-16,13:59:24,-0400,40080029,txsecofstate,Texas Secretary of State,,"“Pleasure meeting with the Consul General of Chile, José Luis Briceño Oviedo, earlier this morning to discuss Texas’ venture capital and startup environment, as well as plans to open a ProChile office in Houston! Texas is *the* state for business!” #txsos  https://t.co/Wpoh1k6Fdf",en,[],[],"['https://pbs.twimg.com/media/EL7hzUcWsAEI9WV.jpg', 'https://pbs.twimg.com/media/EL7hzUdWoAcp-L3.jpg']",1,3,9,['txsos'],[],https://twitter.com/TXsecofstate/status/1206650049742151682,False,,1,https://pbs.twimg.com/media/EL7hzUcWsAEI9WV.jpg,,,,,,,[],,,,
1205491074199957505,1205491074199957505,2019-12-13 09:14:03 Eastern Standard Time,2019-12-13,09:14:03,-0400,40080029,txsecofstate,Texas Secretary of State,,"Happy Friday! Last month, Secretary Hughs announced Texas would join fellow @NASSorg members in the #TrustedInfo2020 campaign to encourage Texans to look to their state and local officials as trusted sources of election information. Learn more:  https://t.co/OvGQjtVA72 #txsos  https://t.co/9hMRRI32NE",en,"[{'screen_name': 'nassorg', 'name': 'nass', 'id': '44368678'}]",['https://www.sos.state.tx.us/about/newsreleases/2019/111219.shtml'],['https://pbs.twimg.com/media/ELrDtPlX0AAhCPu.jpg'],2,5,3,"['trustedinfo2020', 'txsos']",[],https://twitter.com/TXsecofstate/status/1205491074199957505,False,,1,https://pbs.twimg.com/media/ELrDtPlX0AAhCPu.jpg,,,,,,,[],,,,
1205187376634585095,1205187376634585095,2019-12-12 13:07:16 Eastern Standard Time,2019-12-12,13:07:16,-0400,40080029,txsecofstate,Texas Secretary of State,,"ICYMI: On Tuesday, the Secretary particpated in the @SAHispanicCC #LatinasAreLeaders panel in San Antonio, where she discussed the impact of Hispanic women in Texas.  https://t.co/PN9rhBEcbC",en,"[{'screen_name': 'sahispaniccc', 'name': 'sa hispanic chamber', 'id': '281697682'}]",[],['https://pbs.twimg.com/media/ELmvhyUW4AEAqEL.jpg'],2,5,9,['latinasareleaders'],[],https://twitter.com/TXsecofstate/status/1205187376634585095,False,,1,https://pbs.twimg.com/media/ELmvhyUW4AEAqEL.jpg,,,,,,,[],,,,
