id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1355281856380497926,1355281856380497926,2021-01-29 17:29:09 Eastern Standard Time,2021-01-29,17:29:09,-0400,1188618085680504832,brentfordakota,Brent Sanford,,"Thanks to @UMary students and everyone who attended the #NDMarchforLife rally at the Capitol, including the youth from western ND who visited us in the Senate! Grateful for your passion and commitment to protecting life.",en,"[{'screen_name': 'umary', 'name': 'university of mary', 'id': '35824238'}]",[],[],0,1,14,['ndmarchforlife'],[],https://twitter.com/BrentForDakota/status/1355281856380497926,False,https://twitter.com/UMaryMensBball/status/1355241121727864837,0,,,,,,,,[],,,,
1350140862488064001,1350140862488064001,2021-01-15 13:00:40 Eastern Standard Time,2021-01-15,13:00:40,-0400,1188618085680504832,brentfordakota,Brent Sanford,,Have you seen where #ND stacks up on this list? We're one of the best places to raise a family in the nation! RT if you agree.  https://t.co/U5x58XpOMs,en,[],['https://wallethub.com/edu/best-states-to-raise-a-family/31065'],[],0,0,1,['nd'],[],https://twitter.com/BrentForDakota/status/1350140862488064001,False,,0,,,,,,,,[],,,,
1345044021178232838,1345044021178232838,2021-01-01 11:27:39 Eastern Standard Time,2021-01-01,11:27:39,-0400,1188618085680504832,brentfordakota,Brent Sanford,,From our family to yours today: Happy New Year!  https://t.co/lP402x150d,en,[],[],['https://pbs.twimg.com/media/EqqOaJ0XMAA-nvF.jpg'],0,0,0,[],[],https://twitter.com/BrentForDakota/status/1345044021178232838,False,,1,https://pbs.twimg.com/media/EqqOaJ0XMAA-nvF.jpg,,,,,,,[],,,,
1331266365131460611,1331266365131460611,2020-11-24 11:00:09 Eastern Standard Time,2020-11-24,11:00:09,-0400,1188618085680504832,brentfordakota,Brent Sanford,,"""These are very challenging times, and we hope that you can feel the gratitude coming from the Emergency Commission, the Budget Section, the Governor's office and from Commerce, that we're here for you."" #InThisTogetherND  https://t.co/LooEE0Kx6V",en,[],['https://www.grandforksherald.com/business/6766180-Department-of-Commerce-announces-opening-date-for-business-grant-program'],[],0,0,0,['inthistogethernd'],[],https://twitter.com/BrentForDakota/status/1331266365131460611,False,,0,,,,,,,,[],,,,
1323732705201262592,1323732705201262592,2020-11-03 16:04:05 Eastern Standard Time,2020-11-03,16:04:05,-0400,1188618085680504832,brentfordakota,Brent Sanford,,There's still time to get out and vote for #TeamBurgum! Visit  https://t.co/Cy0ffgmqGQ to map out your voting plan today.  https://t.co/01GzseeN86,en,[],['http://vote.nd.gov'],['https://pbs.twimg.com/media/El7X4T5W0AsZ7ve.jpg'],0,1,4,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1323732705201262592,False,,1,https://pbs.twimg.com/media/El7X4T5W0AsZ7ve.jpg,,,,,,,[],,,,
1323053473823363073,1323053473823363073,2020-11-01 19:05:03 Eastern Standard Time,2020-11-01,19:05:03,-0400,1188618085680504832,brentfordakota,Brent Sanford,,"We need all of #TeamBurgum to make their voice heard this election! Before the weekend is over, map out your plan to mail in your ballot, vote early, or visit your polling place on Nov 3. Then, RT this graphic to remind your friends too!   https://t.co/Cy0ffgmqGQ  https://t.co/s89k3guzf4",en,[],['http://vote.nd.gov'],['https://pbs.twimg.com/media/ElxuH4WXEAI533X.jpg'],1,5,6,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1323053473823363073,False,,1,https://pbs.twimg.com/media/ElxuH4WXEAI533X.jpg,,,,,,,[],,,,
1322210687456858112,1322210687456858112,2020-10-30 12:16:08 Eastern Daylight Time,2020-10-30,12:16:08,-0400,1188618085680504832,brentfordakota,Brent Sanford,,"""We knew a major investment like that would send a clear message...that North Dakota was serious about maintaining our reputation as the nation's proving ground for cutting edge UAS research, testing and commercialization.""  https://t.co/y7iYJfY5a4",en,[],['https://www.grandforksherald.com/business/6739535-Sanford-North-Dakota-open-for-business-with-new-drone-network'],[],0,0,0,[],[],https://twitter.com/BrentForDakota/status/1322210687456858112,False,,0,,,,,,,,[],,,,
1321199514561249283,1321199514561249283,2020-10-27 17:18:05 Eastern Daylight Time,2020-10-27,17:18:05,-0400,1188618085680504832,brentfordakota,Brent Sanford,,"One week left to vote, #TeamBurgum! If you've already made your voice heard this election, be sure to share this graphic on your pages to remind your family and friends to get out and vote too.  Visit  https://t.co/Cy0ffgmqGQ for voting-related information.  https://t.co/zW0maP7Lm3",en,[],['http://vote.nd.gov'],['https://pbs.twimg.com/media/ElXX9QCWoAAX0dW.jpg'],0,0,1,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1321199514561249283,False,,1,https://pbs.twimg.com/media/ElXX9QCWoAAX0dW.jpg,,,,,,,[],,,,
1318649463976710147,1318649463976710147,2020-10-20 16:25:06 Eastern Daylight Time,2020-10-20,16:25:06,-0400,1188618085680504832,brentfordakota,Brent Sanford,,"Two week countdown, #TeamBurgum! Please review your voting options here to make sure your voice is heard this election:  https://t.co/HpJsk3Fsjt",en,[],['http://vote.nd.gov/PortalList.aspx'],[],0,0,0,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1318649463976710147,False,,0,,,,,,,,[],,,,
1316414479505252356,1316414479505252356,2020-10-14 12:24:04 Eastern Daylight Time,2020-10-14,12:24:04,-0400,1188618085680504832,brentfordakota,Brent Sanford,,"A big happy birthday to Sandi's grandma Olga Hovet from Watford City, who turns 101 today!  https://t.co/pvNT7AlDop",en,[],[],['https://pbs.twimg.com/media/EkTX_hwXkAMzLt0.jpg'],0,0,10,[],[],https://twitter.com/BrentForDakota/status/1316414479505252356,False,,1,https://pbs.twimg.com/media/EkTX_hwXkAMzLt0.jpg,,,,,,,[],,,,
1316061658956156930,1316061658956156930,2020-10-13 13:02:05 Eastern Daylight Time,2020-10-13,13:02:05,-0400,1188618085680504832,brentfordakota,Brent Sanford,,#TeamBurgum: have you voted yet? Make sure to mail in your ballot before 11/3 or map out your in-person voting plan! Here's where you can learn more:  https://t.co/q2ksudHgZM,en,[],['https://vote.nd.gov/PortalList.aspx'],[],0,0,1,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1316061658956156930,False,,0,,,,,,,,[],,,,
1311016391336759296,1311016391336759296,2020-09-29 14:53:59 Eastern Daylight Time,2020-09-29,14:53:59,-0400,1188618085680504832,brentfordakota,Brent Sanford,,Congrats to my niece! 🥰 Fargo North High School Homecoming Queen Bergen Lindahl 👑  https://t.co/rAUPWkU31Q,en,[],[],['https://pbs.twimg.com/media/EjGqde2WsAAjtG-.jpg'],0,0,3,[],[],https://twitter.com/BrentForDakota/status/1311016391336759296,False,,1,https://pbs.twimg.com/media/EjGqde2WsAAjtG-.jpg,,,,,,,[],,,,
1308482760479256577,1308482760479256577,2020-09-22 15:06:15 Eastern Daylight Time,2020-09-22,15:06:15,-0400,1188618085680504832,brentfordakota,Brent Sanford,,#TeamBurgum: today marks six weeks until Election Day! Have you requested a yard sign yet? Fill out the form here today so our team can deliver one to you!  https://t.co/8Jq7fsZYYb,en,[],['https://www.dougburgum.com/yard-sign?utm_source=social&utm_medium=t.co&utm_campaign=20200922'],[],0,0,0,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1308482760479256577,False,,0,,,,,,,,[],,,,
1307100925073424384,1307100925073424384,2020-09-18 19:35:19 Eastern Daylight Time,2020-09-18,19:35:19,-0400,1188618085680504832,brentfordakota,Brent Sanford,,#TeamBurgum: get your yard sign here!  https://t.co/HUdI61fxOb,en,[],['https://www.dougburgum.com/yard-sign?utm_source=social&utm_medium=fb&utm_campaign=20200918'],[],1,0,0,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1307100925073424384,False,,0,,,,,,,,[],,,,
1306686765445586946,1306686765445586946,2020-09-17 16:09:36 Eastern Daylight Time,2020-09-17,16:09:36,-0400,1188618085680504832,brentfordakota,Brent Sanford,,Don't miss out on next month's Main Street Summit!  https://t.co/Rf2xLY1z1e,en,[],['https://www.nd.gov/living-nd/main-street-nd/take-action/main-street-summit'],[],0,0,0,[],[],https://twitter.com/BrentForDakota/status/1306686765445586946,False,,0,,,,,,,,[],,,,
1297922263300415488,1297922263300415488,2020-08-24 11:42:36 Eastern Daylight Time,2020-08-24,11:42:36,-0400,1188618085680504832,brentfordakota,Brent Sanford,,Don't wait! Get your #TeamBurgum yard sign while supplies last!  https://t.co/6oQbTxp4Pe,en,[],['https://twitter.com/DougForDakota/status/1296499263875276800'],[],0,0,2,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1297922263300415488,False,https://twitter.com/DougForDakota/status/1296499263875276800,0,,,,,,,,[],,,,
1295449336483057664,1295449336483057664,2020-08-17 15:56:04 Eastern Daylight Time,2020-08-17,15:56:04,-0400,1188618085680504832,brentfordakota,Brent Sanford,,"Our Main Street Initiative is setting #ND up for continued success, attracting a 21st century workforce and maximizing the existing footprint of our communities to build a brighter future. Be on the lookout for the Main Street Summit this fall:  https://t.co/Rf2xLY1z1e",en,[],['https://www.nd.gov/living-nd/main-street-nd/take-action/main-street-summit'],[],0,0,0,['nd'],[],https://twitter.com/BrentForDakota/status/1295449336483057664,False,,0,,,,,,,,[],,,,
1293977394886381568,1293977394886381568,2020-08-13 14:27:06 Eastern Daylight Time,2020-08-13,14:27:06,-0400,1188618085680504832,brentfordakota,Brent Sanford,,"Did you see this news from our First Lady last month? This year's @Recovery_ND will be an online, interactive experience. Check out her tweet below for all of the info. #RecoveryReinvented  https://t.co/TraYRw7Xd0",en,"[{'screen_name': 'recovery_nd', 'name': 'recovery reinvented', 'id': '895822454257528833'}]",['https://twitter.com/FirstLadyND/status/1285338973724913664'],[],0,0,1,['recoveryreinvented'],[],https://twitter.com/BrentForDakota/status/1293977394886381568,False,https://twitter.com/FirstLadyND/status/1285338973724913664,0,,,,,,,,[],,,,
1292167974032482306,1292167974032482306,2020-08-08 14:37:06 Eastern Daylight Time,2020-08-08,14:37:06,-0400,1188618085680504832,brentfordakota,Brent Sanford,,#TeamBurgum: It's time to get some gear! Fill out your info for a FREE t-shirt before our supply runs out!  https://t.co/851xtn9bX6,en,[],['https://twitter.com/DougForDakota/status/1291447726224310273'],[],0,0,1,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1292167974032482306,False,https://twitter.com/DougForDakota/status/1291447726224310273,0,,,,,,,,[],,,,
1291116303856603141,1291116303856603141,2020-08-05 16:58:09 Eastern Daylight Time,2020-08-05,16:58:09,-0400,1188618085680504832,brentfordakota,Brent Sanford,,Have you put in your name for a free #TeamBurgum t-shirt yet? I've heard that there are only a few left at HQ and we want to make sure you get one!  https://t.co/qsWnez8d0b,en,[],['https://www.dougburgum.com/team-shirt?utm_source=fb&utm_medium=social&utm_campaign=20200805'],[],0,0,1,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1291116303856603141,False,,0,,,,,,,,[],,,,
1289609604964311046,1289609604964311046,2020-08-01 13:11:04 Eastern Daylight Time,2020-08-01,13:11:04,-0400,1188618085680504832,brentfordakota,Brent Sanford,,"Please join me in wishing a ""happy birthday"" to my good friend, Governor @DougforDakota! #TeamBurgum  https://t.co/uksoOfQ9jB",en,"[{'screen_name': 'dougfordakota', 'name': 'doug burgum', 'id': '4755913398'}]",[],['https://pbs.twimg.com/media/EeWdGfaWsAEU0yd.jpg'],0,0,11,['teamburgum'],[],https://twitter.com/BrentForDakota/status/1289609604964311046,False,,1,https://pbs.twimg.com/media/EeWdGfaWsAEU0yd.jpg,,,,,,,[],,,,
