id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1508801686587985924,1508801686587985924,2022-03-29 09:42:08 Eastern Daylight Time,2022-03-29,09:42:08,-0400,1374802451568717824,ltgovnunez,Jeanette Nuñez,,"I was thrilled to announce Florida’s Space Art Contest at Burns Science and Technology Charter School. I want to thank principal Dr. McGee and all of the faculty and students for their warm welcome. I can’t wait to see all the artwork, which I know will be out of this world!  https://t.co/zD9Fe8OQAj",en,[],[],[],2,4,26,[],[],https://twitter.com/LtGovNunez/status/1508801686587985924,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1508801486498770960/pu/img/NCEOjlRiRBZylsm1.jpg,,,,,,,[],,,,
1508537077994082316,1508537075318116363,2022-03-28 16:10:41 Eastern Daylight Time,2022-03-28,16:10:41,-0400,1374802451568717824,ltgovnunez,Jeanette Nuñez,,"Fortunately, @GovRonDeSantis and I believe that parents should have a say.  We will not back down to woke corporations and their same tired tactics that are steeped in hypocrisy. As a mother of three, I am committed to protecting the rights of parents.",en,"[{'screen_name': 'govrondesantis', 'name': 'ron desantis', 'id': '1058807868'}]",[],[],5,12,57,[],[],https://twitter.com/LtGovNunez/status/1508537077994082316,False,,0,,,,,,,,[],,,,
1508537075318116363,1508537075318116363,2022-03-28 16:10:40 Eastern Daylight Time,2022-03-28,16:10:40,-0400,1374802451568717824,ltgovnunez,Jeanette Nuñez,,"Parental Rights in Education empowers Florida’s parents and safeguards our children. Throughout this legislative session, this bill has been maliciously maligned by those who prefer slogans and sound bites over substance and common sense.",en,[],[],[],10,20,92,[],[],https://twitter.com/LtGovNunez/status/1508537075318116363,False,,0,,,,,,,,[],,,,
1508116796657836033,1508116796657836033,2022-03-27 12:20:38 Eastern Daylight Time,2022-03-27,12:20:38,-0400,1374802451568717824,ltgovnunez,Jeanette Nuñez,,It was an honor to meet Prime Minister @naftalibennett and discuss how we can further strengthen our long-standing partnership as Florida remains the most pro-Israel state in the nation. 🇺🇸🇮🇱  https://t.co/w4ztWqov71,en,"[{'screen_name': 'naftalibennett', 'name': 'naftali bennett בנט', 'id': '13197402'}]",[],['https://pbs.twimg.com/media/FO3oO2iXoAE-SfC.jpg'],11,8,82,[],[],https://twitter.com/LtGovNunez/status/1508116796657836033,False,,1,https://pbs.twimg.com/media/FO3oO2iXoAE-SfC.jpg,,,,,,,[],,,,
1507750599835664384,1507750599835664384,2022-03-26 12:05:30 Eastern Daylight Time,2022-03-26,12:05:30,-0400,1374802451568717824,ltgovnunez,Jeanette Nuñez,,"During my time in Israel, I visited Israeli company @INSIGHTEC to see firsthand their innovative technology that uses sound waves to target diseased tissue without invasive surgery.   Florida is proud to have their executive headquarters in our state and my hometown of Miami.  https://t.co/6qsG963YzS",en,"[{'screen_name': 'insightec', 'name': 'insightec', 'id': '49605880'}]",[],['https://pbs.twimg.com/media/FOybLOxXEAQciih.jpg'],51,7,47,[],[],https://twitter.com/LtGovNunez/status/1507750599835664384,False,,1,https://pbs.twimg.com/media/FOybLOxXEAQciih.jpg,,,,,,,[],,,,
1506391251968475141,1506391251968475141,2022-03-22 18:03:56 Eastern Daylight Time,2022-03-22,18:03:56,-0400,1374802451568717824,ltgovnunez,Jeanette Nuñez,,Grateful to visit Jerusalem and to meet with Ambassador @DavidM_Friedman who was pivotal in opening the embassy to the eternal capital of the Jewish people. Make no mistake — Florida will always stand with Israel. 🇺🇸🇮🇱  https://t.co/AfvkV7IllM,en,"[{'screen_name': 'davidm_friedman', 'name': 'david m friedman', 'id': '1349426410734161927'}]",[],"['https://pbs.twimg.com/media/FOfG2prXsAMcK2M.jpg', 'https://pbs.twimg.com/media/FOfG2yHX0AYRx6U.jpg']",9,11,62,[],[],https://twitter.com/LtGovNunez/status/1506391251968475141,False,,1,https://pbs.twimg.com/media/FOfG2prXsAMcK2M.jpg,,,,,,,[],,,,
1505972549657763845,1505972549657763845,2022-03-21 14:20:10 Eastern Daylight Time,2022-03-21,14:20:10,-0400,1374802451568717824,ltgovnunez,Jeanette Nuñez,,".@Israel is a major strategic partner of the U.S. and, in particular, Florida. I was honored to meet @AmbDermer and discuss the dangerous threat of a nuclear Iran while reaffirming Florida’s commitment to the Jewish state.  https://t.co/ovR7v3j2FI",en,"[{'screen_name': 'israel', 'name': 'israel ישראל', 'id': '52660746'}, {'screen_name': 'ambdermer', 'name': 'amb. ron dermer', 'id': '271441733'}]",[],['https://pbs.twimg.com/media/FOZKDIcX0BIMokl.jpg'],15,29,117,[],[],https://twitter.com/LtGovNunez/status/1505972549657763845,False,,1,https://pbs.twimg.com/media/FOZKDIcX0BIMokl.jpg,,,,,,,[],,,,
1505620376096804874,1505620376096804874,2022-03-20 15:00:45 Eastern Daylight Time,2022-03-20,15:00:45,-0400,1374802451568717824,ltgovnunez,Jeanette Nuñez,,"1 John 5:14   “And this is the confidence that we have toward Him, that if we ask anything according to His will He hears us.”  https://t.co/HGBgUbRlW9",en,[],[],['https://pbs.twimg.com/media/FOUJv71WQAwde64.jpg'],25,18,170,[],[],https://twitter.com/LtGovNunez/status/1505620376096804874,False,,1,https://pbs.twimg.com/media/FOUJv71WQAwde64.jpg,,,,,,,[],,,,
1504865266462822431,1504865266462822431,2022-03-18 13:00:13 Eastern Daylight Time,2022-03-18,13:00:13,-0400,1374802451568717824,ltgovnunez,Jeanette Nuñez,,"While visiting Yad Vashem during #Purim, I am reminded of the story of Esther, who was appointed “for such a time as this,” to serve as an instrument of deliverance for the Jewish people. May we never forget.  https://t.co/VLAzPg1oxO",en,[],[],['https://pbs.twimg.com/media/FOJa-fzWQAA1_Vg.jpg'],11,31,141,['purim'],[],https://twitter.com/LtGovNunez/status/1504865266462822431,False,,1,https://pbs.twimg.com/media/FOJa-fzWQAA1_Vg.jpg,,,,,,,[],,,,
1504556079551856651,1504556079551856651,2022-03-17 16:31:37 Eastern Daylight Time,2022-03-17,16:31:37,-0400,1374802451568717824,ltgovnunez,Jeanette Nuñez,,Throwback to my time in the Legislature when the Florida House approved my #DaylightSavingTime bill.   It’s time for the U.S. House to #LockTheClock.  https://t.co/VmgrRT5yKj,en,[],[],[],2,5,51,"['daylightsavingtime', 'locktheclock']",[],https://twitter.com/LtGovNunez/status/1504556079551856651,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1504555707412226051/pu/img/04inDRvOAnA5vtH9.jpg,,,,,,,[],,,,
